Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,108.53,109.23,108.32,108.76,100.55,737400.00
2019-06-18 00:00:00,109.23,109.23,107.17,108.35,100.17,1014100.00
2019-06-19 00:00:00,107.84,109.62,107.07,109.09,100.85,765500.00
2019-06-20 00:00:00,109.49,109.76,108.60,109.08,100.84,886100.00
2019-06-21 00:00:00,108.99,108.99,106.89,107.74,99.60,1681600.00
2019-06-24 00:00:00,107.95,108.26,106.87,107.23,99.13,800500.00
2019-06-25 00:00:00,107.58,107.88,106.39,106.39,98.35,798900.00
2019-06-26 00:00:00,106.42,106.43,104.12,105.06,97.13,1229900.00
2019-06-27 00:00:00,105.74,106.38,105.17,105.61,97.63,614600.00
2019-06-28 00:00:00,105.49,106.56,105.48,106.10,98.09,1194800.00
2019-07-01 00:00:00,106.65,106.65,104.22,105.71,97.73,717000.00
2019-07-02 00:00:00,106.16,108.56,106.16,107.31,99.21,1801300.00
2019-07-03 00:00:00,107.39,108.62,107.39,108.50,100.31,519800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,107.95,108.90,106.77,108.50,100.31,378700.00
2019-07-08 00:00:00,108.53,109.83,108.29,109.42,101.16,568400.00
2019-07-09 00:00:00,109.40,110.80,109.35,110.56,102.21,491200.00
2019-07-10 00:00:00,110.87,111.57,109.75,111.44,103.02,547100.00
2019-07-11 00:00:00,111.18,111.62,110.06,110.60,102.25,510500.00
2019-07-12 00:00:00,110.85,111.12,110.08,110.86,102.49,337400.00
2019-07-15 00:00:00,111.30,112.62,110.94,111.99,103.53,788900.00
2019-07-16 00:00:00,111.72,111.95,111.01,111.40,102.99,518600.00
2019-07-17 00:00:00,111.82,112.27,110.65,111.34,102.93,417700.00
2019-07-18 00:00:00,110.98,111.53,110.23,111.09,102.70,524500.00
2019-07-19 00:00:00,111.22,111.37,108.50,108.69,100.48,650000.00
2019-07-22 00:00:00,108.85,109.32,108.01,108.69,100.48,450900.00
2019-07-23 00:00:00,108.63,110.02,108.25,110.00,101.69,327000.00
2019-07-24 00:00:00,110.13,110.15,108.95,109.82,101.53,664400.00
2019-07-25 00:00:00,109.96,110.24,109.17,109.95,101.65,517600.00
2019-07-26 00:00:00,110.01,110.70,109.44,110.26,101.93,456700.00
2019-07-29 00:00:00,110.70,112.18,110.47,111.41,103.00,568400.00
2019-07-30 00:00:00,111.29,112.82,111.13,111.90,103.45,699400.00
2019-07-31 00:00:00,111.85,114.27,111.70,112.39,103.90,1424200.00
2019-08-01 00:00:00,112.79,114.46,111.81,114.15,105.53,713900.00
