Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,185.01,189.50,184.41,189.01,189.01,29459881.00
2019-06-18 00:00:00,194.00,194.53,187.28,188.47,188.47,37571352.00
2019-06-19 00:00:00,187.00,188.10,184.55,187.48,187.48,21417092.00
2019-06-20 00:00:00,190.95,191.16,187.64,189.53,189.53,14635740.00
2019-06-21 00:00:00,188.75,192.00,188.75,191.14,191.14,22751159.00
2019-06-24 00:00:00,192.42,193.98,191.57,192.60,192.60,15508955.00
2019-06-25 00:00:00,192.88,193.14,188.13,188.84,188.84,16750309.00
2019-06-26 00:00:00,189.54,190.76,187.31,187.66,187.66,12808604.00
2019-06-27 00:00:00,189.88,189.95,188.27,189.50,189.50,11158983.00
2019-06-28 00:00:00,190.55,193.20,189.94,193.00,193.00,16378878.00
2019-07-01 00:00:00,195.21,195.28,191.93,193.00,193.00,14204690.00
2019-07-02 00:00:00,193.00,195.00,192.71,195.00,195.00,8971180.00
2019-07-03 00:00:00,194.16,197.40,194.16,197.20,197.20,10246119.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,196.18,197.07,194.17,196.40,196.40,11164107.00
2019-07-08 00:00:00,195.19,196.68,193.64,195.76,195.76,9723858.00
2019-07-09 00:00:00,194.97,199.46,194.89,199.21,199.21,14698611.00
2019-07-10 00:00:00,200.00,202.96,199.67,202.73,202.73,20571702.00
2019-07-11 00:00:00,203.26,203.80,200.21,201.23,201.23,13678457.00
2019-07-12 00:00:00,199.68,205.30,199.16,204.87,204.87,15366272.00
2019-07-15 00:00:00,204.25,205.33,201.82,203.91,203.91,16030335.00
2019-07-16 00:00:00,203.89,205.47,203.10,203.84,203.84,12132720.00
2019-07-17 00:00:00,204.18,204.36,201.59,201.80,201.80,12083714.00
2019-07-18 00:00:00,200.15,202.47,199.38,200.78,200.78,11956554.00
2019-07-19 00:00:00,202.18,202.33,198.07,198.36,198.36,12098262.00
2019-07-22 00:00:00,199.91,202.57,198.81,202.32,202.32,13589024.00
2019-07-23 00:00:00,202.84,204.24,200.96,202.36,202.36,14583680.00
2019-07-24 00:00:00,197.63,204.81,197.22,204.66,204.66,32532540.00
2019-07-25 00:00:00,206.70,208.66,198.26,200.71,200.71,39889869.00
2019-07-26 00:00:00,200.19,202.88,196.25,199.75,199.75,24433985.00
2019-07-29 00:00:00,199.00,199.63,195.30,195.94,195.94,16530801.00
2019-07-30 00:00:00,195.39,198.71,193.50,197.04,197.04,11903558.00
2019-07-31 00:00:00,196.95,198.76,192.68,194.23,194.23,14593544.00
2019-08-01 00:00:00,194.17,198.47,190.88,192.73,192.73,17777013.00
