Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,0.45,0.45,0.35,0.36,0.36,4079000.00
2019-06-17 00:00:00,0.35,0.36,0.30,0.33,0.33,3346500.00
2019-06-18 00:00:00,0.30,0.35,0.30,0.31,0.31,4909600.00
2019-06-19 00:00:00,0.32,0.32,0.23,0.23,0.23,9248000.00
2019-06-20 00:00:00,0.28,0.28,0.21,0.22,0.22,9413400.00
2019-06-21 00:00:00,0.23,0.23,0.20,0.20,0.20,8162800.00
2019-06-24 00:00:00,0.21,0.21,0.18,0.18,0.18,8586600.00
2019-06-25 00:00:00,0.19,0.19,0.15,0.16,0.16,8922500.00
2019-06-26 00:00:00,0.16,0.21,0.13,0.18,0.18,25752500.00
2019-06-27 00:00:00,0.22,0.22,0.16,0.19,0.19,32314800.00
2019-06-28 00:00:00,0.19,0.19,0.17,0.18,0.18,10981900.00
2019-07-01 00:00:00,0.19,0.31,0.18,0.24,0.24,51794100.00
2019-07-02 00:00:00,0.32,0.58,0.31,0.55,0.55,141456400.00
2019-07-03 00:00:00,0.88,1.00,0.63,0.72,0.72,112343900.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,0.76,0.83,0.68,0.80,0.80,45754200.00
2019-07-08 00:00:00,0.76,0.79,0.69,0.75,0.75,16844500.00
2019-07-09 00:00:00,0.66,0.72,0.50,0.62,0.62,32352700.00
2019-07-10 00:00:00,0.66,0.89,0.65,0.80,0.80,51987700.00
2019-07-11 00:00:00,0.76,0.90,0.74,0.77,0.77,30715100.00
2019-07-12 00:00:00,0.76,0.82,0.70,0.72,0.72,16133200.00
2019-07-15 00:00:00,0.57,0.57,0.36,0.38,0.38,43169800.00
2019-07-16 00:00:00,0.40,0.43,0.29,0.32,0.32,27578100.00
2019-07-17 00:00:00,0.32,0.33,0.29,0.30,0.30,16114900.00
2019-07-18 00:00:00,0.30,0.31,0.26,0.30,0.30,13890600.00
2019-07-19 00:00:00,0.39,0.39,0.31,0.35,0.35,41870100.00
2019-07-22 00:00:00,0.32,0.38,0.31,0.36,0.36,16477500.00
2019-07-23 00:00:00,0.35,0.38,0.35,0.36,0.36,8379300.00
2019-07-24 00:00:00,0.35,0.37,0.31,0.33,0.33,9205800.00
2019-07-25 00:00:00,0.38,0.49,0.37,0.38,0.38,64875700.00
2019-07-26 00:00:00,0.39,0.41,0.36,0.38,0.38,18590900.00
2019-07-29 00:00:00,0.38,0.39,0.34,0.36,0.36,9437500.00
2019-07-30 00:00:00,0.36,0.36,0.34,0.35,0.35,8132800.00
2019-07-31 00:00:00,0.34,0.34,0.32,0.34,0.34,8915400.00
2019-08-01 00:00:00,0.34,0.34,0.31,0.31,0.31,8118200.00
2019-08-02 00:00:00,0.32,0.35,0.29,0.34,0.34,11499600.00
2019-08-05 00:00:00,0.33,0.34,0.31,0.34,0.34,6952000.00
2019-08-06 00:00:00,0.34,0.34,0.31,0.32,0.32,4947400.00
2019-08-07 00:00:00,0.33,0.33,0.30,0.31,0.31,5102500.00
2019-08-08 00:00:00,0.32,0.32,0.30,0.30,0.30,5107700.00
2019-08-09 00:00:00,0.31,0.38,0.30,0.35,0.35,14888300.00
2019-08-12 00:00:00,0.35,0.38,0.33,0.34,0.34,7793700.00
2019-08-13 00:00:00,0.35,0.35,0.31,0.32,0.32,5230300.00
2019-08-14 00:00:00,0.33,0.34,0.30,0.31,0.31,5988700.00
2019-08-15 00:00:00,0.31,0.40,0.30,0.35,0.35,32887300.00
2019-08-16 00:00:00,0.36,0.42,0.36,0.38,0.38,28409500.00
2019-08-19 00:00:00,0.40,0.40,0.36,0.37,0.37,12557800.00
2019-08-20 00:00:00,0.35,0.37,0.33,0.34,0.34,7000600.00
2019-08-21 00:00:00,0.33,0.34,0.32,0.33,0.33,4720200.00
2019-08-22 00:00:00,0.33,0.35,0.33,0.35,0.35,4914100.00
2019-08-23 00:00:00,0.35,0.37,0.33,0.34,0.34,4291900.00
2019-08-26 00:00:00,0.34,0.34,0.32,0.33,0.33,4207700.00
2019-08-27 00:00:00,0.33,0.33,0.32,0.32,0.32,2427400.00
2019-08-28 00:00:00,0.32,0.33,0.31,0.32,0.32,3662300.00
2019-08-29 00:00:00,0.32,0.33,0.32,0.32,0.32,2255400.00
2019-08-30 00:00:00,0.33,0.35,0.32,0.34,0.34,4973600.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,0.35,0.35,0.33,0.34,0.34,2729600.00
2019-09-04 00:00:00,0.34,0.35,0.33,0.34,0.34,3326400.00
2019-09-05 00:00:00,0.35,0.39,0.34,0.37,0.37,11688000.00
2019-09-06 00:00:00,0.39,0.43,0.38,0.40,0.40,15745300.00
2019-09-09 00:00:00,0.50,0.64,0.48,0.64,0.64,63553400.00
2019-09-10 00:00:00,0.65,0.65,0.41,0.42,0.42,58647900.00
