Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,10.61,10.83,10.45,10.74,10.51,12378700.00
2019-06-18 00:00:00,10.95,11.35,10.93,11.13,10.89,24961100.00
2019-06-19 00:00:00,11.06,11.27,10.99,11.19,10.95,18815600.00
2019-06-20 00:00:00,11.58,11.67,11.32,11.38,11.13,22356400.00
2019-06-21 00:00:00,11.38,11.45,11.29,11.34,11.09,22171500.00
2019-06-24 00:00:00,11.37,11.41,11.21,11.34,11.09,14296500.00
2019-06-25 00:00:00,11.38,11.52,11.32,11.34,11.09,13721700.00
2019-06-26 00:00:00,11.35,11.50,11.21,11.49,11.24,15438800.00
2019-06-27 00:00:00,11.57,11.79,11.41,11.56,11.31,17177500.00
2019-06-28 00:00:00,11.63,11.63,11.40,11.61,11.36,18130800.00
2019-07-01 00:00:00,11.39,11.47,10.86,11.45,11.20,39649200.00
2019-07-02 00:00:00,11.37,11.46,11.13,11.45,11.20,16519500.00
2019-07-03 00:00:00,11.38,11.41,11.23,11.31,11.07,9252700.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,11.08,11.33,10.92,11.29,11.05,11436900.00
2019-07-08 00:00:00,11.23,11.45,11.18,11.22,10.98,15674300.00
2019-07-09 00:00:00,11.01,11.03,10.60,10.87,10.63,24168600.00
2019-07-10 00:00:00,11.05,11.17,10.83,10.95,10.71,16509400.00
2019-07-11 00:00:00,11.08,11.15,10.91,11.10,10.86,19004900.00
2019-07-12 00:00:00,11.07,11.18,11.01,11.02,10.83,11815000.00
2019-07-15 00:00:00,11.16,11.23,11.01,11.14,10.95,14485100.00
2019-07-16 00:00:00,11.21,11.40,11.10,11.12,10.93,19193700.00
2019-07-17 00:00:00,11.09,11.16,10.92,11.06,10.87,18415100.00
2019-07-18 00:00:00,10.97,11.18,10.95,11.15,10.96,12662000.00
2019-07-19 00:00:00,11.43,11.70,11.32,11.49,11.29,30374500.00
2019-07-22 00:00:00,11.56,11.61,11.38,11.49,11.29,13686100.00
2019-07-23 00:00:00,11.54,11.73,11.52,11.65,11.45,13936300.00
2019-07-24 00:00:00,11.54,12.07,11.53,11.94,11.73,20942100.00
2019-07-25 00:00:00,12.05,12.05,11.26,11.42,11.22,25283600.00
2019-07-26 00:00:00,11.42,11.59,11.26,11.56,11.36,14341700.00
2019-07-29 00:00:00,11.55,11.67,11.45,11.61,11.41,14526400.00
2019-07-30 00:00:00,11.47,11.54,11.38,11.47,11.27,15139900.00
2019-07-31 00:00:00,11.40,11.47,10.85,11.06,10.87,18292800.00
2019-08-01 00:00:00,10.89,11.07,10.55,10.70,10.52,23839600.00
