Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,164.47,165.00,163.06,163.72,157.63,1313400.00
2019-06-18 00:00:00,165.01,169.12,164.71,166.34,160.15,2184300.00
2019-06-19 00:00:00,166.68,167.45,165.67,166.56,160.36,1608500.00
2019-06-20 00:00:00,168.39,169.54,166.79,168.50,162.23,2087400.00
2019-06-21 00:00:00,167.73,168.06,165.13,165.35,159.81,2527500.00
2019-06-24 00:00:00,164.00,164.98,160.58,160.90,155.51,3563700.00
2019-06-25 00:00:00,159.97,160.00,155.98,155.98,150.76,4793100.00
2019-06-26 00:00:00,156.45,161.26,153.51,159.92,154.57,6247600.00
2019-06-27 00:00:00,160.40,164.35,160.04,163.31,157.84,3460900.00
2019-06-28 00:00:00,164.23,166.39,164.00,164.19,158.69,5311700.00
2019-07-01 00:00:00,168.02,168.02,161.56,162.97,157.51,2346800.00
2019-07-02 00:00:00,163.07,163.23,159.51,159.79,154.44,1860200.00
2019-07-03 00:00:00,160.39,161.53,159.34,161.42,156.02,1180600.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,161.08,162.42,159.52,161.97,156.55,1125300.00
2019-07-08 00:00:00,160.26,161.72,159.04,160.82,155.44,1586300.00
2019-07-09 00:00:00,159.41,159.94,158.69,159.19,153.86,1218000.00
2019-07-10 00:00:00,162.17,162.82,159.76,159.99,154.63,2077600.00
2019-07-11 00:00:00,160.11,163.36,159.76,162.60,157.16,2499000.00
2019-07-12 00:00:00,164.63,168.44,164.31,167.47,161.86,3310800.00
2019-07-15 00:00:00,167.51,168.85,166.27,167.90,162.28,2021800.00
2019-07-16 00:00:00,168.82,172.96,168.82,169.79,164.11,2744100.00
2019-07-17 00:00:00,169.57,169.78,164.74,165.05,159.52,3074900.00
2019-07-18 00:00:00,164.64,166.50,163.76,165.38,159.84,1681600.00
2019-07-19 00:00:00,166.17,168.87,166.15,167.13,161.54,2067200.00
2019-07-22 00:00:00,168.54,171.13,168.24,169.55,163.87,2130700.00
2019-07-23 00:00:00,171.00,173.95,171.00,173.77,167.95,2866400.00
2019-07-24 00:00:00,174.79,178.50,174.42,176.01,170.12,2679100.00
2019-07-25 00:00:00,175.60,176.76,174.63,175.87,169.98,1985700.00
2019-07-26 00:00:00,175.80,175.92,173.80,174.94,169.08,2003200.00
2019-07-29 00:00:00,174.53,175.04,171.70,172.60,166.82,1389100.00
2019-07-30 00:00:00,171.54,172.94,169.59,172.39,166.62,1226300.00
2019-07-31 00:00:00,172.44,173.99,168.58,170.53,164.82,1485400.00
2019-08-01 00:00:00,170.16,171.47,162.69,163.31,157.84,3039200.00
