Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,46.11,46.37,45.54,45.62,44.66,142900.00
2019-06-18 00:00:00,45.85,46.52,45.74,45.80,44.84,185300.00
2019-06-19 00:00:00,45.88,46.14,45.48,45.92,44.96,121400.00
2019-06-20 00:00:00,46.50,47.00,46.11,46.92,45.94,91200.00
2019-06-21 00:00:00,46.65,46.92,46.00,46.03,45.07,289800.00
2019-06-24 00:00:00,46.19,46.75,45.38,45.42,44.47,130700.00
2019-06-25 00:00:00,45.39,46.01,45.29,45.67,44.71,161100.00
2019-06-26 00:00:00,45.87,46.36,45.42,45.70,44.74,108400.00
2019-06-27 00:00:00,45.82,46.61,45.75,46.61,45.63,115000.00
2019-06-28 00:00:00,46.61,47.69,46.45,47.50,46.50,296400.00
2019-07-01 00:00:00,47.98,48.03,46.41,46.73,45.75,181600.00
2019-07-02 00:00:00,46.89,46.89,46.10,46.38,45.41,121500.00
2019-07-03 00:00:00,46.64,47.00,46.43,46.79,45.81,72900.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,46.67,46.70,45.72,46.60,45.62,136100.00
2019-07-08 00:00:00,46.58,46.80,46.12,46.24,45.27,225700.00
2019-07-09 00:00:00,46.10,46.10,45.15,45.40,44.45,148000.00
2019-07-10 00:00:00,45.56,45.65,45.10,45.13,44.18,135600.00
2019-07-11 00:00:00,45.20,45.20,44.43,44.78,43.84,118100.00
2019-07-12 00:00:00,44.96,45.60,44.61,45.26,44.31,262600.00
2019-07-15 00:00:00,45.31,45.57,45.00,45.54,44.59,299400.00
2019-07-16 00:00:00,45.57,46.35,45.42,46.14,45.17,200800.00
2019-07-17 00:00:00,46.15,46.38,45.55,45.58,44.63,129800.00
2019-07-18 00:00:00,45.66,45.83,45.37,45.50,44.55,140800.00
2019-07-19 00:00:00,45.47,46.08,45.44,45.61,44.65,188700.00
2019-07-22 00:00:00,45.65,45.74,45.02,45.69,44.73,253100.00
2019-07-23 00:00:00,45.00,46.56,44.49,46.43,45.46,325400.00
2019-07-24 00:00:00,46.05,46.88,45.71,46.81,45.83,274500.00
2019-07-25 00:00:00,46.99,46.99,46.00,46.65,45.67,135500.00
2019-07-26 00:00:00,46.64,47.39,46.59,47.15,46.16,124000.00
2019-07-29 00:00:00,47.21,47.31,45.75,46.44,45.47,125600.00
2019-07-30 00:00:00,46.13,47.23,46.08,47.07,46.08,198700.00
2019-07-31 00:00:00,47.03,47.79,46.62,46.86,46.02,204300.00
2019-08-01 00:00:00,46.89,47.10,45.86,46.66,45.82,229900.00
2019-08-02 00:00:00,46.74,47.34,46.00,46.51,45.68,176500.00
