Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,140.45,142.33,135.13,136.93,136.93,1187500.00
2019-06-17 00:00:00,136.94,139.70,135.67,138.81,138.81,860400.00
2019-06-18 00:00:00,140.32,144.26,139.93,141.01,141.01,573900.00
2019-06-19 00:00:00,141.99,142.01,140.30,141.44,141.44,554100.00
2019-06-20 00:00:00,142.89,142.96,140.78,142.29,142.29,1032200.00
2019-06-21 00:00:00,142.21,143.86,140.78,143.73,143.73,1869500.00
2019-06-24 00:00:00,144.08,144.86,142.69,143.16,143.16,752700.00
2019-06-25 00:00:00,143.36,144.26,140.84,141.02,141.02,474400.00
2019-06-26 00:00:00,142.30,143.59,141.84,142.63,142.63,480300.00
2019-06-27 00:00:00,143.04,143.93,142.61,143.05,143.05,406000.00
2019-06-28 00:00:00,144.04,146.09,143.64,145.63,145.63,1135100.00
2019-07-01 00:00:00,147.88,148.89,146.28,148.12,148.12,522400.00
2019-07-02 00:00:00,148.14,148.44,144.68,146.38,146.38,541100.00
2019-07-03 00:00:00,147.15,149.32,146.85,147.80,147.80,525300.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,147.02,147.95,146.11,147.66,147.66,402100.00
2019-07-08 00:00:00,139.83,142.30,138.78,142.01,142.01,963500.00
2019-07-09 00:00:00,141.13,142.77,140.47,142.68,142.68,871600.00
2019-07-10 00:00:00,143.57,145.19,141.05,141.57,141.57,761500.00
2019-07-11 00:00:00,141.73,143.81,141.06,142.76,142.76,772000.00
2019-07-12 00:00:00,143.18,146.44,143.18,145.56,145.56,482100.00
2019-07-15 00:00:00,146.50,147.00,144.57,146.08,146.08,406300.00
2019-07-16 00:00:00,145.97,146.98,145.20,146.52,146.52,646100.00
2019-07-17 00:00:00,147.03,147.60,144.88,144.97,144.97,533700.00
2019-07-18 00:00:00,144.95,146.25,144.05,145.59,145.59,606800.00
2019-07-19 00:00:00,146.85,149.09,146.00,147.97,147.97,623700.00
2019-07-22 00:00:00,148.00,148.00,145.35,145.62,145.62,881300.00
2019-07-23 00:00:00,147.06,148.00,145.12,147.64,147.64,507000.00
2019-07-24 00:00:00,147.83,148.76,146.93,148.67,148.67,945500.00
2019-07-25 00:00:00,146.02,149.14,142.32,147.69,147.69,2056300.00
2019-07-26 00:00:00,148.22,153.99,147.60,153.81,153.81,1241500.00
2019-07-29 00:00:00,153.35,153.52,150.02,152.25,152.25,778900.00
2019-07-30 00:00:00,151.02,151.54,148.99,149.88,149.88,548800.00
2019-07-31 00:00:00,150.27,150.27,146.04,146.72,146.72,727000.00
2019-08-01 00:00:00,146.71,149.72,144.45,144.76,144.76,846500.00
2019-08-02 00:00:00,142.73,143.01,138.16,139.04,139.04,836900.00
2019-08-05 00:00:00,136.69,137.20,133.58,134.61,134.61,679000.00
2019-08-06 00:00:00,135.94,136.27,133.15,136.12,136.12,810300.00
2019-08-07 00:00:00,133.70,135.21,131.32,134.00,134.00,703800.00
2019-08-08 00:00:00,135.69,137.91,135.17,137.41,137.41,655700.00
2019-08-09 00:00:00,136.43,136.58,133.14,133.44,133.44,679100.00
2019-08-12 00:00:00,133.07,133.07,130.25,130.48,130.48,591700.00
2019-08-13 00:00:00,129.54,133.75,129.16,131.61,131.61,612300.00
2019-08-14 00:00:00,129.69,129.69,125.35,127.63,127.63,928000.00
2019-08-15 00:00:00,127.19,127.42,125.22,126.17,126.17,652300.00
2019-08-16 00:00:00,126.97,129.45,126.48,128.74,128.74,615000.00
2019-08-19 00:00:00,131.02,132.31,129.60,129.68,129.68,579100.00
2019-08-20 00:00:00,129.41,129.41,126.65,127.12,127.12,568400.00
2019-08-21 00:00:00,128.71,130.52,127.66,129.38,129.38,415600.00
2019-08-22 00:00:00,129.87,130.31,128.84,129.35,129.35,448900.00
2019-08-23 00:00:00,129.00,129.48,123.91,124.39,124.39,733000.00
2019-08-26 00:00:00,126.12,126.12,124.25,125.14,125.14,485700.00
2019-08-27 00:00:00,126.08,126.28,121.80,122.07,122.07,916500.00
2019-08-28 00:00:00,122.07,124.59,121.36,124.21,124.21,693400.00
2019-08-29 00:00:00,126.06,129.35,126.06,128.12,128.12,760900.00
2019-08-30 00:00:00,128.61,129.23,127.73,128.73,128.73,551200.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,127.70,128.64,126.71,128.08,128.08,801500.00
2019-09-04 00:00:00,130.08,130.40,126.51,127.87,127.87,806800.00
2019-09-05 00:00:00,130.23,132.84,128.24,131.27,131.27,737400.00
2019-09-06 00:00:00,131.90,133.22,131.13,132.96,132.96,486700.00
2019-09-09 00:00:00,136.35,136.71,133.86,134.73,134.73,773000.00
2019-09-10 00:00:00,134.91,140.95,134.10,140.88,140.88,686400.00
2019-09-11 00:00:00,141.14,142.59,139.41,142.32,142.32,506900.00
2019-09-12 00:00:00,142.43,142.99,139.88,141.29,141.29,458900.00
2019-09-13 00:00:00,141.01,142.33,139.70,139.83,139.83,406900.00
2019-09-16 00:00:00,139.36,141.52,139.36,140.61,140.61,412700.00
2019-09-17 00:00:00,139.55,140.09,135.75,139.03,139.03,481100.00
2019-09-18 00:00:00,138.71,140.00,137.54,138.77,138.77,517100.00
2019-09-19 00:00:00,139.03,140.13,137.80,138.20,138.20,447300.00
2019-09-20 00:00:00,138.63,139.08,136.59,137.14,137.14,666000.00
2019-09-23 00:00:00,136.54,139.32,136.54,139.06,139.06,733500.00
2019-09-24 00:00:00,139.61,139.74,136.94,137.68,137.68,400900.00
2019-09-25 00:00:00,137.69,140.40,137.62,140.18,140.18,472200.00
2019-09-26 00:00:00,140.09,140.09,138.03,139.74,139.74,322900.00
2019-09-27 00:00:00,140.08,141.83,139.12,139.71,139.71,348100.00
2019-09-30 00:00:00,140.50,141.17,139.47,140.42,140.42,407000.00
2019-10-01 00:00:00,140.70,141.88,132.99,135.62,135.62,907300.00
2019-10-02 00:00:00,134.01,134.46,131.59,132.08,132.08,562400.00
2019-10-03 00:00:00,131.98,133.46,129.02,132.84,132.84,698000.00
2019-10-04 00:00:00,133.77,134.59,131.37,132.96,132.96,735000.00
2019-10-07 00:00:00,133.01,134.31,131.01,133.30,133.30,604500.00
2019-10-08 00:00:00,131.97,131.97,129.58,129.97,129.97,484800.00
2019-10-09 00:00:00,131.62,132.67,130.25,131.95,131.95,378400.00
2019-10-10 00:00:00,131.46,133.82,128.51,132.45,132.45,354600.00
2019-10-11 00:00:00,134.74,138.26,134.21,135.67,135.67,530000.00
2019-10-14 00:00:00,135.25,136.04,133.94,135.40,135.40,289400.00
2019-10-15 00:00:00,135.39,136.87,134.63,135.40,135.40,472200.00
2019-10-16 00:00:00,135.73,136.63,134.57,136.31,136.31,580800.00
2019-10-17 00:00:00,136.86,137.75,135.99,137.17,137.17,308200.00
2019-10-18 00:00:00,137.13,138.04,136.02,137.69,137.69,490700.00
2019-10-21 00:00:00,138.65,139.48,137.77,137.84,137.84,557700.00
2019-10-22 00:00:00,138.66,140.44,137.84,139.10,139.10,468200.00
2019-10-23 00:00:00,138.67,139.44,137.31,138.32,138.32,807800.00
2019-10-24 00:00:00,150.00,153.00,145.86,145.94,145.94,2154200.00
2019-10-25 00:00:00,144.56,146.61,141.65,143.55,143.55,1186400.00
2019-10-28 00:00:00,144.25,145.56,142.16,143.03,143.03,411300.00
