Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,27.39,27.63,26.90,26.97,24.58,7111800.00
2019-06-18 00:00:00,26.98,27.91,26.90,27.88,25.41,8542700.00
2019-06-19 00:00:00,28.00,28.39,27.23,27.29,24.87,8696000.00
2019-06-20 00:00:00,27.42,27.50,26.76,27.30,24.88,8431700.00
2019-06-21 00:00:00,27.24,27.58,27.20,27.36,24.94,11605900.00
2019-06-24 00:00:00,27.40,27.66,27.10,27.18,24.77,6383800.00
2019-06-25 00:00:00,27.13,27.28,26.80,27.09,24.69,7386700.00
2019-06-26 00:00:00,27.23,27.48,27.16,27.26,24.84,5545100.00
2019-06-27 00:00:00,27.16,27.52,27.07,27.29,25.09,4031000.00
2019-06-28 00:00:00,27.50,27.95,27.23,27.90,25.65,8183300.00
2019-07-01 00:00:00,28.19,28.48,28.06,28.32,26.04,6262800.00
2019-07-02 00:00:00,28.24,28.42,27.65,27.71,25.48,5008500.00
2019-07-03 00:00:00,27.85,28.11,27.72,28.10,25.84,2300000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,28.32,28.64,28.23,28.35,26.07,2636100.00
2019-07-08 00:00:00,28.24,28.24,27.95,28.06,25.80,4645400.00
2019-07-09 00:00:00,27.81,28.29,27.78,28.26,25.98,4312400.00
2019-07-10 00:00:00,28.28,28.30,27.60,27.64,25.41,5723900.00
2019-07-11 00:00:00,27.81,28.16,27.60,28.05,25.79,5608600.00
2019-07-12 00:00:00,27.98,28.23,27.82,28.20,25.93,4309400.00
2019-07-15 00:00:00,28.25,28.25,27.74,27.81,25.57,5823400.00
2019-07-16 00:00:00,27.91,27.96,27.64,27.85,25.61,4920400.00
2019-07-17 00:00:00,27.78,27.78,27.46,27.58,25.36,5674500.00
2019-07-18 00:00:00,27.56,28.09,27.45,27.81,25.57,4296200.00
2019-07-19 00:00:00,27.82,28.18,27.70,27.94,25.69,4309900.00
2019-07-22 00:00:00,27.88,27.98,27.65,27.82,25.58,6180100.00
2019-07-23 00:00:00,28.26,29.29,28.10,29.25,26.89,9840300.00
2019-07-24 00:00:00,29.13,29.76,29.13,29.66,27.27,6981100.00
2019-07-25 00:00:00,29.66,30.00,29.46,29.56,27.18,6212000.00
2019-07-26 00:00:00,29.50,30.16,29.42,30.04,27.62,4967500.00
2019-07-29 00:00:00,29.97,30.20,29.75,29.77,27.37,4570600.00
2019-07-30 00:00:00,29.49,29.89,29.42,29.88,27.47,4783800.00
2019-07-31 00:00:00,29.87,30.00,29.48,29.69,27.30,5788600.00
2019-08-01 00:00:00,29.60,29.74,28.23,28.37,26.09,6189800.00
