Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,89.22,89.48,88.23,88.32,86.27,275900.00
2019-06-18 00:00:00,88.37,89.04,87.97,88.79,86.73,330800.00
2019-06-19 00:00:00,88.73,89.50,88.43,88.60,86.54,378000.00
2019-06-20 00:00:00,89.21,89.49,88.06,89.37,87.29,378300.00
2019-06-21 00:00:00,89.49,89.59,88.05,88.08,86.03,1055800.00
2019-06-24 00:00:00,88.14,89.30,88.14,88.34,86.29,450000.00
2019-06-25 00:00:00,88.42,88.50,87.81,88.25,86.20,371500.00
2019-06-26 00:00:00,88.39,88.63,87.58,87.58,85.55,384300.00
2019-06-27 00:00:00,87.82,88.57,87.77,88.44,86.39,343700.00
2019-06-28 00:00:00,89.03,89.67,89.03,89.46,87.38,913500.00
2019-07-01 00:00:00,90.07,91.27,90.07,91.13,89.01,460600.00
2019-07-02 00:00:00,91.17,91.29,89.99,90.51,88.41,400800.00
2019-07-03 00:00:00,90.65,91.77,90.64,91.63,89.67,255200.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,91.66,91.83,90.99,91.77,89.81,408600.00
2019-07-08 00:00:00,91.32,91.62,90.81,90.87,88.93,451200.00
2019-07-09 00:00:00,90.31,91.57,90.31,91.54,89.59,463900.00
2019-07-10 00:00:00,91.54,91.84,90.99,91.12,89.17,485500.00
2019-07-11 00:00:00,91.48,91.70,90.77,91.68,89.72,565500.00
2019-07-12 00:00:00,91.85,92.18,91.33,92.05,90.08,452800.00
2019-07-15 00:00:00,92.34,92.36,91.71,92.26,90.29,375900.00
2019-07-16 00:00:00,92.42,92.42,91.77,91.91,89.95,504600.00
2019-07-17 00:00:00,91.76,92.03,90.96,91.31,89.36,348400.00
2019-07-18 00:00:00,91.22,91.98,91.04,91.83,89.87,367700.00
2019-07-19 00:00:00,91.94,92.21,91.00,91.04,89.10,341800.00
2019-07-22 00:00:00,91.03,91.42,90.85,91.10,89.16,374900.00
2019-07-23 00:00:00,91.11,91.63,90.58,91.32,89.37,358100.00
2019-07-24 00:00:00,91.18,91.44,90.35,90.88,88.94,556000.00
2019-07-25 00:00:00,92.08,93.26,91.39,92.15,90.18,673200.00
2019-07-26 00:00:00,92.42,92.96,91.69,92.93,90.95,629800.00
2019-07-29 00:00:00,93.08,93.15,91.57,91.90,89.94,478000.00
2019-07-30 00:00:00,91.50,92.15,91.28,91.72,89.76,351200.00
2019-07-31 00:00:00,91.71,92.15,90.94,91.32,89.37,613500.00
2019-08-01 00:00:00,91.10,91.19,87.75,88.61,86.72,718000.00
