Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,103.09,103.49,102.19,102.39,94.17,418700.00
2019-06-18 00:00:00,102.67,103.32,102.67,102.92,94.66,298000.00
2019-06-19 00:00:00,102.94,103.28,101.41,102.79,94.54,448600.00
2019-06-20 00:00:00,103.41,103.94,102.76,103.79,95.46,550100.00
2019-06-21 00:00:00,104.38,104.45,103.31,103.98,95.63,1283900.00
2019-06-24 00:00:00,103.79,104.35,103.20,103.95,95.61,553000.00
2019-06-25 00:00:00,103.85,103.85,102.74,103.37,95.07,1006600.00
2019-06-26 00:00:00,103.26,103.59,101.93,101.95,93.77,513100.00
2019-06-27 00:00:00,102.00,103.02,101.87,102.84,94.58,471700.00
2019-06-28 00:00:00,103.15,103.90,102.74,103.58,95.26,970500.00
2019-07-01 00:00:00,104.36,105.13,103.79,104.61,96.21,536500.00
2019-07-02 00:00:00,104.81,104.88,103.50,104.65,96.25,689000.00
2019-07-03 00:00:00,104.84,106.17,104.82,106.15,97.63,456800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,105.90,106.09,104.90,105.60,97.12,406800.00
2019-07-08 00:00:00,105.34,105.93,105.02,105.13,96.69,496900.00
2019-07-09 00:00:00,104.87,104.99,103.92,104.16,95.80,920200.00
2019-07-10 00:00:00,104.36,104.82,104.00,104.19,95.83,625500.00
2019-07-11 00:00:00,104.29,104.41,103.62,103.90,95.56,716500.00
2019-07-12 00:00:00,104.10,105.41,104.10,105.41,96.95,682900.00
2019-07-15 00:00:00,105.40,105.68,104.08,104.81,96.40,650000.00
2019-07-16 00:00:00,105.25,105.77,104.73,105.35,96.89,682800.00
2019-07-17 00:00:00,104.95,105.52,101.97,102.22,94.01,1016300.00
2019-07-18 00:00:00,100.00,100.27,96.54,97.61,89.77,2233400.00
2019-07-19 00:00:00,97.41,97.73,95.10,95.18,87.54,1403900.00
2019-07-22 00:00:00,95.18,96.19,94.69,95.80,88.11,1181200.00
2019-07-23 00:00:00,95.97,97.12,95.10,97.00,89.21,981200.00
2019-07-24 00:00:00,97.08,98.05,96.50,97.30,89.49,837100.00
2019-07-25 00:00:00,97.30,98.03,96.93,97.47,89.65,982000.00
2019-07-26 00:00:00,97.64,98.30,97.35,97.91,90.05,549600.00
2019-07-29 00:00:00,97.90,98.55,97.60,98.35,90.45,475700.00
2019-07-30 00:00:00,98.20,98.36,97.51,97.93,90.07,625700.00
2019-07-31 00:00:00,97.89,98.45,96.49,97.12,89.32,1148800.00
2019-08-01 00:00:00,97.00,97.22,94.00,94.53,86.94,1006500.00
