Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,18.16,18.34,18.03,18.33,16.55,5720000.00
2019-06-18 00:00:00,18.33,18.77,17.93,18.01,16.26,7688200.00
2019-06-19 00:00:00,18.06,18.20,17.77,18.03,16.28,4556600.00
2019-06-20 00:00:00,18.20,18.25,17.82,18.10,16.34,4266400.00
2019-06-21 00:00:00,18.11,18.43,17.78,18.22,16.45,6795400.00
2019-06-24 00:00:00,18.11,18.12,17.58,17.68,15.96,5036000.00
2019-06-25 00:00:00,17.70,17.86,17.45,17.49,15.79,5477600.00
2019-06-26 00:00:00,17.57,17.96,17.45,17.64,15.93,4713400.00
2019-06-27 00:00:00,17.77,17.84,17.57,17.72,16.00,6966300.00
2019-06-28 00:00:00,17.78,18.01,17.74,17.97,16.23,7282100.00
2019-07-01 00:00:00,18.24,18.41,17.61,17.96,16.22,5965400.00
2019-07-02 00:00:00,17.96,18.04,17.66,17.67,15.95,5605600.00
2019-07-03 00:00:00,17.79,18.17,17.77,18.12,16.36,3518400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,18.11,18.51,18.01,18.30,16.52,4534200.00
2019-07-08 00:00:00,18.33,18.65,18.14,18.48,16.69,4738600.00
2019-07-09 00:00:00,18.18,18.35,17.89,17.98,16.45,5571300.00
2019-07-10 00:00:00,18.08,18.14,17.73,17.86,16.34,5109200.00
2019-07-11 00:00:00,17.97,18.18,17.83,18.17,16.62,4494900.00
2019-07-12 00:00:00,18.22,18.85,18.22,18.66,17.07,4894100.00
2019-07-15 00:00:00,18.75,19.18,18.67,18.91,17.30,4574200.00
2019-07-16 00:00:00,18.90,19.30,18.80,19.23,17.59,4315100.00
2019-07-17 00:00:00,19.08,19.12,18.58,18.74,17.15,5441000.00
2019-07-18 00:00:00,18.71,18.75,18.49,18.54,16.96,5916400.00
2019-07-19 00:00:00,18.76,19.07,18.60,18.78,17.18,5833100.00
2019-07-22 00:00:00,18.81,19.11,18.49,18.72,17.13,4428300.00
2019-07-23 00:00:00,18.86,18.99,18.43,18.71,17.12,7214800.00
2019-07-24 00:00:00,18.75,19.35,18.71,19.32,17.68,5488800.00
2019-07-25 00:00:00,19.33,19.57,19.08,19.26,17.62,5237700.00
2019-07-26 00:00:00,19.33,19.61,18.99,19.54,17.88,4700600.00
2019-07-29 00:00:00,19.57,19.68,19.25,19.52,17.86,4376700.00
2019-07-30 00:00:00,19.46,19.46,19.10,19.40,17.75,4200500.00
2019-07-31 00:00:00,19.39,19.63,19.20,19.50,17.84,9303000.00
2019-08-01 00:00:00,19.44,19.47,17.69,17.96,16.43,10351400.00
