Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,27.28,27.37,26.85,26.99,24.19,243200.00
2019-06-17 00:00:00,27.03,27.15,26.81,26.90,24.11,367300.00
2019-06-18 00:00:00,27.09,27.35,26.85,27.11,24.29,225600.00
2019-06-19 00:00:00,27.07,27.60,26.95,27.60,24.73,270300.00
2019-06-20 00:00:00,27.67,27.75,27.45,27.71,24.83,231600.00
2019-06-21 00:00:00,27.69,27.73,27.40,27.53,24.67,567200.00
2019-06-24 00:00:00,27.60,27.71,27.25,27.59,24.72,264500.00
2019-06-25 00:00:00,27.70,27.81,27.47,27.58,24.72,254100.00
2019-06-26 00:00:00,27.64,27.66,26.84,26.84,24.05,317800.00
2019-06-27 00:00:00,26.98,27.30,26.87,27.11,24.29,328000.00
2019-06-28 00:00:00,27.18,28.21,27.18,28.18,25.25,1004400.00
2019-07-01 00:00:00,28.26,28.53,27.54,27.75,24.87,511700.00
2019-07-02 00:00:00,27.81,28.20,27.77,28.10,25.18,386000.00
2019-07-03 00:00:00,27.83,28.17,27.66,28.02,25.41,142900.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,28.01,28.37,27.75,28.35,25.71,245200.00
2019-07-08 00:00:00,28.34,28.44,28.18,28.39,25.75,259600.00
2019-07-09 00:00:00,28.36,28.46,28.16,28.46,25.81,257100.00
2019-07-10 00:00:00,28.63,28.67,28.40,28.48,25.83,218700.00
2019-07-11 00:00:00,28.45,28.47,28.13,28.27,25.64,225200.00
2019-07-12 00:00:00,28.36,28.36,27.83,28.05,25.44,251800.00
2019-07-15 00:00:00,28.05,28.14,27.81,28.05,25.44,221000.00
2019-07-16 00:00:00,28.04,28.24,27.92,28.06,25.45,139100.00
2019-07-17 00:00:00,28.05,28.11,27.67,27.88,25.29,193200.00
2019-07-18 00:00:00,27.82,28.01,27.54,27.83,25.24,209200.00
2019-07-19 00:00:00,27.86,28.08,27.50,27.53,24.97,221600.00
2019-07-22 00:00:00,27.53,27.77,27.38,27.55,24.99,191900.00
2019-07-23 00:00:00,27.55,27.81,27.44,27.50,24.94,307600.00
2019-07-24 00:00:00,27.44,27.86,27.26,27.86,25.27,222900.00
2019-07-25 00:00:00,27.82,27.90,27.67,27.86,25.27,222700.00
2019-07-26 00:00:00,27.85,27.97,27.69,27.89,25.29,235300.00
2019-07-29 00:00:00,27.89,28.00,27.76,27.93,25.33,179400.00
2019-07-30 00:00:00,27.81,28.11,27.81,27.95,25.35,199900.00
2019-07-31 00:00:00,27.97,28.17,27.38,27.45,24.90,392600.00
2019-08-01 00:00:00,27.49,27.92,27.21,27.30,24.76,249000.00
2019-08-02 00:00:00,26.90,27.72,26.51,27.50,24.94,247100.00
2019-08-05 00:00:00,27.33,27.46,26.54,26.87,24.37,567200.00
2019-08-06 00:00:00,26.88,27.19,26.66,27.13,24.61,278800.00
2019-08-07 00:00:00,27.18,28.19,27.03,27.78,25.19,329300.00
2019-08-08 00:00:00,28.05,28.60,27.64,28.49,25.84,341400.00
2019-08-09 00:00:00,28.50,28.50,27.93,27.94,25.34,239200.00
2019-08-12 00:00:00,27.85,28.02,27.29,27.40,24.85,222100.00
2019-08-13 00:00:00,27.34,27.62,27.15,27.36,24.81,246000.00
2019-08-14 00:00:00,27.01,27.23,26.64,26.75,24.26,308100.00
2019-08-15 00:00:00,26.75,27.02,26.59,26.83,24.33,206300.00
2019-08-16 00:00:00,26.90,27.31,26.80,27.17,24.64,159700.00
2019-08-19 00:00:00,27.32,27.66,27.20,27.52,24.96,182200.00
2019-08-20 00:00:00,27.55,27.67,27.30,27.65,25.08,234900.00
