Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,64.02,64.28,63.44,63.53,62.86,1008400.00
2019-06-18 00:00:00,63.85,64.12,63.30,63.40,62.74,1204000.00
2019-06-19 00:00:00,63.28,63.44,62.78,63.33,62.98,1234000.00
2019-06-20 00:00:00,63.76,64.39,63.70,64.38,64.03,998800.00
2019-06-21 00:00:00,63.90,63.90,62.81,63.40,63.06,1213600.00
2019-06-24 00:00:00,63.45,64.14,63.37,63.76,63.42,986800.00
2019-06-25 00:00:00,63.96,64.00,63.40,63.77,63.42,1173600.00
2019-06-26 00:00:00,64.12,64.25,63.75,63.90,63.55,1791800.00
2019-06-27 00:00:00,63.90,64.47,63.90,64.39,64.04,895200.00
2019-06-28 00:00:00,64.58,65.04,64.23,65.02,64.67,1489600.00
2019-07-01 00:00:00,65.43,65.64,64.79,65.49,65.13,1234800.00
2019-07-02 00:00:00,65.59,65.89,65.00,65.65,65.29,904000.00
2019-07-03 00:00:00,65.45,65.85,65.34,65.65,65.30,419800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,65.69,65.87,64.60,64.89,64.54,1354600.00
2019-07-08 00:00:00,63.83,63.95,63.09,63.10,62.76,1810800.00
2019-07-09 00:00:00,62.85,62.85,62.03,62.21,61.87,1925600.00
2019-07-10 00:00:00,62.75,63.72,62.54,63.38,63.04,1949600.00
2019-07-11 00:00:00,63.47,64.14,63.28,64.03,63.68,1142600.00
2019-07-12 00:00:00,63.75,63.78,62.87,62.97,62.63,996800.00
2019-07-15 00:00:00,63.22,63.57,62.88,62.97,62.62,1045800.00
2019-07-16 00:00:00,63.08,63.11,62.56,62.62,62.29,896400.00
2019-07-17 00:00:00,62.72,62.98,62.43,62.96,62.62,793800.00
2019-07-18 00:00:00,63.07,63.67,62.87,63.54,63.20,1061000.00
2019-07-19 00:00:00,62.70,62.76,60.95,61.68,61.35,2090800.00
2019-07-22 00:00:00,60.54,60.74,58.43,58.75,58.43,3416000.00
2019-07-23 00:00:00,58.31,58.58,57.10,57.65,57.34,4125400.00
2019-07-24 00:00:00,57.97,58.88,57.93,58.42,58.11,1899800.00
2019-07-25 00:00:00,58.69,58.90,58.15,58.21,57.89,1420000.00
2019-07-26 00:00:00,58.42,58.42,57.55,57.58,57.27,1922600.00
2019-07-29 00:00:00,57.60,57.67,57.17,57.50,57.19,1262200.00
2019-07-30 00:00:00,57.44,57.49,56.83,56.95,56.64,1593600.00
2019-07-31 00:00:00,57.19,57.72,57.17,57.49,57.29,2325200.00
2019-08-01 00:00:00,57.27,58.10,56.99,57.29,57.09,1210800.00
