Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,55.04,55.04,54.45,54.53,50.95,1259500.00
2019-06-18 00:00:00,54.48,55.02,54.42,54.98,51.37,2420000.00
2019-06-19 00:00:00,55.05,55.39,54.94,55.25,51.62,1426100.00
2019-06-20 00:00:00,55.45,55.66,54.89,55.63,51.98,2114400.00
2019-06-21 00:00:00,55.54,55.80,55.36,55.72,52.06,4135300.00
2019-06-24 00:00:00,55.66,56.10,55.50,55.69,52.03,2002400.00
2019-06-25 00:00:00,55.59,56.31,55.59,56.03,52.35,2678900.00
2019-06-26 00:00:00,56.13,56.13,54.74,54.88,51.28,2161500.00
2019-06-27 00:00:00,54.88,55.46,54.61,55.40,51.76,2245500.00
2019-06-28 00:00:00,55.74,55.93,55.43,55.72,52.06,3479900.00
2019-07-01 00:00:00,55.98,55.99,55.23,55.89,52.22,2344800.00
2019-07-02 00:00:00,56.00,56.36,55.77,56.28,52.58,1854300.00
2019-07-03 00:00:00,56.44,57.23,56.36,57.16,53.41,1059900.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,57.17,57.18,56.64,56.95,53.21,1181700.00
2019-07-08 00:00:00,56.73,57.21,56.68,57.11,53.36,1850300.00
2019-07-09 00:00:00,57.11,57.19,56.74,57.08,53.33,1934300.00
2019-07-10 00:00:00,57.11,57.38,56.69,57.17,53.42,1695100.00
2019-07-11 00:00:00,57.27,57.34,56.48,56.86,53.13,1582800.00
2019-07-12 00:00:00,57.07,57.54,56.90,57.49,53.71,1995600.00
2019-07-15 00:00:00,57.68,57.78,57.45,57.72,53.93,1464800.00
2019-07-16 00:00:00,57.88,58.19,57.78,58.05,54.24,2292700.00
2019-07-17 00:00:00,57.95,58.08,57.48,57.66,53.87,1800800.00
2019-07-18 00:00:00,57.71,58.11,57.65,57.90,54.10,1728400.00
2019-07-19 00:00:00,58.22,58.22,57.10,57.11,53.36,1962100.00
2019-07-22 00:00:00,57.09,57.49,56.97,57.04,53.29,1197800.00
2019-07-23 00:00:00,57.02,57.24,56.45,56.90,53.16,1730100.00
2019-07-24 00:00:00,56.86,57.56,56.75,57.53,53.75,1625400.00
2019-07-25 00:00:00,57.57,57.80,57.28,57.63,53.85,1619300.00
2019-07-26 00:00:00,57.63,58.14,57.48,58.14,54.32,1519100.00
2019-07-29 00:00:00,58.08,58.24,57.47,57.75,53.96,1916900.00
2019-07-30 00:00:00,57.45,57.82,57.24,57.77,53.98,1489500.00
2019-07-31 00:00:00,57.75,58.07,57.19,57.63,53.85,2214300.00
2019-08-01 00:00:00,57.60,57.93,56.22,56.90,53.16,3023200.00
