Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,3.34,3.36,3.25,3.26,3.20,582200.00
2019-06-18 00:00:00,3.27,3.44,3.24,3.37,3.31,1229400.00
2019-06-19 00:00:00,3.41,3.43,3.30,3.37,3.31,628800.00
2019-06-20 00:00:00,3.41,3.44,3.32,3.37,3.31,886600.00
2019-06-21 00:00:00,3.33,3.37,3.27,3.33,3.27,491900.00
2019-06-24 00:00:00,3.32,3.39,3.31,3.31,3.25,593100.00
2019-06-25 00:00:00,3.30,3.36,3.25,3.33,3.27,766800.00
2019-06-26 00:00:00,3.36,3.57,3.33,3.47,3.41,2400500.00
2019-06-27 00:00:00,3.47,3.53,3.44,3.44,3.38,596400.00
2019-06-28 00:00:00,3.44,3.50,3.44,3.48,3.42,503200.00
2019-07-01 00:00:00,3.54,3.60,3.47,3.47,3.41,778800.00
2019-07-02 00:00:00,3.47,3.51,3.46,3.50,3.44,641600.00
2019-07-03 00:00:00,3.49,3.69,3.49,3.56,3.50,2475200.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,3.50,3.56,3.49,3.52,3.46,520900.00
2019-07-08 00:00:00,3.50,3.53,3.37,3.40,3.34,751000.00
2019-07-09 00:00:00,3.40,3.54,3.39,3.48,3.42,1310000.00
2019-07-10 00:00:00,3.48,3.54,3.37,3.40,3.34,1031000.00
2019-07-11 00:00:00,3.43,3.46,3.32,3.35,3.29,1183300.00
2019-07-12 00:00:00,3.30,3.33,3.06,3.12,3.06,2830100.00
2019-07-15 00:00:00,3.12,3.18,3.09,3.10,3.04,1239000.00
2019-07-16 00:00:00,3.10,3.13,2.98,3.02,2.97,1126400.00
2019-07-17 00:00:00,3.02,3.05,2.99,2.99,2.94,748800.00
2019-07-18 00:00:00,3.00,3.04,2.91,2.98,2.93,1194700.00
2019-07-19 00:00:00,2.99,3.03,2.97,2.99,2.94,638600.00
2019-07-22 00:00:00,3.00,3.30,3.00,3.14,3.08,2224500.00
2019-07-23 00:00:00,3.14,3.25,3.14,3.24,3.18,1349300.00
2019-07-24 00:00:00,3.12,3.38,3.12,3.35,3.29,1625000.00
2019-07-25 00:00:00,3.33,3.34,3.19,3.19,3.13,1009100.00
2019-07-26 00:00:00,3.21,3.25,3.13,3.21,3.15,804600.00
2019-07-29 00:00:00,3.22,3.24,3.16,3.17,3.11,524000.00
2019-07-30 00:00:00,3.14,3.21,3.09,3.19,3.13,600300.00
2019-07-31 00:00:00,3.15,3.23,3.12,3.13,3.07,344300.00
2019-08-01 00:00:00,3.12,3.21,3.02,3.05,2.99,972500.00
