Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,173.38,173.50,172.02,172.36,163.06,1646400.00
2019-06-18 00:00:00,173.56,176.43,173.14,175.75,166.27,2883700.00
2019-06-19 00:00:00,175.64,176.15,174.25,175.41,165.95,2187000.00
2019-06-20 00:00:00,176.42,177.36,175.13,176.29,166.78,4234300.00
2019-06-21 00:00:00,176.88,176.89,173.56,174.31,164.91,3813800.00
2019-06-24 00:00:00,174.29,175.51,174.21,174.61,165.19,1795600.00
2019-06-25 00:00:00,175.02,175.41,173.63,173.94,164.56,1843700.00
2019-06-26 00:00:00,174.55,174.79,173.54,173.59,164.22,1815800.00
2019-06-27 00:00:00,174.08,174.62,173.21,173.84,164.46,1811600.00
2019-06-28 00:00:00,174.19,175.38,174.00,174.59,165.17,3551300.00
2019-07-01 00:00:00,176.63,176.99,175.66,176.81,167.27,1613600.00
2019-07-02 00:00:00,176.99,177.48,176.15,176.62,167.09,1407000.00
2019-07-03 00:00:00,176.77,178.47,176.21,178.40,168.77,1240000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,177.21,177.45,174.67,176.59,167.06,1208800.00
2019-07-08 00:00:00,176.30,176.31,174.80,175.67,166.19,1573900.00
2019-07-09 00:00:00,175.00,175.76,174.59,175.52,166.05,1595900.00
2019-07-10 00:00:00,176.12,176.94,174.37,174.46,165.05,1865600.00
2019-07-11 00:00:00,174.83,175.03,173.24,174.54,165.12,2426400.00
2019-07-12 00:00:00,174.75,177.19,174.75,177.14,167.58,2197200.00
2019-07-15 00:00:00,177.36,177.36,174.53,175.01,165.57,1668000.00
2019-07-16 00:00:00,175.00,175.89,174.30,174.78,165.35,1989000.00
2019-07-17 00:00:00,174.57,174.65,168.52,168.62,159.52,5475500.00
2019-07-18 00:00:00,170.60,173.88,169.70,173.88,164.50,4128000.00
2019-07-19 00:00:00,174.04,175.00,172.92,172.99,163.66,3037900.00
2019-07-22 00:00:00,173.02,174.49,172.43,173.58,164.21,1764200.00
2019-07-23 00:00:00,175.21,175.59,173.47,174.86,165.43,2081300.00
2019-07-24 00:00:00,174.25,175.31,173.80,173.96,164.57,1751300.00
2019-07-25 00:00:00,174.55,174.66,173.01,173.77,164.39,1759200.00
2019-07-26 00:00:00,173.52,173.73,172.66,173.61,164.24,1758900.00
2019-07-29 00:00:00,173.86,174.86,173.38,174.53,165.11,1519800.00
2019-07-30 00:00:00,174.22,174.95,173.34,173.91,164.53,1433500.00
2019-07-31 00:00:00,173.48,173.98,170.17,172.46,163.16,2896900.00
2019-08-01 00:00:00,171.89,173.81,169.25,169.55,160.40,2751600.00
