Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,14.18,14.43,14.11,14.30,13.06,9903400.00
2019-06-18 00:00:00,14.41,14.74,14.38,14.59,13.32,8172200.00
2019-06-19 00:00:00,14.67,14.84,14.61,14.71,13.43,9637200.00
2019-06-20 00:00:00,14.98,15.04,14.74,15.00,13.70,10038200.00
2019-06-21 00:00:00,15.03,15.06,14.84,14.94,13.64,15542100.00
2019-06-24 00:00:00,15.02,15.11,14.95,15.01,13.71,6810300.00
2019-06-25 00:00:00,14.96,15.02,14.75,14.76,13.48,8223300.00
2019-06-26 00:00:00,14.87,15.12,14.86,14.96,13.66,8407600.00
2019-06-27 00:00:00,14.99,15.22,14.94,14.97,13.67,6214500.00
2019-06-28 00:00:00,15.03,15.17,14.94,14.95,13.65,20533100.00
2019-07-01 00:00:00,15.24,15.48,15.04,15.14,13.83,10192800.00
2019-07-02 00:00:00,15.13,15.22,14.97,15.08,13.77,7444700.00
2019-07-03 00:00:00,15.07,15.31,15.05,15.29,13.96,6049000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,15.16,15.29,15.02,15.17,13.85,6018500.00
2019-07-08 00:00:00,15.08,15.08,14.85,15.03,13.73,7342700.00
2019-07-09 00:00:00,14.92,14.94,14.65,14.87,13.58,7482600.00
2019-07-10 00:00:00,15.01,15.13,14.76,14.77,13.49,7082100.00
2019-07-11 00:00:00,14.79,14.88,14.48,14.60,13.33,12929500.00
2019-07-12 00:00:00,14.64,14.98,14.64,14.91,13.62,8061900.00
2019-07-15 00:00:00,14.89,15.05,14.87,14.96,13.66,4655900.00
2019-07-16 00:00:00,14.98,15.03,14.78,14.81,13.53,6996500.00
2019-07-17 00:00:00,14.80,14.85,14.67,14.69,13.42,7100800.00
2019-07-18 00:00:00,14.61,14.82,14.60,14.75,13.47,8277300.00
2019-07-19 00:00:00,14.79,14.96,14.78,14.84,13.55,5765000.00
2019-07-22 00:00:00,14.80,14.87,14.26,14.30,13.06,11954800.00
2019-07-23 00:00:00,14.40,14.65,14.37,14.61,13.34,8771300.00
2019-07-24 00:00:00,14.64,14.85,14.59,14.74,13.46,8067900.00
2019-07-25 00:00:00,14.72,14.72,14.44,14.51,13.25,8822700.00
2019-07-26 00:00:00,14.54,14.73,14.46,14.63,13.36,6893000.00
2019-07-29 00:00:00,14.59,14.74,14.56,14.66,13.39,6046500.00
2019-07-30 00:00:00,14.56,14.76,14.51,14.61,13.34,5362900.00
2019-07-31 00:00:00,14.63,14.66,14.23,14.37,13.12,8325300.00
2019-08-01 00:00:00,14.33,14.71,14.10,14.14,12.91,7903700.00
