Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,34.16,34.34,33.97,34.13,30.76,2388300.00
2019-06-17 00:00:00,34.20,34.40,34.02,34.37,30.98,777000.00
2019-06-18 00:00:00,34.54,34.81,34.14,34.40,31.01,892500.00
2019-06-19 00:00:00,34.34,34.78,34.19,34.66,31.24,747200.00
2019-06-20 00:00:00,34.90,34.90,34.51,34.59,31.18,935200.00
2019-06-21 00:00:00,34.46,34.46,33.63,33.95,30.60,1235100.00
2019-06-24 00:00:00,34.07,34.07,33.57,33.59,30.28,732900.00
2019-06-25 00:00:00,33.67,33.67,32.88,32.89,29.65,907200.00
2019-06-26 00:00:00,32.90,32.90,32.08,32.54,29.33,3725800.00
2019-06-27 00:00:00,32.66,33.12,32.66,32.92,29.67,632300.00
2019-06-28 00:00:00,33.02,33.49,32.98,33.27,29.99,1342600.00
2019-07-01 00:00:00,33.55,33.55,32.74,33.32,30.03,606900.00
2019-07-02 00:00:00,33.44,34.02,33.33,34.00,30.65,1099200.00
2019-07-03 00:00:00,34.09,34.51,34.09,34.44,31.04,529000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,34.16,34.27,33.74,34.16,30.79,532300.00
2019-07-08 00:00:00,34.06,34.45,33.96,34.42,31.02,833800.00
2019-07-09 00:00:00,34.35,34.54,34.30,34.40,31.01,529100.00
2019-07-10 00:00:00,34.50,35.13,34.50,34.99,31.54,1132700.00
2019-07-11 00:00:00,35.04,35.10,34.67,34.83,31.39,1093200.00
2019-07-12 00:00:00,34.80,35.00,34.66,34.98,31.53,788500.00
2019-07-15 00:00:00,35.06,35.14,34.83,34.91,31.47,625800.00
2019-07-16 00:00:00,34.84,34.92,34.64,34.73,31.30,485100.00
2019-07-17 00:00:00,34.76,34.84,34.21,34.48,31.08,354600.00
2019-07-18 00:00:00,34.44,34.91,34.23,34.85,31.41,429300.00
2019-07-19 00:00:00,34.92,35.03,34.08,34.16,30.79,556300.00
2019-07-22 00:00:00,34.21,34.33,33.89,33.93,30.58,671700.00
2019-07-23 00:00:00,33.95,34.47,33.82,34.47,31.07,708200.00
2019-07-24 00:00:00,34.49,34.71,34.36,34.42,31.02,594200.00
2019-07-25 00:00:00,34.41,34.51,34.17,34.45,31.05,609800.00
2019-07-26 00:00:00,34.50,35.31,34.50,35.19,31.72,989200.00
2019-07-29 00:00:00,35.16,35.67,35.16,35.29,31.81,671800.00
2019-07-30 00:00:00,35.21,35.81,35.21,35.41,31.92,824100.00
2019-07-31 00:00:00,35.41,36.19,35.23,35.30,31.82,832900.00
2019-08-01 00:00:00,35.34,36.01,34.27,34.40,31.01,1387400.00
2019-08-02 00:00:00,34.40,34.57,34.23,34.54,31.13,635500.00
2019-08-05 00:00:00,34.31,34.39,33.02,33.53,30.22,720100.00
2019-08-06 00:00:00,33.62,34.18,33.59,33.70,30.38,952400.00
2019-08-07 00:00:00,33.50,34.07,33.13,33.85,30.51,655600.00
2019-08-08 00:00:00,33.89,34.64,33.70,34.56,31.15,697700.00
2019-08-09 00:00:00,34.41,34.58,33.40,33.74,30.41,3334000.00
2019-08-12 00:00:00,33.68,33.82,33.39,33.53,30.22,668100.00
2019-08-13 00:00:00,33.48,33.73,33.29,33.48,30.18,759400.00
2019-08-14 00:00:00,33.27,33.40,32.93,33.12,29.85,761500.00
2019-08-15 00:00:00,33.18,33.53,33.12,33.27,29.99,575200.00
2019-08-16 00:00:00,33.28,33.70,33.25,33.68,30.36,512900.00
2019-08-19 00:00:00,33.96,34.05,33.12,33.98,30.63,291700.00
2019-08-20 00:00:00,34.01,34.01,33.53,33.55,30.24,657800.00
2019-08-21 00:00:00,33.81,33.83,33.28,33.55,30.24,662100.00
2019-08-22 00:00:00,33.51,33.75,33.49,33.71,30.38,372400.00
2019-08-23 00:00:00,33.64,33.90,33.06,33.16,29.89,452300.00
2019-08-26 00:00:00,33.38,33.49,32.99,33.29,30.01,500000.00
2019-08-27 00:00:00,33.55,33.70,32.94,32.96,29.71,675400.00
2019-08-28 00:00:00,32.89,33.37,32.89,33.15,29.88,371500.00
2019-08-29 00:00:00,33.35,33.96,33.32,33.83,30.49,1101800.00
2019-08-30 00:00:00,33.94,34.09,33.80,34.00,30.65,600600.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,33.96,34.29,33.87,34.09,30.73,610000.00
2019-09-04 00:00:00,34.22,34.57,34.00,34.15,30.78,566400.00
2019-09-05 00:00:00,34.16,34.22,33.87,34.16,30.79,643100.00
2019-09-06 00:00:00,34.21,34.60,34.05,34.45,31.05,521700.00
2019-09-09 00:00:00,34.48,34.48,33.73,33.91,30.57,617900.00
2019-09-10 00:00:00,33.78,33.85,33.30,33.84,30.50,957200.00
2019-09-11 00:00:00,33.74,34.40,33.68,34.39,31.00,635400.00
2019-09-12 00:00:00,34.58,34.60,34.28,34.33,30.94,804000.00
2019-09-13 00:00:00,34.28,34.65,33.63,33.85,30.51,776100.00
2019-09-16 00:00:00,33.87,34.35,33.78,34.23,30.85,530000.00
2019-09-17 00:00:00,34.25,34.38,33.92,34.08,30.72,725400.00
2019-09-18 00:00:00,34.14,34.18,33.89,34.11,30.75,543500.00
2019-09-19 00:00:00,34.04,34.12,33.76,33.90,30.78,362700.00
2019-09-20 00:00:00,33.89,34.17,33.76,33.87,30.75,1868100.00
2019-09-23 00:00:00,33.73,33.98,33.73,33.87,30.75,582000.00
2019-09-24 00:00:00,33.95,34.06,33.21,33.39,30.32,788400.00
2019-09-25 00:00:00,33.43,33.76,33.24,33.62,30.53,1115600.00
2019-09-26 00:00:00,33.73,33.97,33.55,33.91,30.79,777500.00
2019-09-27 00:00:00,34.03,34.03,33.35,33.47,30.39,992600.00
2019-09-30 00:00:00,33.48,33.75,33.35,33.46,30.38,966500.00
2019-10-01 00:00:00,33.47,33.57,32.80,32.99,29.96,1209600.00
2019-10-02 00:00:00,32.95,32.95,32.55,32.83,29.81,997500.00
2019-10-03 00:00:00,32.86,33.65,32.77,33.49,30.41,876000.00
2019-10-04 00:00:00,33.62,33.88,33.46,33.85,30.74,854400.00
2019-10-07 00:00:00,33.72,34.26,33.63,34.01,30.88,664100.00
2019-10-08 00:00:00,33.92,33.96,33.44,33.49,30.41,842700.00
2019-10-09 00:00:00,33.65,33.84,33.58,33.64,30.55,382600.00
2019-10-10 00:00:00,33.69,33.69,33.21,33.23,30.17,611200.00
2019-10-11 00:00:00,33.38,33.70,33.23,33.33,30.26,628000.00
2019-10-14 00:00:00,33.35,33.35,33.02,33.13,30.08,286700.00
2019-10-15 00:00:00,33.08,33.24,32.86,33.11,30.06,474700.00
2019-10-16 00:00:00,33.00,33.42,32.92,33.41,30.34,519900.00
2019-10-17 00:00:00,33.47,33.83,33.38,33.65,30.55,699700.00
2019-10-18 00:00:00,33.72,33.72,33.39,33.57,30.48,346000.00
2019-10-21 00:00:00,33.50,34.02,33.50,34.02,30.89,428000.00
2019-10-22 00:00:00,34.10,34.10,33.73,33.82,30.71,442700.00
2019-10-23 00:00:00,33.84,33.89,33.62,33.89,30.77,574600.00
2019-10-24 00:00:00,34.02,34.39,33.88,34.34,31.18,605700.00
2019-10-25 00:00:00,34.31,34.53,34.14,34.27,31.12,434000.00
2019-10-28 00:00:00,34.27,34.47,34.17,34.36,31.20,518200.00
2019-10-29 00:00:00,34.40,35.04,34.33,34.95,31.74,1088500.00
2019-10-30 00:00:00,35.17,36.41,35.15,35.82,32.53,1202500.00
2019-10-31 00:00:00,35.88,36.05,35.50,35.92,32.62,880200.00
2019-11-01 00:00:00,35.96,36.47,35.96,36.10,32.78,1249600.00
2019-11-04 00:00:00,36.08,36.09,35.81,36.05,32.73,691900.00
2019-11-05 00:00:00,36.03,36.20,35.43,35.58,32.31,452400.00
2019-11-06 00:00:00,35.63,35.72,35.40,35.51,32.24,546400.00
2019-11-07 00:00:00,35.49,35.75,35.37,35.43,32.17,408400.00
2019-11-08 00:00:00,35.43,35.53,35.22,35.38,32.13,366900.00
2019-11-11 00:00:00,35.50,35.68,35.31,35.50,32.23,389300.00
2019-11-12 00:00:00,35.52,35.63,34.74,34.81,31.61,588900.00
2019-11-13 00:00:00,34.79,35.08,34.65,34.82,31.62,677900.00
2019-11-14 00:00:00,34.93,35.17,34.71,35.05,31.83,597500.00
2019-11-15 00:00:00,35.13,35.55,35.01,35.25,32.01,470000.00
2019-11-18 00:00:00,35.33,35.57,35.28,35.44,32.18,348500.00
2019-11-19 00:00:00,35.59,35.72,35.40,35.67,32.39,517500.00
2019-11-20 00:00:00,35.61,35.70,35.23,35.37,32.12,466800.00
2019-11-21 00:00:00,35.30,35.30,34.72,35.02,31.80,998900.00
2019-11-22 00:00:00,35.19,35.30,34.71,35.14,31.91,864300.00
2019-11-25 00:00:00,35.15,35.63,35.15,35.27,32.03,589000.00
2019-11-26 00:00:00,35.25,35.54,35.19,35.49,32.23,489900.00
2019-11-27 00:00:00,35.49,35.87,35.41,35.86,32.56,500900.00
2019-11-28 00:00:00,,,,,,
2019-11-29 00:00:00,35.86,36.07,35.71,35.80,32.51,353600.00
2019-12-02 00:00:00,35.73,35.82,35.26,35.40,32.14,816200.00
2019-12-03 00:00:00,35.29,35.90,35.23,35.83,32.53,861700.00
2019-12-04 00:00:00,35.76,36.42,35.76,35.84,32.54,765900.00
2019-12-05 00:00:00,35.88,36.13,35.74,36.11,32.79,494800.00
2019-12-06 00:00:00,36.24,36.55,36.18,36.32,32.98,636000.00
2019-12-09 00:00:00,36.34,36.57,36.13,36.55,33.19,457800.00
2019-12-10 00:00:00,36.54,36.85,36.43,36.58,33.22,801400.00
2019-12-11 00:00:00,36.65,36.80,36.03,36.28,32.94,1235200.00
2019-12-12 00:00:00,36.26,36.45,35.45,35.68,32.40,1736200.00
2019-12-13 00:00:00,35.89,35.93,35.27,35.52,32.25,981900.00
2019-12-16 00:00:00,35.76,35.82,35.31,35.74,32.45,1199500.00
2019-12-17 00:00:00,35.91,36.01,35.60,35.94,32.63,1166600.00
2019-12-18 00:00:00,35.95,36.47,35.80,36.29,32.95,865100.00
2019-12-19 00:00:00,36.08,36.11,35.77,36.10,33.01,819100.00
2019-12-20 00:00:00,36.14,36.53,36.05,36.52,33.39,1688200.00
2019-12-23 00:00:00,36.58,36.81,36.28,36.68,33.54,907500.00
2019-12-24 00:00:00,36.71,36.98,36.60,36.77,33.62,218300.00
2019-12-25 00:00:00,,,,,,
2019-12-26 00:00:00,36.88,37.14,36.74,37.12,33.94,451100.00
