Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,71.29,71.51,70.75,71.42,71.42,642900.00
2019-06-18 00:00:00,72.07,72.81,71.45,72.04,72.04,1057700.00
2019-06-19 00:00:00,72.17,72.56,71.69,72.06,72.06,1231800.00
2019-06-20 00:00:00,72.43,72.52,70.60,70.94,70.94,1446700.00
2019-06-21 00:00:00,71.10,71.10,68.87,69.88,69.88,2531600.00
2019-06-24 00:00:00,70.04,70.33,69.39,69.92,69.92,1143100.00
2019-06-25 00:00:00,69.92,70.32,69.24,69.32,69.32,1481000.00
2019-06-26 00:00:00,69.33,69.62,68.48,68.89,68.89,1282200.00
2019-06-27 00:00:00,68.89,69.48,68.74,69.15,69.15,1311000.00
2019-06-28 00:00:00,69.55,70.02,68.95,69.90,69.90,1774700.00
2019-07-01 00:00:00,70.28,71.50,69.28,69.50,69.50,1591300.00
2019-07-02 00:00:00,69.71,69.71,68.63,68.87,68.87,1000000.00
2019-07-03 00:00:00,68.90,69.85,68.90,69.23,69.23,832000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,68.82,69.28,68.07,69.16,69.16,971700.00
2019-07-08 00:00:00,69.11,69.11,68.40,68.94,68.94,826900.00
2019-07-09 00:00:00,68.97,69.18,68.61,68.90,68.90,1081800.00
2019-07-10 00:00:00,69.00,69.55,68.80,69.23,69.23,925100.00
2019-07-11 00:00:00,69.56,70.79,68.93,69.45,69.45,1560700.00
2019-07-12 00:00:00,69.66,71.32,69.05,70.58,70.58,2144100.00
2019-07-15 00:00:00,70.59,71.63,70.29,71.35,71.35,1526900.00
2019-07-16 00:00:00,71.50,71.53,69.70,69.93,69.93,2760300.00
2019-07-17 00:00:00,70.03,70.46,69.31,69.33,69.33,1137500.00
2019-07-18 00:00:00,69.33,69.33,68.37,68.88,68.88,1109800.00
2019-07-19 00:00:00,69.00,69.76,67.46,67.50,67.50,1353700.00
2019-07-22 00:00:00,67.73,67.73,66.53,66.78,66.78,1119000.00
2019-07-23 00:00:00,67.12,67.69,66.69,67.50,67.50,938700.00
2019-07-24 00:00:00,67.31,67.80,67.03,67.63,67.63,819100.00
2019-07-25 00:00:00,67.49,67.60,66.97,67.39,67.39,798500.00
2019-07-26 00:00:00,67.76,67.87,67.12,67.80,67.80,867500.00
2019-07-29 00:00:00,67.66,68.27,67.63,68.18,68.18,879200.00
2019-07-30 00:00:00,67.66,68.91,67.49,68.88,68.88,806000.00
2019-07-31 00:00:00,69.05,69.48,66.04,66.54,66.54,1669700.00
2019-08-01 00:00:00,65.99,67.14,65.01,66.62,66.62,1303000.00
