Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,138.50,138.60,136.42,137.70,130.18,1148700.00
2019-06-18 00:00:00,138.19,138.49,137.12,138.25,130.70,1311200.00
2019-06-19 00:00:00,138.10,138.31,137.22,137.90,130.37,1678200.00
2019-06-20 00:00:00,137.09,137.86,135.14,137.64,130.12,1618900.00
2019-06-21 00:00:00,137.65,138.23,137.07,137.13,129.64,2156700.00
2019-06-24 00:00:00,137.67,138.50,137.20,137.45,129.94,1626000.00
2019-06-25 00:00:00,137.66,138.00,136.22,137.20,129.71,1129400.00
2019-06-26 00:00:00,136.41,136.64,134.15,134.15,126.82,1828700.00
2019-06-27 00:00:00,133.85,134.95,133.50,134.88,127.51,1078200.00
2019-06-28 00:00:00,134.83,135.08,133.58,134.03,126.71,1901400.00
2019-07-01 00:00:00,134.69,134.91,133.51,134.25,126.92,1023100.00
2019-07-02 00:00:00,134.47,136.42,134.41,136.09,128.66,1121400.00
2019-07-03 00:00:00,136.38,138.54,136.38,138.00,130.46,766200.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,137.89,138.26,136.61,138.26,130.71,855000.00
2019-07-08 00:00:00,138.06,139.08,138.06,138.59,131.02,1069900.00
2019-07-09 00:00:00,138.76,139.04,138.25,138.62,131.05,820500.00
2019-07-10 00:00:00,138.57,139.24,138.28,138.57,131.00,725000.00
2019-07-11 00:00:00,138.51,138.51,136.55,137.09,129.60,1074800.00
2019-07-12 00:00:00,137.66,137.71,136.58,137.17,129.68,655800.00
2019-07-15 00:00:00,137.79,139.04,137.32,138.37,130.81,1070900.00
2019-07-16 00:00:00,138.98,140.54,138.41,140.43,132.76,1393800.00
2019-07-17 00:00:00,142.94,145.80,142.30,145.71,137.75,2333200.00
2019-07-18 00:00:00,146.03,147.59,144.87,147.50,139.45,1745900.00
2019-07-19 00:00:00,147.11,147.30,145.18,145.18,137.25,1124000.00
2019-07-22 00:00:00,145.63,147.43,145.63,147.06,139.03,1106000.00
2019-07-23 00:00:00,147.41,147.89,146.40,147.29,139.25,1630900.00
2019-07-24 00:00:00,146.62,147.16,145.05,146.76,138.75,1940700.00
2019-07-25 00:00:00,142.00,149.90,139.26,149.72,141.54,2111400.00
2019-07-26 00:00:00,150.95,153.50,148.60,152.98,144.63,1465000.00
2019-07-29 00:00:00,152.89,153.14,151.10,152.21,143.90,1249400.00
2019-07-30 00:00:00,151.92,153.90,151.38,152.26,143.95,1018400.00
2019-07-31 00:00:00,152.09,152.85,150.23,151.74,143.45,1037800.00
2019-08-01 00:00:00,152.40,153.34,151.57,151.69,143.41,1224200.00
