Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,255.15,255.66,250.25,251.83,246.64,966500.00
2019-06-17 00:00:00,251.56,255.54,250.81,254.77,249.52,636300.00
2019-06-18 00:00:00,256.10,259.32,254.55,257.96,252.64,1010100.00
2019-06-19 00:00:00,257.70,259.23,255.87,256.79,251.50,1209500.00
2019-06-20 00:00:00,258.41,260.10,254.49,258.83,253.49,1137500.00
2019-06-21 00:00:00,259.95,271.88,258.90,270.21,264.64,2522500.00
2019-06-24 00:00:00,271.01,271.01,265.03,267.28,261.77,1197000.00
2019-06-25 00:00:00,268.21,268.88,260.78,261.84,256.44,1171700.00
2019-06-26 00:00:00,261.62,263.70,258.02,261.95,256.55,1132500.00
2019-06-27 00:00:00,261.98,268.81,261.45,264.60,259.69,1003300.00
2019-06-28 00:00:00,265.44,266.42,260.00,265.30,260.38,2360800.00
2019-07-01 00:00:00,266.82,266.82,260.49,261.14,256.29,1017200.00
2019-07-02 00:00:00,260.90,260.90,254.54,259.43,254.62,1171200.00
2019-07-03 00:00:00,259.95,264.48,259.89,262.51,257.64,481100.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,261.99,267.44,261.38,264.65,259.74,645900.00
2019-07-08 00:00:00,263.87,264.67,259.69,264.15,259.25,733500.00
2019-07-09 00:00:00,262.51,265.58,259.18,260.14,255.31,957600.00
2019-07-10 00:00:00,260.68,268.34,260.52,267.91,262.94,1058000.00
2019-07-11 00:00:00,280.74,284.22,276.40,280.19,274.99,2364700.00
2019-07-12 00:00:00,281.15,291.39,280.80,291.25,285.85,2058800.00
2019-07-15 00:00:00,290.91,290.91,284.01,285.32,280.03,1317100.00
2019-07-16 00:00:00,286.09,287.65,282.65,284.30,279.03,797000.00
2019-07-17 00:00:00,283.09,285.41,281.78,281.98,276.75,706200.00
2019-07-18 00:00:00,279.28,286.65,276.70,283.33,278.07,831600.00
2019-07-19 00:00:00,283.68,284.01,278.28,281.67,276.44,733400.00
