Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,102.01,110.39,101.95,108.48,97.95,513800.00
2019-06-17 00:00:00,110.10,118.26,108.67,115.89,104.64,682500.00
2019-06-18 00:00:00,120.11,125.67,118.10,119.60,107.99,1068800.00
2019-06-19 00:00:00,120.40,125.31,116.18,125.31,113.14,670300.00
2019-06-20 00:00:00,129.90,137.78,128.40,134.71,121.63,886000.00
2019-06-21 00:00:00,133.40,133.49,116.50,117.52,106.11,1622900.00
2019-06-24 00:00:00,122.00,125.83,115.89,124.39,112.31,654100.00
2019-06-25 00:00:00,126.50,131.65,124.51,130.97,118.25,417000.00
2019-06-26 00:00:00,132.47,134.78,118.44,125.21,113.05,736500.00
2019-06-27 00:00:00,125.14,126.28,118.01,119.69,108.59,473700.00
2019-06-28 00:00:00,120.00,124.40,119.70,123.56,112.10,669500.00
2019-07-01 00:00:00,124.71,126.50,123.40,125.02,113.42,285300.00
2019-07-02 00:00:00,125.00,125.30,119.34,120.52,109.34,329800.00
2019-07-03 00:00:00,119.88,128.68,119.80,128.68,116.74,291700.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,128.00,130.84,123.31,130.16,118.09,412600.00
2019-07-08 00:00:00,130.16,130.90,123.07,124.62,113.06,482700.00
2019-07-09 00:00:00,124.00,133.42,123.70,132.29,120.02,423900.00
2019-07-10 00:00:00,133.77,137.23,130.86,132.31,120.04,454500.00
2019-07-11 00:00:00,132.79,139.53,132.31,137.62,124.85,443500.00
2019-07-12 00:00:00,127.10,127.75,122.42,126.08,114.38,2981900.00
2019-07-15 00:00:00,126.01,128.00,124.37,127.42,115.60,887400.00
2019-07-16 00:00:00,127.00,129.95,127.00,128.47,116.55,575000.00
2019-07-17 00:00:00,129.00,130.50,125.00,125.68,114.02,458900.00
2019-07-18 00:00:00,125.11,126.93,123.31,123.60,112.13,420200.00
2019-07-19 00:00:00,124.00,125.60,122.52,123.32,111.88,346300.00
2019-07-22 00:00:00,123.50,123.84,110.05,113.15,102.65,1312200.00
2019-07-23 00:00:00,112.48,113.06,98.69,102.98,93.43,1827800.00
2019-07-24 00:00:00,101.80,107.82,98.50,104.92,95.19,808900.00
2019-07-25 00:00:00,105.60,109.73,104.62,105.39,95.61,508200.00
2019-07-26 00:00:00,107.65,109.48,106.50,107.73,97.74,373500.00
2019-07-29 00:00:00,109.00,110.52,105.50,106.95,97.03,409700.00
2019-07-30 00:00:00,106.05,109.75,106.00,108.90,98.80,291000.00
2019-07-31 00:00:00,109.00,110.00,103.88,105.67,95.87,401000.00
2019-08-01 00:00:00,105.46,106.88,101.21,101.84,92.39,456800.00
2019-08-02 00:00:00,101.70,104.13,99.00,102.71,93.18,342200.00
2019-08-05 00:00:00,100.85,101.08,97.28,98.97,89.79,403200.00
2019-08-06 00:00:00,100.04,103.50,100.00,103.44,93.84,386100.00
2019-08-07 00:00:00,103.76,107.68,101.60,105.96,96.13,512500.00
2019-08-08 00:00:00,107.58,109.80,103.44,104.00,94.35,464600.00
2019-08-09 00:00:00,103.50,105.89,101.74,102.50,92.99,280400.00
2019-08-12 00:00:00,102.70,102.90,99.31,99.61,90.37,300200.00
2019-08-13 00:00:00,99.88,107.69,99.63,107.41,97.45,530400.00
2019-08-14 00:00:00,106.01,107.90,103.05,103.30,93.72,349800.00
2019-08-15 00:00:00,103.00,106.07,101.69,102.56,93.05,340000.00
2019-08-16 00:00:00,103.56,106.24,103.00,106.10,96.26,284500.00
2019-08-19 00:00:00,108.11,110.92,107.31,110.20,99.98,291500.00
2019-08-20 00:00:00,110.55,115.82,110.50,112.74,102.28,481100.00
2019-08-21 00:00:00,113.29,115.60,111.03,112.69,102.24,396400.00
2019-08-22 00:00:00,112.73,113.33,105.48,106.34,96.48,410300.00
2019-08-23 00:00:00,105.65,107.86,101.22,101.50,92.08,383000.00
2019-08-26 00:00:00,103.35,104.58,100.41,102.67,93.15,274600.00
2019-08-27 00:00:00,103.43,103.99,100.78,101.06,91.69,243400.00
2019-08-28 00:00:00,100.30,102.90,99.28,102.37,92.87,278700.00
2019-08-29 00:00:00,103.26,103.58,101.58,101.66,92.23,189200.00
2019-08-30 00:00:00,101.60,102.03,88.00,89.16,80.89,1236300.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,89.02,92.73,88.25,90.79,82.37,459900.00
2019-09-04 00:00:00,92.50,92.62,83.77,85.15,77.25,1056800.00
2019-09-05 00:00:00,84.82,89.60,83.01,88.25,80.06,864100.00
2019-09-06 00:00:00,88.77,90.32,82.15,83.30,75.57,996300.00
2019-09-09 00:00:00,83.50,86.86,83.35,86.04,78.06,514600.00
2019-09-10 00:00:00,85.27,86.55,82.76,85.90,77.93,398300.00
2019-09-11 00:00:00,85.30,91.20,84.66,90.87,82.44,415000.00
2019-09-12 00:00:00,91.90,92.90,87.76,88.39,80.19,424600.00
2019-09-13 00:00:00,91.00,94.67,90.11,91.33,82.86,449300.00
2019-09-16 00:00:00,91.50,94.90,91.07,91.07,82.62,412100.00
2019-09-17 00:00:00,91.05,95.65,91.05,94.93,86.12,332800.00
2019-09-18 00:00:00,95.00,95.63,93.05,95.40,86.55,226900.00
2019-09-19 00:00:00,95.40,98.80,94.42,97.34,88.31,332900.00
2019-09-20 00:00:00,98.29,98.82,92.61,95.21,86.38,1141900.00
2019-09-23 00:00:00,93.73,96.74,93.50,95.53,86.67,217700.00
2019-09-24 00:00:00,95.65,96.09,86.18,89.79,81.46,531600.00
2019-09-25 00:00:00,88.87,91.99,88.79,91.39,82.91,212400.00
2019-09-26 00:00:00,91.77,95.75,91.65,95.10,86.28,284500.00
2019-09-27 00:00:00,94.83,96.75,94.26,95.74,87.58,342200.00
2019-09-30 00:00:00,96.00,96.50,90.57,92.37,84.49,361100.00
2019-10-01 00:00:00,91.45,92.05,88.11,88.57,81.02,357600.00
2019-10-02 00:00:00,87.56,91.17,86.72,90.77,83.03,373800.00
2019-10-03 00:00:00,90.79,92.12,87.51,89.92,82.25,289600.00
2019-10-04 00:00:00,90.00,91.83,89.15,91.28,83.50,174900.00
2019-10-07 00:00:00,90.78,92.83,89.18,89.38,81.76,225300.00
2019-10-08 00:00:00,88.66,89.33,84.70,86.46,79.09,790000.00
2019-10-09 00:00:00,86.64,88.69,85.80,86.15,78.80,287600.00
2019-10-10 00:00:00,85.81,86.15,76.90,76.96,70.40,1068200.00
2019-10-11 00:00:00,77.76,80.10,75.76,78.77,72.05,650700.00
