Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,13.94,14.10,13.66,13.75,13.75,52200.00
2019-06-17 00:00:00,13.66,13.97,13.47,13.96,13.96,76700.00
2019-06-18 00:00:00,14.07,14.56,13.97,14.20,14.20,170100.00
2019-06-19 00:00:00,14.21,14.32,13.90,14.15,14.15,137100.00
2019-06-20 00:00:00,14.25,14.60,14.20,14.47,14.47,224700.00
2019-06-21 00:00:00,14.80,15.11,14.29,14.87,14.87,149900.00
2019-06-24 00:00:00,14.90,15.05,14.56,14.86,14.86,225300.00
2019-06-25 00:00:00,14.83,14.83,14.18,14.40,14.40,161300.00
2019-06-26 00:00:00,14.33,14.48,14.00,14.14,14.14,206500.00
2019-06-27 00:00:00,13.80,14.27,13.80,14.16,14.16,162000.00
2019-06-28 00:00:00,14.24,14.46,13.96,14.10,14.10,1797600.00
2019-07-01 00:00:00,14.10,14.79,14.05,14.65,14.65,347300.00
2019-07-02 00:00:00,14.60,14.72,14.46,14.60,14.60,125300.00
2019-07-03 00:00:00,14.69,14.69,14.40,14.62,14.62,27000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,14.24,14.60,14.24,14.52,14.52,51400.00
2019-07-08 00:00:00,14.52,14.55,14.40,14.48,14.48,125000.00
2019-07-09 00:00:00,14.50,14.68,14.39,14.57,14.57,200400.00
2019-07-10 00:00:00,14.58,14.66,14.26,14.30,14.30,121000.00
2019-07-11 00:00:00,14.26,14.50,14.03,14.39,14.39,103300.00
2019-07-12 00:00:00,14.40,14.64,14.25,14.43,14.43,229200.00
2019-07-15 00:00:00,14.41,14.66,14.18,14.42,14.42,120500.00
2019-07-16 00:00:00,14.49,14.50,14.28,14.44,14.44,122700.00
2019-07-17 00:00:00,14.55,14.56,14.27,14.28,14.28,84700.00
2019-07-18 00:00:00,14.30,14.42,14.16,14.31,14.31,64700.00
2019-07-19 00:00:00,14.28,14.28,14.02,14.09,14.09,129300.00
2019-07-22 00:00:00,14.02,14.30,13.92,14.08,14.08,88000.00
2019-07-23 00:00:00,13.99,14.14,13.81,14.12,14.12,166300.00
2019-07-24 00:00:00,14.07,14.36,13.95,14.33,14.33,72800.00
2019-07-25 00:00:00,14.06,14.29,13.98,14.10,14.10,145400.00
2019-07-26 00:00:00,14.11,14.32,13.98,14.07,14.07,58100.00
2019-07-29 00:00:00,14.11,14.19,13.89,14.08,14.08,65900.00
2019-07-30 00:00:00,13.88,14.13,13.52,13.85,13.85,148500.00
2019-07-31 00:00:00,14.31,14.33,13.84,13.84,13.84,66400.00
2019-08-01 00:00:00,13.84,14.35,13.75,13.84,13.84,252900.00
2019-08-02 00:00:00,13.82,13.91,13.51,13.69,13.69,85500.00
2019-08-05 00:00:00,13.52,13.61,13.26,13.41,13.41,147900.00
2019-08-06 00:00:00,13.42,13.63,13.32,13.38,13.38,106800.00
2019-08-07 00:00:00,13.28,13.57,13.10,13.38,13.38,76200.00
2019-08-08 00:00:00,13.45,14.10,13.45,13.98,13.98,172000.00
2019-08-09 00:00:00,14.75,14.75,13.76,14.43,14.43,122700.00
2019-08-12 00:00:00,14.40,14.40,14.09,14.38,14.38,86400.00
2019-08-13 00:00:00,14.39,14.65,14.12,14.49,14.49,253600.00
2019-08-14 00:00:00,14.43,14.43,13.93,14.16,14.16,60000.00
2019-08-15 00:00:00,14.16,14.64,13.96,14.11,14.11,50800.00
2019-08-16 00:00:00,14.19,14.43,14.00,14.30,14.30,190700.00
2019-08-19 00:00:00,14.43,14.70,14.36,14.50,14.50,238000.00
2019-08-20 00:00:00,14.56,14.68,14.34,14.41,14.41,41500.00
2019-08-21 00:00:00,14.50,14.50,14.00,14.15,14.15,118800.00
2019-08-22 00:00:00,14.10,14.20,13.82,13.97,13.97,28900.00
2019-08-23 00:00:00,13.80,13.99,13.42,13.58,13.58,62500.00
