Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,79.07,82.57,78.50,81.84,81.84,2414500.00
2019-06-18 00:00:00,82.82,84.87,82.00,84.28,84.28,1954700.00
2019-06-19 00:00:00,84.71,85.36,83.70,84.87,84.87,1236300.00
2019-06-20 00:00:00,85.60,87.13,85.60,86.57,86.57,1426800.00
2019-06-21 00:00:00,87.25,88.85,86.29,88.70,88.70,2262000.00
2019-06-24 00:00:00,88.70,89.30,86.67,86.92,86.92,1272500.00
2019-06-25 00:00:00,87.25,88.63,86.33,87.61,87.61,1231100.00
2019-06-26 00:00:00,87.54,88.28,85.22,85.63,85.63,1226200.00
2019-06-27 00:00:00,86.06,86.59,84.53,84.72,84.72,992400.00
2019-06-28 00:00:00,84.59,85.28,83.37,84.96,84.96,1616400.00
2019-07-01 00:00:00,85.80,86.50,84.58,85.42,85.42,1040400.00
2019-07-02 00:00:00,86.00,86.00,83.95,85.01,85.01,947500.00
2019-07-03 00:00:00,84.84,86.54,83.64,86.52,86.52,767700.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,85.61,87.06,85.00,85.28,85.28,681900.00
2019-07-08 00:00:00,84.74,85.00,82.11,83.01,83.01,1064200.00
2019-07-09 00:00:00,82.48,84.15,82.35,83.82,83.82,985300.00
2019-07-10 00:00:00,83.94,85.06,83.05,83.77,83.77,757100.00
2019-07-11 00:00:00,83.81,83.98,80.17,81.23,81.23,1074500.00
2019-07-12 00:00:00,81.38,81.95,79.62,80.10,80.10,954300.00
2019-07-15 00:00:00,79.99,81.57,79.53,81.39,81.39,1115600.00
2019-07-16 00:00:00,81.35,81.51,79.70,79.88,79.88,814400.00
2019-07-17 00:00:00,79.91,80.88,79.40,80.23,80.23,904000.00
2019-07-18 00:00:00,80.35,81.50,80.14,81.31,81.31,756200.00
2019-07-19 00:00:00,81.81,82.26,80.23,80.54,80.54,935600.00
2019-07-22 00:00:00,80.89,82.71,80.39,81.71,81.71,750600.00
2019-07-23 00:00:00,81.67,81.83,78.42,78.51,78.51,1816600.00
2019-07-24 00:00:00,78.54,79.72,77.60,79.15,79.15,1568400.00
2019-07-25 00:00:00,78.69,79.30,77.30,78.80,78.80,732900.00
2019-07-26 00:00:00,79.34,80.95,79.01,80.15,80.15,985800.00
2019-07-29 00:00:00,80.09,80.46,78.15,80.26,80.26,1058500.00
2019-07-30 00:00:00,82.77,85.57,80.06,85.43,85.43,1740300.00
2019-07-31 00:00:00,85.50,86.53,83.86,84.92,84.92,1263000.00
2019-08-01 00:00:00,84.52,87.23,84.24,84.85,84.85,1016800.00
