Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,19.33,19.55,18.78,19.10,19.10,957000.00
2019-06-17 00:00:00,19.85,22.00,19.35,21.95,21.95,3823000.00
2019-06-18 00:00:00,22.15,22.99,21.84,22.40,22.40,2309300.00
2019-06-19 00:00:00,22.40,22.67,21.88,22.38,22.38,1707600.00
2019-06-20 00:00:00,22.72,23.26,22.22,22.41,22.41,1930500.00
2019-06-21 00:00:00,22.23,22.23,20.63,21.61,21.61,4177900.00
2019-06-24 00:00:00,21.63,22.12,21.09,21.33,21.33,1759500.00
2019-06-25 00:00:00,21.41,21.90,21.13,21.75,21.75,1404300.00
2019-06-26 00:00:00,21.80,22.07,21.20,21.42,21.42,803400.00
2019-06-27 00:00:00,21.47,22.74,21.29,22.59,22.59,1826200.00
2019-06-28 00:00:00,22.80,25.50,22.80,24.52,24.52,5990400.00
2019-07-01 00:00:00,24.95,25.25,24.05,24.62,24.62,2144400.00
2019-07-02 00:00:00,25.00,25.44,23.01,23.94,23.94,2966500.00
2019-07-03 00:00:00,24.09,24.88,23.89,24.83,24.83,932800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,24.60,25.12,24.24,24.53,24.53,1042400.00
2019-07-08 00:00:00,24.51,24.74,23.93,24.20,24.20,1012300.00
2019-07-09 00:00:00,23.92,24.74,23.92,24.67,24.67,805700.00
2019-07-10 00:00:00,24.69,24.72,23.13,24.03,24.03,1681000.00
2019-07-11 00:00:00,23.97,24.26,23.44,23.93,23.93,1001900.00
2019-07-12 00:00:00,23.86,24.55,23.63,23.91,23.91,874900.00
2019-07-15 00:00:00,24.18,24.52,23.61,24.44,24.44,595100.00
2019-07-16 00:00:00,24.41,25.04,24.14,24.84,24.84,991600.00
2019-07-17 00:00:00,24.89,25.04,23.77,24.48,24.48,953700.00
2019-07-18 00:00:00,24.39,26.07,24.35,25.78,25.78,1778700.00
2019-07-19 00:00:00,25.80,26.59,25.43,25.47,25.47,1197500.00
2019-07-22 00:00:00,25.70,26.35,25.36,25.95,25.95,822300.00
2019-07-23 00:00:00,26.00,26.15,25.08,26.00,26.00,837700.00
2019-07-24 00:00:00,25.94,26.16,25.59,25.71,25.71,864300.00
2019-07-25 00:00:00,25.59,25.67,24.25,24.29,24.29,1321800.00
2019-07-26 00:00:00,24.65,25.04,23.88,24.90,24.90,1210600.00
2019-07-29 00:00:00,24.80,25.17,24.12,24.65,24.65,911700.00
2019-07-30 00:00:00,24.34,24.87,23.80,24.77,24.77,895500.00
2019-07-31 00:00:00,24.78,25.22,24.29,24.59,24.59,1123200.00
2019-08-01 00:00:00,24.82,25.41,24.12,25.17,25.17,1316200.00
2019-08-02 00:00:00,21.96,24.54,21.77,23.72,23.72,2864500.00
2019-08-05 00:00:00,23.00,23.70,22.00,22.50,22.50,2079000.00
2019-08-06 00:00:00,22.66,23.24,21.37,22.48,22.48,2783800.00
2019-08-07 00:00:00,22.04,22.24,21.56,21.92,21.92,1096500.00
2019-08-08 00:00:00,22.04,22.69,21.79,22.37,22.37,777700.00
2019-08-09 00:00:00,22.10,22.49,21.83,22.24,22.24,721400.00
2019-08-12 00:00:00,21.98,22.18,21.39,21.89,21.89,929500.00
2019-08-13 00:00:00,21.74,22.25,20.94,21.36,21.36,966900.00
2019-08-14 00:00:00,20.95,21.11,20.31,20.52,20.52,1546200.00
2019-08-15 00:00:00,20.54,20.68,19.72,20.02,20.02,1308000.00
2019-08-16 00:00:00,20.22,21.15,20.10,20.95,20.95,1068300.00
2019-08-19 00:00:00,21.12,21.29,19.72,19.98,19.98,2056400.00
2019-08-20 00:00:00,19.95,20.10,19.44,19.70,19.70,1973900.00
2019-08-21 00:00:00,19.94,20.31,19.57,20.00,20.00,889200.00
2019-08-22 00:00:00,20.02,20.17,19.31,19.51,19.51,766100.00
2019-08-23 00:00:00,19.30,20.00,19.14,19.60,19.60,818400.00
2019-08-26 00:00:00,19.87,20.24,19.46,20.23,20.23,1247900.00
2019-08-27 00:00:00,20.40,20.86,19.38,19.69,19.69,1063700.00
2019-08-28 00:00:00,19.57,20.40,19.42,20.28,20.28,958200.00
2019-08-29 00:00:00,20.50,21.20,20.28,21.00,21.00,820300.00
2019-08-30 00:00:00,21.08,21.45,20.68,21.01,21.01,718300.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,20.75,20.84,19.83,20.27,20.27,1416000.00
2019-09-04 00:00:00,20.47,21.46,20.20,21.42,21.42,1289900.00
2019-09-05 00:00:00,21.30,21.59,20.65,21.03,21.03,1064700.00
2019-09-06 00:00:00,21.22,21.22,20.75,20.90,20.90,1161200.00
2019-09-09 00:00:00,20.94,21.06,19.72,19.95,19.95,1130100.00
2019-09-10 00:00:00,19.85,20.57,19.56,20.29,20.29,1237200.00
