Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,33.43,33.76,33.30,33.59,31.12,922600.00
2019-06-18 00:00:00,33.82,34.68,33.61,34.59,32.04,1159900.00
2019-06-19 00:00:00,34.75,34.98,34.53,34.82,32.25,762300.00
2019-06-20 00:00:00,35.00,35.40,34.63,34.89,32.32,1491100.00
2019-06-21 00:00:00,34.79,34.79,34.00,34.10,31.59,1622100.00
2019-06-24 00:00:00,34.14,34.36,33.71,33.77,31.28,750500.00
2019-06-25 00:00:00,33.73,34.21,33.53,33.85,31.36,742900.00
2019-06-26 00:00:00,33.87,34.24,33.48,33.70,31.22,727200.00
2019-06-27 00:00:00,33.78,34.10,33.74,33.90,31.40,1081500.00
2019-06-28 00:00:00,34.02,34.72,33.91,34.60,32.05,1481600.00
2019-07-01 00:00:00,35.05,35.39,34.52,34.83,32.26,681100.00
2019-07-02 00:00:00,34.78,34.97,34.00,34.49,31.95,993100.00
2019-07-03 00:00:00,34.56,34.94,34.22,34.60,32.05,593300.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,34.29,34.81,34.19,34.49,31.95,2283100.00
2019-07-08 00:00:00,34.45,35.00,33.79,34.10,31.59,965200.00
2019-07-09 00:00:00,33.76,34.11,32.99,33.05,30.61,1793600.00
2019-07-10 00:00:00,33.04,33.38,32.43,33.06,30.62,1624300.00
2019-07-11 00:00:00,32.99,33.26,31.86,32.29,29.91,3126100.00
2019-07-12 00:00:00,32.35,33.41,32.30,33.26,30.81,790900.00
2019-07-15 00:00:00,33.18,33.42,32.45,32.50,30.11,981600.00
2019-07-16 00:00:00,32.38,33.54,32.38,33.36,30.90,1347400.00
2019-07-17 00:00:00,33.36,33.56,32.91,32.93,30.50,1634400.00
2019-07-18 00:00:00,32.85,33.08,32.70,32.78,30.36,656800.00
2019-07-19 00:00:00,32.92,33.55,32.80,33.53,31.06,1115400.00
2019-07-22 00:00:00,33.45,33.88,33.40,33.45,30.99,795000.00
2019-07-23 00:00:00,33.66,33.89,33.34,33.85,31.36,729500.00
2019-07-24 00:00:00,33.66,34.19,33.60,34.01,31.50,756600.00
2019-07-25 00:00:00,34.00,34.05,33.19,33.50,31.03,907400.00
2019-07-26 00:00:00,33.51,33.70,32.82,33.10,30.66,1161400.00
2019-07-29 00:00:00,33.10,33.36,32.24,32.29,29.91,1293000.00
2019-07-30 00:00:00,32.08,33.23,32.00,33.20,30.75,1658500.00
2019-07-31 00:00:00,33.07,33.60,32.80,32.97,30.54,2816100.00
2019-08-01 00:00:00,31.25,32.81,30.45,31.21,28.91,4026300.00
