Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,22.95,23.34,22.81,23.24,23.24,702600.00
2019-06-18 00:00:00,23.49,23.92,23.44,23.78,23.78,736500.00
2019-06-19 00:00:00,23.80,24.15,23.62,24.10,24.10,570500.00
2019-06-20 00:00:00,24.32,24.54,23.07,23.61,23.61,942700.00
2019-06-21 00:00:00,23.45,23.53,22.93,23.30,23.30,1204500.00
2019-06-24 00:00:00,23.29,23.46,22.95,23.29,23.29,535300.00
2019-06-25 00:00:00,23.33,23.41,21.94,22.04,22.04,1418600.00
2019-06-26 00:00:00,22.08,22.46,21.33,21.42,21.42,1445600.00
2019-06-27 00:00:00,21.46,22.38,21.46,22.33,22.33,479300.00
2019-06-28 00:00:00,22.34,23.40,22.30,23.26,23.26,1527200.00
2019-07-01 00:00:00,23.78,23.96,23.18,23.42,23.42,721000.00
2019-07-02 00:00:00,23.34,23.99,23.20,23.82,23.82,807700.00
2019-07-03 00:00:00,24.00,24.09,23.36,23.40,23.40,302200.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,23.23,24.19,23.20,24.19,24.19,404700.00
2019-07-08 00:00:00,24.00,24.19,23.76,24.02,24.02,601900.00
2019-07-09 00:00:00,23.88,24.59,23.81,24.58,24.58,513400.00
2019-07-10 00:00:00,24.70,25.08,24.66,24.71,24.71,1174500.00
2019-07-11 00:00:00,24.71,25.07,24.29,24.42,24.42,416100.00
2019-07-12 00:00:00,24.47,24.60,24.25,24.46,24.46,529800.00
2019-07-15 00:00:00,24.48,24.48,23.85,24.11,24.11,415500.00
2019-07-16 00:00:00,24.06,24.37,23.90,24.06,24.06,345600.00
2019-07-17 00:00:00,23.99,24.22,23.94,23.95,23.95,430800.00
2019-07-18 00:00:00,23.85,23.98,23.27,23.88,23.88,482900.00
2019-07-19 00:00:00,23.79,24.19,23.64,23.72,23.72,676600.00
2019-07-22 00:00:00,23.86,24.20,23.62,24.15,24.15,1042200.00
2019-07-23 00:00:00,24.31,26.25,24.31,26.16,26.16,1492300.00
2019-07-24 00:00:00,25.81,25.86,24.87,25.25,25.25,1389300.00
2019-07-25 00:00:00,25.42,25.45,24.89,25.33,25.33,767600.00
2019-07-26 00:00:00,25.48,26.07,25.24,26.00,26.00,738500.00
2019-07-29 00:00:00,25.91,26.92,25.91,26.84,26.84,986900.00
2019-07-30 00:00:00,26.53,26.93,25.97,25.99,25.99,877100.00
2019-07-31 00:00:00,26.15,26.27,25.16,25.44,25.44,981400.00
2019-08-01 00:00:00,25.56,25.85,24.66,24.90,24.90,748200.00
