Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,31.77,32.43,31.75,32.39,27.03,2453200.00
2019-06-18 00:00:00,32.52,32.67,32.06,32.29,26.95,2667300.00
2019-06-19 00:00:00,32.18,32.61,31.98,32.56,27.17,1756300.00
2019-06-20 00:00:00,32.75,32.98,32.51,32.55,27.16,1939400.00
2019-06-21 00:00:00,32.50,32.50,31.70,32.06,26.75,3135700.00
2019-06-24 00:00:00,32.10,32.18,31.24,31.51,26.29,2594800.00
2019-06-25 00:00:00,31.53,31.58,30.85,30.88,25.77,2656600.00
2019-06-26 00:00:00,30.88,30.93,30.08,30.46,25.42,6252800.00
2019-06-27 00:00:00,30.61,30.98,30.50,30.88,25.77,3144500.00
2019-06-28 00:00:00,30.96,31.30,30.85,31.30,26.12,4108300.00
2019-07-01 00:00:00,31.59,31.59,30.55,30.72,25.64,4331200.00
2019-07-02 00:00:00,30.80,31.68,30.70,31.62,26.39,3112200.00
2019-07-03 00:00:00,31.73,31.99,31.62,31.97,26.68,1161400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,31.80,31.90,31.24,31.59,26.36,1642500.00
2019-07-08 00:00:00,31.48,31.86,31.44,31.47,26.26,1880900.00
2019-07-09 00:00:00,31.47,31.61,31.05,31.60,26.37,2096400.00
2019-07-10 00:00:00,31.93,32.08,31.56,32.07,26.76,3355000.00
2019-07-11 00:00:00,31.03,31.10,29.44,29.67,24.76,11058100.00
2019-07-12 00:00:00,29.73,30.21,29.61,30.17,25.18,3972600.00
2019-07-15 00:00:00,30.34,30.75,30.19,30.41,25.38,2480200.00
2019-07-16 00:00:00,30.30,30.93,30.20,30.57,25.51,2465700.00
2019-07-17 00:00:00,30.71,30.72,30.04,30.15,25.16,2174600.00
2019-07-18 00:00:00,30.04,30.57,29.91,30.54,25.49,2148200.00
2019-07-19 00:00:00,30.50,30.55,30.05,30.06,25.08,2032800.00
2019-07-22 00:00:00,30.15,30.29,29.72,30.03,25.06,2673100.00
2019-07-23 00:00:00,30.04,30.55,29.92,30.44,25.40,1531600.00
2019-07-24 00:00:00,30.46,30.59,30.22,30.27,25.26,2211800.00
2019-07-25 00:00:00,30.25,30.32,29.99,30.07,25.09,1860800.00
2019-07-26 00:00:00,30.06,30.12,29.79,29.91,24.96,2658300.00
2019-07-29 00:00:00,29.98,30.06,29.87,29.91,24.96,2467000.00
2019-07-30 00:00:00,29.87,30.07,29.68,29.87,24.93,2936500.00
2019-07-31 00:00:00,29.81,29.87,29.28,29.41,24.54,4382000.00
2019-08-01 00:00:00,30.09,31.28,29.97,30.83,25.73,6872300.00
