Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,158.72,159.29,157.42,158.58,158.58,240900.00
2019-06-17 00:00:00,159.05,160.05,158.64,159.03,159.03,170800.00
2019-06-18 00:00:00,160.01,161.00,159.19,159.43,159.43,349500.00
2019-06-19 00:00:00,159.35,160.77,158.37,160.39,160.39,221700.00
2019-06-20 00:00:00,161.42,162.40,160.22,160.42,160.42,288400.00
2019-06-21 00:00:00,160.19,161.58,158.63,161.47,161.47,791600.00
2019-06-24 00:00:00,161.63,162.66,160.87,161.84,161.84,251200.00
2019-06-25 00:00:00,161.94,162.79,160.37,160.99,160.99,338600.00
2019-06-26 00:00:00,161.38,161.72,158.11,158.14,158.14,394800.00
2019-06-27 00:00:00,158.93,159.78,157.24,158.97,158.97,377600.00
2019-06-28 00:00:00,159.44,161.17,159.10,160.94,160.94,727500.00
2019-07-01 00:00:00,162.79,163.66,161.54,163.65,163.65,269400.00
2019-07-02 00:00:00,163.22,165.14,163.01,165.07,165.07,291000.00
2019-07-03 00:00:00,165.75,168.03,164.66,167.84,167.84,281800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,167.09,168.97,165.87,168.97,168.97,227100.00
2019-07-08 00:00:00,168.60,168.60,166.86,167.14,167.14,349900.00
2019-07-09 00:00:00,166.28,168.03,165.96,167.58,167.58,321400.00
2019-07-10 00:00:00,168.31,169.06,168.10,168.36,168.36,214100.00
2019-07-11 00:00:00,168.88,169.91,168.18,169.50,169.50,223900.00
2019-07-12 00:00:00,170.14,170.50,168.85,170.24,170.24,167100.00
2019-07-15 00:00:00,170.47,171.36,169.46,170.87,170.87,242200.00
2019-07-16 00:00:00,171.04,171.12,168.87,169.02,169.02,274200.00
2019-07-17 00:00:00,169.48,170.65,168.25,168.42,168.42,229200.00
2019-07-18 00:00:00,167.99,169.02,167.39,168.55,168.55,351300.00
2019-07-19 00:00:00,169.88,169.92,165.71,165.79,165.79,301300.00
2019-07-22 00:00:00,166.20,168.50,166.20,167.72,167.72,349300.00
2019-07-23 00:00:00,169.00,169.44,167.51,169.35,169.35,288900.00
2019-07-24 00:00:00,169.15,169.66,167.53,168.98,168.98,218600.00
2019-07-25 00:00:00,168.54,168.88,167.54,168.14,168.14,284800.00
2019-07-26 00:00:00,168.97,171.44,168.45,171.04,171.04,332300.00
2019-07-29 00:00:00,171.25,171.78,169.62,170.73,170.73,432500.00
2019-07-30 00:00:00,148.37,149.19,136.16,138.26,138.26,2994200.00
2019-07-31 00:00:00,138.50,144.19,138.48,139.33,139.33,1282000.00
2019-08-01 00:00:00,140.00,140.34,135.65,137.41,137.41,790800.00
2019-08-02 00:00:00,136.91,136.98,134.50,135.11,135.11,570300.00
2019-08-05 00:00:00,133.00,133.30,127.58,128.02,128.02,903000.00
2019-08-06 00:00:00,128.88,129.63,125.85,128.44,128.44,1038100.00
2019-08-07 00:00:00,127.56,130.38,125.86,129.34,129.34,606100.00
2019-08-08 00:00:00,130.56,133.49,130.29,132.47,132.47,542800.00
2019-08-09 00:00:00,131.89,133.11,129.92,130.58,130.58,328800.00
2019-08-12 00:00:00,129.70,129.80,127.60,128.51,128.51,327300.00
2019-08-13 00:00:00,127.80,131.35,127.69,128.56,128.56,809200.00
2019-08-14 00:00:00,127.35,129.52,126.84,127.00,127.00,514300.00
2019-08-15 00:00:00,127.49,128.06,124.77,126.49,126.49,410300.00
2019-08-16 00:00:00,127.74,129.69,124.77,129.29,129.29,426300.00
2019-08-19 00:00:00,131.01,131.70,129.92,131.21,131.21,454500.00
2019-08-20 00:00:00,131.37,132.63,130.53,132.07,132.07,583300.00
2019-08-21 00:00:00,132.96,133.96,132.20,132.66,132.66,298800.00
2019-08-22 00:00:00,133.42,133.42,130.83,132.58,132.58,374700.00
2019-08-23 00:00:00,132.09,132.89,129.01,129.43,129.43,479100.00
2019-08-26 00:00:00,130.44,130.74,128.36,129.23,129.23,374600.00
2019-08-27 00:00:00,130.42,131.37,129.50,130.53,130.53,379300.00
2019-08-28 00:00:00,129.56,131.17,128.88,130.72,130.72,247200.00
2019-08-29 00:00:00,132.09,132.95,131.55,131.98,131.98,396300.00
2019-08-30 00:00:00,133.08,134.18,132.65,133.67,133.67,426500.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,132.73,133.73,131.58,132.46,132.46,320800.00
2019-09-04 00:00:00,133.93,135.02,133.19,134.98,134.98,254800.00
2019-09-05 00:00:00,136.48,137.71,135.96,136.80,136.80,291200.00
2019-09-06 00:00:00,137.15,138.07,136.59,137.19,137.19,241600.00
2019-09-09 00:00:00,138.22,138.23,136.22,136.92,136.92,601600.00
2019-09-10 00:00:00,136.13,136.57,133.79,134.64,134.64,493700.00
2019-09-11 00:00:00,134.06,136.81,132.91,136.77,136.77,299300.00
2019-09-12 00:00:00,137.97,139.24,137.32,137.33,137.33,438600.00
2019-09-13 00:00:00,137.49,138.44,136.69,137.10,137.10,404300.00
2019-09-16 00:00:00,136.41,139.39,136.04,138.67,138.67,649000.00
2019-09-17 00:00:00,138.93,139.42,137.35,139.33,139.33,412600.00
2019-09-18 00:00:00,139.96,139.96,137.96,139.17,139.17,521700.00
2019-09-19 00:00:00,139.07,140.23,138.67,140.13,140.13,386200.00
2019-09-20 00:00:00,141.01,143.76,140.41,143.64,143.64,1419100.00
2019-09-23 00:00:00,142.83,143.46,142.07,142.64,142.64,1110400.00
2019-09-24 00:00:00,143.43,143.49,141.88,143.28,143.28,854000.00
2019-09-25 00:00:00,143.00,143.88,141.42,143.49,143.49,734800.00
2019-09-26 00:00:00,143.93,144.50,141.80,143.89,143.89,578900.00
2019-09-27 00:00:00,144.46,144.46,140.57,142.10,142.10,819300.00
2019-09-30 00:00:00,142.72,143.30,141.63,142.99,142.99,800800.00
2019-10-01 00:00:00,143.22,144.44,140.71,140.86,140.86,600000.00
2019-10-02 00:00:00,139.75,139.97,137.97,138.77,138.77,610900.00
2019-10-03 00:00:00,138.84,140.74,136.70,140.63,140.63,471700.00
2019-10-04 00:00:00,141.16,143.53,141.16,143.25,143.25,253600.00
2019-10-07 00:00:00,142.33,143.74,141.80,142.57,142.57,378800.00
2019-10-08 00:00:00,141.54,142.57,140.35,140.59,140.59,408700.00
2019-10-09 00:00:00,141.68,142.39,141.19,141.83,141.83,215600.00
2019-10-10 00:00:00,141.97,143.58,141.97,143.11,143.11,248600.00
2019-10-11 00:00:00,144.99,146.32,144.46,145.15,145.15,272800.00
2019-10-14 00:00:00,144.71,145.01,143.48,143.97,143.97,454000.00
2019-10-15 00:00:00,143.97,145.89,143.82,145.75,145.75,317800.00
2019-10-16 00:00:00,145.89,146.12,144.59,145.68,145.68,456300.00
2019-10-17 00:00:00,146.00,146.00,143.78,144.77,144.77,383100.00
2019-10-18 00:00:00,144.70,145.05,143.13,144.51,144.51,394300.00
2019-10-21 00:00:00,145.43,145.68,144.54,145.07,145.07,805600.00
2019-10-22 00:00:00,145.15,146.71,142.95,142.98,142.98,496500.00
2019-10-23 00:00:00,142.80,143.72,141.98,142.84,142.84,524600.00
2019-10-24 00:00:00,143.47,144.68,143.00,144.43,144.43,1302600.00
2019-10-25 00:00:00,144.21,146.75,144.08,146.04,146.04,744600.00
2019-10-28 00:00:00,146.95,148.00,145.38,146.10,146.10,260000.00
2019-10-29 00:00:00,145.85,146.77,144.66,145.11,145.11,465900.00
2019-10-30 00:00:00,145.86,146.77,145.01,146.67,146.67,470600.00
2019-10-31 00:00:00,149.08,154.52,146.67,154.08,154.08,632800.00
2019-11-01 00:00:00,153.75,156.33,153.52,156.09,156.09,609300.00
2019-11-04 00:00:00,156.93,158.30,156.24,157.92,157.92,581100.00
2019-11-05 00:00:00,157.68,158.27,156.69,157.73,157.73,470600.00
2019-11-06 00:00:00,157.33,159.37,156.07,158.42,158.42,534200.00
2019-11-07 00:00:00,158.82,160.46,158.82,160.00,160.00,392700.00
2019-11-08 00:00:00,159.69,160.79,159.55,160.36,160.36,340100.00
2019-11-11 00:00:00,159.09,160.60,158.93,160.53,160.53,682400.00
2019-11-12 00:00:00,160.56,161.62,160.13,160.62,160.62,555500.00
2019-11-13 00:00:00,160.05,161.02,159.73,160.52,160.52,318400.00
2019-11-14 00:00:00,160.06,160.06,156.47,158.56,158.56,495900.00
2019-11-15 00:00:00,159.31,160.20,158.00,159.94,159.94,250800.00
2019-11-18 00:00:00,159.60,160.72,159.27,159.95,159.95,314500.00
2019-11-19 00:00:00,160.68,161.44,159.70,160.25,160.25,395300.00
2019-11-20 00:00:00,159.17,160.30,157.36,157.95,157.95,786400.00
2019-11-21 00:00:00,157.73,158.38,155.81,158.06,158.06,578600.00
2019-11-22 00:00:00,158.32,158.57,156.85,157.00,157.00,435400.00
2019-11-25 00:00:00,157.80,160.18,157.10,160.14,160.14,662900.00
2019-11-26 00:00:00,161.00,162.73,159.73,162.20,162.20,447100.00
2019-11-27 00:00:00,162.12,162.61,160.10,160.69,160.69,274500.00
2019-11-28 00:00:00,,,,,,
2019-11-29 00:00:00,160.65,161.21,159.68,160.46,160.46,153300.00
2019-12-02 00:00:00,160.14,160.60,157.51,157.62,157.62,436100.00
2019-12-03 00:00:00,155.48,157.80,155.43,157.65,157.65,445500.00
2019-12-04 00:00:00,157.66,159.95,157.65,157.73,157.73,325000.00
2019-12-05 00:00:00,158.09,159.00,157.79,158.47,158.47,355900.00
2019-12-06 00:00:00,159.50,160.07,159.12,159.68,159.68,283000.00
2019-12-09 00:00:00,159.73,160.10,157.49,157.56,157.56,312800.00
2019-12-10 00:00:00,157.76,158.43,156.57,156.69,156.69,263400.00
2019-12-11 00:00:00,157.15,157.15,155.22,156.98,156.98,461800.00
2019-12-12 00:00:00,156.93,159.51,156.55,157.41,157.41,456300.00
2019-12-13 00:00:00,156.92,158.78,156.44,157.67,157.67,344900.00
2019-12-16 00:00:00,158.35,159.14,157.53,157.94,157.94,345700.00
2019-12-17 00:00:00,156.01,156.70,153.24,153.49,153.49,805200.00
2019-12-18 00:00:00,154.11,154.20,151.70,152.00,152.00,1355500.00
2019-12-19 00:00:00,152.15,154.46,151.88,154.23,154.23,571600.00
2019-12-20 00:00:00,155.02,155.99,152.85,153.05,153.05,1335500.00
2019-12-23 00:00:00,154.08,154.31,152.90,153.47,153.47,822700.00
2019-12-24 00:00:00,154.08,154.20,152.84,153.60,153.60,205600.00
2019-12-25 00:00:00,,,,,,
2019-12-26 00:00:00,153.67,154.58,153.21,154.03,154.03,216400.00
2019-12-27 00:00:00,154.50,154.61,153.39,153.82,153.82,369700.00
2019-12-30 00:00:00,153.81,153.99,152.01,152.77,152.77,337300.00
2019-12-31 00:00:00,152.50,154.69,152.50,154.10,154.10,563900.00
2020-01-02 00:00:00,154.48,156.04,154.48,156.04,156.04,769100.00
2020-01-03 00:00:00,153.70,156.50,153.24,155.98,155.98,447900.00
2020-01-06 00:00:00,155.33,158.89,155.24,158.86,158.86,473000.00
2020-01-07 00:00:00,158.28,158.91,156.46,156.58,156.58,477200.00
2020-01-08 00:00:00,156.61,159.13,156.30,158.65,158.65,556100.00
