Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,20.62,20.62,20.08,20.15,17.61,3723200.00
2019-06-18 00:00:00,20.20,20.64,20.09,20.35,17.78,4438100.00
2019-06-19 00:00:00,20.52,20.65,20.26,20.34,17.77,3384100.00
2019-06-20 00:00:00,20.55,20.81,20.47,20.74,18.12,2874800.00
2019-06-21 00:00:00,20.69,20.95,20.45,20.59,17.99,6080000.00
2019-06-24 00:00:00,20.60,20.93,20.43,20.46,17.88,3333100.00
2019-06-25 00:00:00,20.35,20.37,19.95,20.01,17.49,4425200.00
2019-06-26 00:00:00,20.13,20.23,19.92,20.10,17.56,5907000.00
2019-06-27 00:00:00,20.20,20.49,20.20,20.36,17.79,3817400.00
2019-06-28 00:00:00,20.54,20.67,20.31,20.46,17.88,5301400.00
2019-07-01 00:00:00,20.77,20.85,20.26,20.54,17.95,4702100.00
2019-07-02 00:00:00,20.48,20.62,20.43,20.54,17.95,11651000.00
2019-07-03 00:00:00,20.63,21.00,20.60,20.82,18.19,2291600.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,20.88,21.10,20.84,20.97,18.32,2752900.00
2019-07-08 00:00:00,20.77,20.93,20.54,20.59,17.99,3997700.00
2019-07-09 00:00:00,20.45,20.73,20.37,20.63,18.03,3880600.00
2019-07-10 00:00:00,20.71,20.83,20.37,20.43,17.85,4426400.00
2019-07-11 00:00:00,20.32,20.37,19.67,19.80,17.30,7060900.00
2019-07-12 00:00:00,19.91,20.29,19.90,20.13,17.59,4728000.00
2019-07-15 00:00:00,20.15,20.43,20.07,20.12,17.58,4083500.00
2019-07-16 00:00:00,20.18,20.18,19.88,19.90,17.39,4735600.00
2019-07-17 00:00:00,19.80,19.88,19.28,19.45,17.00,5117600.00
2019-07-18 00:00:00,19.42,19.70,19.39,19.67,17.19,3908600.00
2019-07-19 00:00:00,19.73,20.02,19.73,19.77,17.28,3630200.00
2019-07-22 00:00:00,19.77,19.86,19.35,19.52,17.06,5129100.00
2019-07-23 00:00:00,19.65,19.77,19.47,19.67,17.19,5169200.00
2019-07-24 00:00:00,19.56,20.15,19.54,20.06,17.53,7285800.00
2019-07-25 00:00:00,20.19,20.33,19.09,19.53,17.07,8730700.00
2019-07-26 00:00:00,19.43,19.62,19.18,19.61,17.14,5359400.00
2019-07-29 00:00:00,19.56,19.60,19.24,19.33,16.89,6297400.00
2019-07-30 00:00:00,19.13,19.37,18.81,19.37,16.93,5208100.00
2019-07-31 00:00:00,19.37,19.37,18.96,19.19,16.77,17284600.00
2019-08-01 00:00:00,19.06,19.06,17.99,18.02,15.75,8178900.00
