Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,78.17,78.68,77.91,78.30,76.54,660800.00
2019-06-17 00:00:00,78.62,78.81,78.12,78.20,76.44,419800.00
2019-06-18 00:00:00,78.85,79.98,78.50,79.86,78.07,749200.00
2019-06-19 00:00:00,80.00,80.75,79.74,80.63,78.82,866600.00
2019-06-20 00:00:00,81.60,82.48,81.21,81.90,80.06,1059400.00
2019-06-21 00:00:00,81.97,82.38,81.25,82.31,80.46,2319900.00
2019-06-24 00:00:00,82.30,82.84,81.87,81.98,80.14,865000.00
2019-06-25 00:00:00,82.20,82.60,81.25,82.32,80.47,872700.00
2019-06-26 00:00:00,83.00,83.17,82.46,82.81,80.95,1251400.00
2019-06-27 00:00:00,83.18,84.12,83.00,84.01,82.12,1633700.00
2019-06-28 00:00:00,84.24,84.52,83.58,84.39,82.49,1294900.00
2019-07-01 00:00:00,85.12,85.14,84.04,84.80,82.90,1088500.00
2019-07-02 00:00:00,84.82,84.93,83.81,84.38,82.49,909700.00
2019-07-03 00:00:00,84.50,84.86,83.74,84.79,82.89,500200.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,84.26,84.74,83.56,84.71,82.81,663600.00
2019-07-08 00:00:00,84.41,84.41,83.51,83.55,81.67,983200.00
2019-07-09 00:00:00,82.99,84.16,82.54,84.00,82.11,733400.00
2019-07-10 00:00:00,84.39,84.48,83.61,83.82,81.94,466900.00
2019-07-11 00:00:00,84.04,84.10,83.16,84.05,82.16,678000.00
2019-07-12 00:00:00,84.31,85.49,84.31,85.21,83.30,1031100.00
2019-07-15 00:00:00,85.35,85.43,84.60,84.79,82.89,1299900.00
2019-07-16 00:00:00,84.95,85.83,84.80,85.75,83.82,706300.00
2019-07-17 00:00:00,85.75,85.85,84.61,84.74,82.84,701800.00
2019-07-18 00:00:00,84.56,84.56,83.39,83.94,82.06,705700.00
2019-07-19 00:00:00,84.25,84.79,83.90,83.91,82.03,793600.00
2019-07-22 00:00:00,83.90,84.66,83.90,84.13,82.24,439000.00
2019-07-23 00:00:00,84.57,84.93,83.78,84.93,83.02,524800.00
2019-07-24 00:00:00,84.62,85.66,84.07,85.65,83.73,604400.00
2019-07-25 00:00:00,85.60,85.60,84.42,84.50,82.77,600700.00
2019-07-26 00:00:00,84.62,85.11,84.56,84.96,83.22,546400.00
2019-07-29 00:00:00,85.00,85.04,84.04,84.18,82.45,673500.00
2019-07-30 00:00:00,83.60,84.46,83.41,84.24,82.51,815100.00
2019-07-31 00:00:00,84.20,84.72,82.06,82.51,80.82,1211500.00
2019-08-01 00:00:00,82.84,82.84,80.44,80.57,78.92,1258800.00
2019-08-02 00:00:00,80.25,80.67,79.01,79.67,78.04,1079700.00
2019-08-05 00:00:00,81.20,83.47,77.56,81.00,79.34,2447800.00
2019-08-06 00:00:00,82.12,84.39,81.50,84.17,82.44,1634100.00
2019-08-07 00:00:00,83.31,83.89,80.55,83.63,81.91,1522800.00
2019-08-08 00:00:00,83.94,85.94,83.94,85.53,83.78,1379400.00
2019-08-09 00:00:00,85.85,86.43,84.38,85.90,84.14,868400.00
2019-08-12 00:00:00,85.38,85.52,82.70,82.95,81.25,843000.00
2019-08-13 00:00:00,82.77,84.89,82.20,83.89,82.17,825500.00
2019-08-14 00:00:00,81.84,82.40,80.50,80.77,79.11,798200.00
2019-08-15 00:00:00,81.00,82.17,80.90,81.68,80.00,905200.00
2019-08-16 00:00:00,82.30,83.67,82.24,83.48,81.77,827900.00
2019-08-19 00:00:00,84.87,84.89,83.98,83.99,82.27,1026800.00
2019-08-20 00:00:00,83.84,83.87,82.16,83.57,81.86,1070300.00
2019-08-21 00:00:00,84.64,86.13,84.46,86.03,84.27,968400.00
2019-08-22 00:00:00,86.50,87.47,86.01,86.55,84.77,767200.00
2019-08-23 00:00:00,85.93,87.00,84.66,85.01,83.27,986600.00
2019-08-26 00:00:00,85.86,85.95,84.68,85.61,83.85,729600.00
2019-08-27 00:00:00,86.11,86.39,84.55,85.02,83.28,756300.00
2019-08-28 00:00:00,84.94,85.66,84.04,85.50,83.75,623500.00
2019-08-29 00:00:00,86.44,88.26,86.00,87.79,85.99,1003400.00
2019-08-30 00:00:00,88.50,88.96,87.98,88.86,87.04,774500.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,88.06,89.30,87.62,89.29,87.46,906900.00
2019-09-04 00:00:00,90.01,91.21,89.85,90.87,89.01,1082000.00
2019-09-05 00:00:00,91.49,92.25,91.00,91.36,89.49,1075500.00
2019-09-06 00:00:00,91.43,92.70,91.43,92.32,90.43,859400.00
2019-09-09 00:00:00,92.88,93.93,91.98,92.12,90.23,1555200.00
2019-09-10 00:00:00,91.93,92.18,89.33,89.97,88.12,1669900.00
2019-09-11 00:00:00,90.00,90.61,89.06,89.80,87.96,1410400.00
2019-09-12 00:00:00,90.00,90.76,89.88,90.38,88.53,1057700.00
2019-09-13 00:00:00,90.94,91.82,90.77,91.21,89.34,1038600.00
2019-09-16 00:00:00,91.16,92.99,90.85,92.67,90.77,1374700.00
2019-09-17 00:00:00,92.25,93.90,91.98,93.55,91.63,1096900.00
2019-09-18 00:00:00,93.16,94.10,92.58,93.17,91.26,988800.00
2019-09-19 00:00:00,93.13,93.68,91.68,92.24,90.35,1015500.00
2019-09-20 00:00:00,92.50,92.99,91.50,91.79,89.91,4341500.00
2019-09-23 00:00:00,91.25,91.79,90.27,91.29,89.42,1027600.00
2019-09-24 00:00:00,91.34,91.83,89.84,90.42,88.57,844700.00
2019-09-25 00:00:00,89.65,91.55,89.61,91.27,89.40,585800.00
2019-09-26 00:00:00,91.11,91.70,90.40,90.98,89.11,449600.00
2019-09-27 00:00:00,91.14,91.49,90.44,90.69,88.83,518300.00
2019-09-30 00:00:00,90.69,91.90,90.69,91.50,89.62,666400.00
2019-10-01 00:00:00,92.02,92.38,89.32,89.52,87.68,698000.00
2019-10-02 00:00:00,88.74,89.00,86.95,87.89,86.09,1336800.00
2019-10-03 00:00:00,87.33,88.16,86.24,88.01,86.37,486300.00
2019-10-04 00:00:00,88.07,89.88,87.96,89.82,88.15,533000.00
2019-10-07 00:00:00,89.37,90.07,88.90,88.90,87.25,472000.00
2019-10-08 00:00:00,88.10,89.41,86.94,88.34,86.70,1053600.00
2019-10-09 00:00:00,89.27,89.41,88.44,89.06,87.40,556100.00
2019-10-10 00:00:00,89.16,90.65,88.60,89.64,87.97,820700.00
2019-10-11 00:00:00,90.66,92.58,90.52,91.85,90.14,883900.00
2019-10-14 00:00:00,91.48,92.22,90.97,91.35,89.65,434400.00
2019-10-15 00:00:00,91.81,93.01,91.36,92.59,90.87,580000.00
2019-10-16 00:00:00,91.86,92.20,91.45,91.81,90.10,794100.00
2019-10-17 00:00:00,92.29,93.57,92.07,93.26,91.52,747100.00
2019-10-18 00:00:00,92.97,93.15,92.32,92.90,91.17,648800.00
2019-10-21 00:00:00,93.75,94.44,93.06,93.11,91.38,802200.00
2019-10-22 00:00:00,93.24,94.04,93.03,93.52,91.78,554400.00
2019-10-23 00:00:00,93.50,94.00,92.55,92.90,91.17,665900.00
2019-10-24 00:00:00,93.23,93.80,93.02,93.37,91.63,457300.00
2019-10-25 00:00:00,93.21,94.03,93.21,93.93,92.18,405100.00
2019-10-28 00:00:00,94.33,94.74,94.00,94.41,92.65,463400.00
2019-10-29 00:00:00,93.80,95.04,93.79,94.29,92.53,622400.00
2019-10-30 00:00:00,94.48,94.97,93.98,94.84,93.07,467500.00
2019-10-31 00:00:00,94.53,95.00,93.05,93.58,91.84,737400.00
2019-11-01 00:00:00,94.25,96.32,94.17,96.07,94.28,1043900.00
