Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,24.52,24.78,24.31,24.63,24.63,267100.00
2019-06-17 00:00:00,24.34,24.47,22.12,22.60,22.60,1290100.00
2019-06-18 00:00:00,22.69,23.48,22.62,23.27,23.27,644600.00
2019-06-19 00:00:00,23.23,23.58,22.89,23.40,23.40,416800.00
2019-06-20 00:00:00,23.97,24.00,22.57,22.65,22.65,544600.00
2019-06-21 00:00:00,22.60,22.66,21.60,22.25,22.25,1100400.00
2019-06-24 00:00:00,22.69,23.13,22.14,22.45,22.45,376000.00
2019-06-25 00:00:00,22.64,22.64,20.92,20.98,20.98,852700.00
2019-06-26 00:00:00,21.36,22.17,21.05,21.75,21.75,711400.00
2019-06-27 00:00:00,21.80,22.57,21.53,22.28,22.28,960300.00
2019-06-28 00:00:00,22.72,22.75,20.57,21.69,21.69,1415800.00
2019-07-01 00:00:00,22.36,23.20,21.90,22.43,22.43,1146100.00
2019-07-02 00:00:00,22.44,22.78,21.72,22.77,22.77,496400.00
2019-07-03 00:00:00,22.76,23.27,22.62,22.62,22.62,306500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,22.35,23.18,21.56,23.16,23.16,733300.00
2019-07-08 00:00:00,22.79,22.80,21.66,22.39,22.39,729800.00
2019-07-09 00:00:00,22.26,22.60,21.83,22.24,22.24,351000.00
2019-07-10 00:00:00,22.35,22.58,21.56,21.61,21.61,511500.00
2019-07-11 00:00:00,21.66,21.80,19.87,19.99,19.99,1483700.00
2019-07-12 00:00:00,20.50,21.44,19.95,20.09,20.09,1018600.00
2019-07-15 00:00:00,20.33,20.48,20.06,20.30,20.30,377100.00
2019-07-16 00:00:00,20.30,20.57,20.03,20.26,20.26,390100.00
2019-07-17 00:00:00,20.36,20.86,20.30,20.70,20.70,576300.00
2019-07-18 00:00:00,20.55,20.71,20.20,20.43,20.43,351700.00
2019-07-19 00:00:00,20.55,20.80,20.19,20.23,20.23,305400.00
2019-07-22 00:00:00,20.48,21.13,20.26,20.88,20.88,779400.00
2019-07-23 00:00:00,21.06,21.30,19.93,20.43,20.43,591300.00
2019-07-24 00:00:00,20.53,20.61,20.00,20.03,20.03,600800.00
2019-07-25 00:00:00,20.21,20.21,19.11,19.21,19.21,850600.00
2019-07-26 00:00:00,19.29,19.61,19.02,19.54,19.54,628400.00
2019-07-29 00:00:00,19.59,19.96,19.25,19.95,19.95,299700.00
2019-07-30 00:00:00,19.69,20.10,19.52,20.08,20.08,298400.00
2019-07-31 00:00:00,20.10,20.47,19.27,19.59,19.59,363500.00
2019-08-01 00:00:00,19.95,21.18,19.86,20.05,20.05,959300.00
2019-08-02 00:00:00,19.94,20.08,19.45,19.90,19.90,358900.00
2019-08-05 00:00:00,19.31,19.37,18.00,18.61,18.61,979400.00
2019-08-06 00:00:00,19.00,19.77,18.65,18.93,18.93,681700.00
2019-08-07 00:00:00,19.00,19.95,19.00,19.95,19.95,658300.00
2019-08-08 00:00:00,20.16,21.10,20.04,20.74,20.74,638400.00
2019-08-09 00:00:00,20.38,20.75,20.10,20.35,20.35,367400.00
2019-08-12 00:00:00,20.28,20.30,19.30,19.88,19.88,351500.00
2019-08-13 00:00:00,19.70,20.26,19.40,19.60,19.60,598400.00
