Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,56.95,57.05,56.21,56.55,51.21,1464400.00
2019-06-18 00:00:00,56.74,57.19,55.38,55.50,50.26,1895900.00
2019-06-19 00:00:00,55.41,55.44,54.65,55.06,49.86,2721700.00
2019-06-20 00:00:00,55.06,55.25,54.62,55.19,49.98,1591400.00
2019-06-21 00:00:00,55.28,56.56,55.11,55.59,50.34,4271500.00
2019-06-24 00:00:00,55.66,55.87,55.45,55.79,50.52,1727800.00
2019-06-25 00:00:00,55.20,55.27,54.24,54.53,49.38,2651100.00
2019-06-26 00:00:00,53.66,54.07,52.78,53.45,48.40,3276100.00
2019-06-27 00:00:00,53.00,53.47,52.70,53.19,48.17,2576000.00
2019-06-28 00:00:00,53.25,53.85,53.11,53.57,48.51,2948700.00
2019-07-01 00:00:00,53.91,54.44,53.24,53.38,48.34,2588000.00
2019-07-02 00:00:00,53.48,53.81,53.17,53.31,48.28,2360900.00
2019-07-03 00:00:00,53.40,57.21,53.37,56.67,51.32,5657800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,57.37,57.40,54.86,55.77,50.50,4151900.00
2019-07-08 00:00:00,55.55,56.11,55.36,55.43,50.19,1853300.00
2019-07-09 00:00:00,55.39,55.45,54.35,54.85,49.67,2992500.00
2019-07-10 00:00:00,55.15,55.34,54.63,54.78,49.61,2581800.00
2019-07-11 00:00:00,55.12,55.33,54.35,54.60,49.44,1662800.00
2019-07-12 00:00:00,54.82,55.13,54.40,54.55,49.40,1401200.00
2019-07-15 00:00:00,54.65,55.39,54.61,55.00,49.81,1939000.00
2019-07-16 00:00:00,55.11,55.34,54.91,55.22,50.00,1737900.00
2019-07-17 00:00:00,55.27,56.10,54.90,56.00,50.71,2393500.00
2019-07-18 00:00:00,56.16,57.60,55.76,56.98,51.60,3412900.00
2019-07-19 00:00:00,57.01,57.14,56.56,56.58,51.24,2002100.00
2019-07-22 00:00:00,56.69,56.86,55.95,56.54,51.20,2194200.00
2019-07-23 00:00:00,56.80,58.49,56.74,58.21,52.71,3636200.00
2019-07-24 00:00:00,58.26,58.55,57.78,58.26,52.76,2978700.00
2019-07-25 00:00:00,58.11,58.95,57.80,58.37,52.86,2958800.00
2019-07-26 00:00:00,58.51,59.48,58.20,58.73,53.18,2786500.00
2019-07-29 00:00:00,58.76,59.11,58.08,58.42,52.90,1863800.00
2019-07-30 00:00:00,58.57,58.64,57.71,58.56,53.03,2400700.00
2019-07-31 00:00:00,58.25,58.66,57.33,58.22,52.72,4910500.00
2019-08-01 00:00:00,60.93,65.59,60.81,63.63,57.62,10937900.00
