Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,84.24,84.43,82.92,83.83,83.83,1726500.00
2019-06-17 00:00:00,83.80,84.81,83.22,83.34,83.34,1331500.00
2019-06-18 00:00:00,83.81,86.06,83.65,86.00,86.00,1319900.00
2019-06-19 00:00:00,86.00,86.94,85.78,86.79,86.79,1393800.00
2019-06-20 00:00:00,87.62,88.60,87.57,88.40,88.40,1863800.00
2019-06-21 00:00:00,88.00,88.00,86.30,86.42,86.42,2073600.00
2019-06-24 00:00:00,86.27,86.66,85.61,86.45,86.45,1277200.00
2019-06-25 00:00:00,86.12,86.25,84.78,85.22,85.22,1404200.00
2019-06-26 00:00:00,86.01,88.01,85.85,87.23,87.23,1494000.00
2019-06-27 00:00:00,87.58,88.11,87.05,87.12,87.12,1313800.00
2019-06-28 00:00:00,87.32,89.99,86.56,89.81,89.81,7290000.00
2019-07-01 00:00:00,91.90,94.52,91.50,92.83,92.83,3007900.00
2019-07-02 00:00:00,92.50,92.50,89.58,90.85,90.85,2096300.00
2019-07-03 00:00:00,90.85,91.44,89.93,91.36,91.36,756500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,90.50,91.50,89.01,91.47,91.47,1032900.00
2019-07-08 00:00:00,90.52,90.81,89.66,89.83,89.83,1162200.00
2019-07-09 00:00:00,89.70,90.39,89.02,90.05,90.05,1739800.00
2019-07-10 00:00:00,90.47,91.73,88.92,88.95,88.95,1813700.00
2019-07-11 00:00:00,89.25,89.88,88.55,89.76,89.76,1345000.00
2019-07-12 00:00:00,89.68,91.55,89.35,91.37,91.37,938700.00
2019-07-15 00:00:00,91.50,91.61,90.18,91.01,91.01,772000.00
2019-07-16 00:00:00,90.83,90.93,89.16,89.42,89.42,815600.00
2019-07-17 00:00:00,89.20,89.38,88.07,88.22,88.22,1139000.00
2019-07-18 00:00:00,87.75,87.94,86.51,87.38,87.38,914600.00
2019-07-19 00:00:00,87.74,88.29,87.42,87.46,87.46,892200.00
2019-07-22 00:00:00,85.62,87.94,85.62,87.43,87.43,956200.00
2019-07-23 00:00:00,87.67,89.00,87.39,88.78,88.78,665500.00
2019-07-24 00:00:00,89.39,93.86,89.20,93.71,93.71,2063500.00
2019-07-25 00:00:00,93.00,93.00,90.47,90.75,90.75,1798400.00
2019-07-26 00:00:00,91.45,91.92,90.44,90.80,90.80,965300.00
2019-07-29 00:00:00,91.00,91.00,89.41,90.26,90.26,572400.00
2019-07-30 00:00:00,89.85,91.65,89.51,91.21,91.21,827500.00
2019-07-31 00:00:00,91.17,91.28,88.41,89.52,89.52,1431800.00
2019-08-01 00:00:00,89.34,92.79,89.16,89.59,89.59,1129500.00
2019-08-02 00:00:00,89.00,89.00,86.03,88.10,88.10,1149000.00
2019-08-05 00:00:00,85.29,86.00,82.72,83.54,83.54,1454100.00
2019-08-06 00:00:00,84.59,86.02,83.98,85.88,85.88,950100.00
2019-08-07 00:00:00,84.45,85.46,83.69,85.23,85.23,1054800.00
2019-08-08 00:00:00,86.92,89.30,86.67,89.26,89.26,1237200.00
2019-08-09 00:00:00,88.42,88.52,86.39,87.39,87.39,1109400.00
2019-08-12 00:00:00,86.60,87.38,86.06,86.25,86.25,662100.00
2019-08-13 00:00:00,85.55,89.07,85.55,88.47,88.47,1368700.00
2019-08-14 00:00:00,86.82,87.02,83.62,84.01,84.01,1595200.00
2019-08-15 00:00:00,84.26,84.50,82.41,83.34,83.34,1790500.00
2019-08-16 00:00:00,84.40,86.03,84.00,85.69,85.69,966400.00
2019-08-19 00:00:00,87.66,88.05,86.72,87.37,87.37,1035600.00
2019-08-20 00:00:00,87.11,88.47,86.24,87.30,87.30,2137400.00
2019-08-21 00:00:00,88.55,89.22,88.16,89.14,89.14,2485100.00
2019-08-22 00:00:00,94.44,101.58,91.60,100.35,100.35,11175500.00
2019-08-23 00:00:00,97.48,98.67,92.60,93.18,93.18,5112400.00
2019-08-26 00:00:00,94.17,95.66,93.26,95.17,95.17,2642500.00
2019-08-27 00:00:00,95.23,95.88,93.88,94.51,94.51,1907800.00
