Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,30.37,30.43,30.12,30.17,27.29,7957600.00
2019-06-18 00:00:00,30.43,30.49,30.12,30.27,27.38,10298700.00
2019-06-19 00:00:00,30.17,31.00,30.11,30.96,28.00,11185600.00
2019-06-20 00:00:00,31.15,31.36,30.92,31.13,28.16,8706200.00
2019-06-21 00:00:00,31.11,31.50,30.79,31.48,28.47,12099000.00
2019-06-24 00:00:00,31.34,31.48,30.49,30.52,27.61,10618400.00
2019-06-25 00:00:00,30.39,30.85,30.35,30.68,27.75,7514700.00
2019-06-26 00:00:00,30.41,30.95,30.16,30.84,27.90,7541900.00
2019-06-27 00:00:00,30.68,30.83,30.55,30.77,27.83,5051500.00
2019-06-28 00:00:00,30.90,31.07,30.68,31.04,28.08,7589100.00
2019-07-01 00:00:00,31.26,31.44,30.33,30.46,27.55,8090900.00
2019-07-02 00:00:00,30.43,30.64,30.23,30.52,27.61,8013900.00
2019-07-03 00:00:00,30.84,31.33,30.64,31.25,28.27,7003100.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,31.21,31.22,30.52,30.99,28.03,5234200.00
2019-07-08 00:00:00,30.99,31.05,30.58,30.69,27.76,4360000.00
2019-07-09 00:00:00,30.60,30.81,30.43,30.50,27.59,5011400.00
2019-07-10 00:00:00,30.60,31.35,30.58,31.30,28.31,6607400.00
2019-07-11 00:00:00,31.43,31.58,30.61,30.65,27.72,5846400.00
2019-07-12 00:00:00,30.65,30.92,30.55,30.80,27.86,4348200.00
2019-07-15 00:00:00,30.87,30.92,30.56,30.68,27.75,4572400.00
2019-07-16 00:00:00,30.68,30.75,30.24,30.32,27.43,4747100.00
2019-07-17 00:00:00,30.39,30.52,30.26,30.44,27.53,3901500.00
2019-07-18 00:00:00,30.44,31.15,30.35,31.05,28.09,6940700.00
2019-07-19 00:00:00,30.98,31.72,30.76,31.54,28.53,9416200.00
2019-07-22 00:00:00,31.58,31.84,31.31,31.49,28.48,7678900.00
2019-07-23 00:00:00,31.51,32.39,31.45,31.95,28.90,6696300.00
2019-07-24 00:00:00,31.94,32.08,31.58,32.07,29.01,7024400.00
2019-07-25 00:00:00,31.81,32.18,31.33,31.55,28.54,5788100.00
2019-07-26 00:00:00,31.67,31.95,31.44,31.85,28.81,3745800.00
2019-07-29 00:00:00,31.90,31.97,31.55,31.76,28.73,4465100.00
2019-07-30 00:00:00,31.63,31.86,31.31,31.84,28.80,4082000.00
2019-07-31 00:00:00,31.87,32.26,31.47,32.01,28.95,10875600.00
2019-08-01 00:00:00,32.10,33.25,31.63,32.53,29.42,10753300.00
