Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,18.85,19.15,18.85,19.01,16.83,3195200.00
2019-06-18 00:00:00,19.15,19.29,18.84,18.99,16.81,3179300.00
2019-06-19 00:00:00,18.92,19.16,18.81,19.08,16.89,2308700.00
2019-06-20 00:00:00,19.20,19.29,19.07,19.13,16.93,3205600.00
2019-06-21 00:00:00,19.07,19.12,18.76,18.90,16.73,5709500.00
2019-06-24 00:00:00,18.97,19.04,18.60,18.65,16.51,2687500.00
2019-06-25 00:00:00,18.65,18.82,18.57,18.61,16.47,3086300.00
2019-06-26 00:00:00,18.61,18.61,18.10,18.15,16.06,3768800.00
2019-06-27 00:00:00,18.27,18.44,18.25,18.40,16.29,2332800.00
2019-06-28 00:00:00,18.46,18.70,18.39,18.48,16.36,4926100.00
2019-07-01 00:00:00,18.31,18.38,17.56,17.95,16.13,7383000.00
2019-07-02 00:00:00,17.99,18.25,17.92,18.22,16.37,3397300.00
2019-07-03 00:00:00,18.25,18.48,18.21,18.39,16.53,1418700.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,18.25,18.48,17.99,18.45,16.58,2229800.00
2019-07-08 00:00:00,18.45,18.66,18.40,18.64,16.75,2247300.00
2019-07-09 00:00:00,18.64,18.75,18.53,18.64,16.75,2767100.00
2019-07-10 00:00:00,18.72,18.85,18.61,18.69,16.80,2860500.00
2019-07-11 00:00:00,18.74,18.82,18.32,18.37,16.51,2490200.00
2019-07-12 00:00:00,18.38,18.49,18.32,18.40,16.54,1781500.00
2019-07-15 00:00:00,18.40,18.56,18.29,18.37,16.51,2119800.00
2019-07-16 00:00:00,18.35,18.42,18.21,18.30,16.45,2337300.00
2019-07-17 00:00:00,18.35,18.55,18.15,18.20,16.36,2747300.00
2019-07-18 00:00:00,18.15,18.29,17.98,18.23,16.38,3087900.00
2019-07-19 00:00:00,18.25,18.31,17.86,17.89,16.08,3169800.00
2019-07-22 00:00:00,17.90,18.18,17.76,18.16,16.32,4452500.00
2019-07-23 00:00:00,18.19,18.74,18.13,18.65,16.76,6014100.00
2019-07-24 00:00:00,18.65,18.87,18.52,18.80,16.90,5038700.00
2019-07-25 00:00:00,18.70,18.77,18.47,18.64,16.75,3904400.00
2019-07-26 00:00:00,18.81,18.88,18.40,18.74,16.84,3456800.00
2019-07-29 00:00:00,18.75,19.01,18.70,18.93,17.01,2679000.00
2019-07-30 00:00:00,18.95,19.38,18.91,19.37,17.41,2971800.00
2019-07-31 00:00:00,19.33,19.43,19.08,19.21,17.26,5711400.00
2019-08-01 00:00:00,19.20,19.30,19.00,19.00,17.08,3374000.00
