Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,5.71,6.19,5.66,5.99,5.99,1193100.00
2019-06-18 00:00:00,6.05,6.29,5.89,5.91,5.91,1323100.00
2019-06-19 00:00:00,5.92,6.01,5.76,5.94,5.94,648000.00
2019-06-20 00:00:00,6.00,6.24,5.92,6.18,6.18,1016100.00
2019-06-21 00:00:00,6.13,6.44,5.96,6.43,6.43,801000.00
2019-06-24 00:00:00,6.43,6.67,6.02,6.34,6.34,1084300.00
2019-06-25 00:00:00,6.39,6.48,5.88,5.89,5.89,1104100.00
2019-06-26 00:00:00,5.91,6.11,5.90,6.06,6.06,719100.00
2019-06-27 00:00:00,6.15,6.36,6.06,6.13,6.13,936900.00
2019-06-28 00:00:00,6.20,6.33,5.85,5.99,5.99,2553700.00
2019-07-01 00:00:00,6.10,6.14,5.61,5.66,5.66,1323400.00
2019-07-02 00:00:00,5.70,6.63,5.42,6.54,6.54,3997300.00
2019-07-03 00:00:00,6.46,9.25,6.05,8.90,8.90,14985400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,10.14,10.60,8.36,8.81,8.81,40409700.00
2019-07-08 00:00:00,8.76,8.97,8.16,8.34,8.34,6294800.00
2019-07-09 00:00:00,8.30,8.38,7.31,7.97,7.97,6266300.00
2019-07-10 00:00:00,7.82,8.27,7.73,7.79,7.79,2194500.00
2019-07-11 00:00:00,7.82,7.96,7.58,7.61,7.61,1726800.00
2019-07-12 00:00:00,7.55,8.07,7.37,8.03,8.03,2589600.00
2019-07-15 00:00:00,8.02,8.44,7.68,8.40,8.40,2333800.00
2019-07-16 00:00:00,8.35,8.36,7.89,7.91,7.91,2069100.00
2019-07-17 00:00:00,7.94,8.04,7.68,7.88,7.88,1166100.00
2019-07-18 00:00:00,7.81,8.44,7.76,8.37,8.37,2302100.00
2019-07-19 00:00:00,8.39,8.41,8.10,8.30,8.30,1243500.00
2019-07-22 00:00:00,8.30,8.55,8.15,8.33,8.33,1157100.00
2019-07-23 00:00:00,9.01,9.15,8.62,8.81,8.81,5405500.00
2019-07-24 00:00:00,8.70,9.11,8.47,8.89,8.89,2139100.00
2019-07-25 00:00:00,8.83,8.83,8.41,8.57,8.57,1315400.00
2019-07-26 00:00:00,8.63,8.72,8.48,8.68,8.68,1015900.00
2019-07-29 00:00:00,8.69,8.74,8.28,8.65,8.65,1316900.00
2019-07-30 00:00:00,8.57,8.90,8.38,8.88,8.88,1692800.00
2019-07-31 00:00:00,8.82,9.23,8.74,8.81,8.81,1694200.00
2019-08-01 00:00:00,8.83,9.17,8.76,8.81,8.81,1432100.00
