Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,53.70,53.70,52.87,52.94,52.18,856700.00
2019-06-18 00:00:00,52.92,53.52,52.90,53.39,52.62,776600.00
2019-06-19 00:00:00,53.56,53.79,53.42,53.62,52.85,841200.00
2019-06-20 00:00:00,53.94,54.06,53.42,54.06,53.28,1265600.00
2019-06-21 00:00:00,54.01,54.30,53.70,54.07,53.29,2464500.00
2019-06-24 00:00:00,54.15,54.60,53.95,54.15,53.37,1002500.00
2019-06-25 00:00:00,54.22,54.73,54.08,54.55,53.77,1002900.00
2019-06-26 00:00:00,54.59,54.59,53.43,53.43,52.66,1304800.00
2019-06-27 00:00:00,53.60,53.87,53.38,53.77,53.00,958500.00
2019-06-28 00:00:00,54.11,54.74,54.04,54.67,53.89,2114700.00
2019-07-01 00:00:00,54.85,55.62,54.82,55.60,54.80,1257500.00
2019-07-02 00:00:00,55.65,55.72,55.00,55.24,54.45,1333600.00
2019-07-03 00:00:00,55.46,56.20,55.18,56.16,55.35,578000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,56.15,56.15,55.53,55.69,54.89,820800.00
2019-07-08 00:00:00,55.62,56.03,55.45,55.66,54.86,1009700.00
2019-07-09 00:00:00,55.54,55.57,55.28,55.49,54.69,963100.00
2019-07-10 00:00:00,55.65,55.84,55.36,55.55,54.75,958700.00
2019-07-11 00:00:00,55.66,55.67,54.93,55.30,54.51,694400.00
2019-07-12 00:00:00,55.32,55.43,55.14,55.38,54.59,934700.00
2019-07-15 00:00:00,55.52,55.52,55.10,55.18,54.39,643400.00
2019-07-16 00:00:00,55.26,55.28,54.72,54.80,54.01,1064600.00
2019-07-17 00:00:00,54.74,54.77,54.10,54.14,53.36,702000.00
2019-07-18 00:00:00,54.06,54.44,53.94,54.35,53.57,1012800.00
2019-07-19 00:00:00,54.50,54.60,53.81,53.84,53.07,799500.00
2019-07-22 00:00:00,53.80,54.19,53.71,53.95,53.18,585700.00
2019-07-23 00:00:00,54.01,54.15,53.83,54.02,53.24,791200.00
2019-07-24 00:00:00,53.89,54.79,53.89,54.74,53.95,678900.00
2019-07-25 00:00:00,54.74,54.92,54.53,54.77,53.98,483600.00
2019-07-26 00:00:00,54.78,54.95,54.52,54.84,54.05,927200.00
2019-07-29 00:00:00,54.86,54.86,53.69,53.91,53.14,1016500.00
2019-07-30 00:00:00,53.74,54.09,53.52,53.67,52.90,993800.00
2019-07-31 00:00:00,53.65,54.28,53.42,53.54,52.77,1225700.00
2019-08-01 00:00:00,53.42,53.84,52.68,52.87,52.11,841600.00
