Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,53.60,53.66,52.25,53.01,51.67,2029900.00
2019-06-18 00:00:00,52.89,53.52,51.86,52.49,51.16,2492000.00
2019-06-19 00:00:00,52.24,52.43,50.37,52.09,50.77,3733000.00
2019-06-20 00:00:00,52.72,52.97,52.01,52.73,51.40,2435400.00
2019-06-21 00:00:00,52.63,52.66,51.28,51.35,50.05,3376400.00
2019-06-24 00:00:00,51.55,52.13,50.95,51.41,50.11,3086000.00
2019-06-25 00:00:00,53.00,53.25,47.75,48.22,47.00,15278900.00
2019-06-26 00:00:00,47.75,48.44,47.09,47.55,46.35,5951000.00
2019-06-27 00:00:00,48.14,48.52,47.07,48.43,47.21,4886400.00
2019-06-28 00:00:00,48.33,49.31,48.28,48.46,47.24,4156900.00
2019-07-01 00:00:00,48.97,49.25,47.44,48.08,46.87,3760000.00
2019-07-02 00:00:00,48.00,48.64,47.68,48.55,47.32,3381600.00
2019-07-03 00:00:00,48.53,49.26,48.34,49.22,47.98,1610100.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,48.74,49.00,47.91,48.28,47.06,2754900.00
2019-07-08 00:00:00,48.21,48.62,47.84,48.27,47.05,2670400.00
2019-07-09 00:00:00,48.07,48.13,47.24,47.37,46.17,4096200.00
2019-07-10 00:00:00,48.29,48.78,47.55,48.42,47.24,3765800.00
2019-07-11 00:00:00,48.67,48.67,47.19,47.64,46.48,3382600.00
2019-07-12 00:00:00,47.64,48.40,47.64,47.80,46.63,2844700.00
2019-07-15 00:00:00,47.85,48.10,47.15,47.30,46.14,2198300.00
2019-07-16 00:00:00,47.19,47.93,47.05,47.77,46.60,2547600.00
2019-07-17 00:00:00,47.95,48.09,46.82,46.83,45.69,2921900.00
2019-07-18 00:00:00,46.89,47.14,46.40,46.76,45.62,3318200.00
2019-07-19 00:00:00,46.91,47.12,46.26,46.27,45.14,2581100.00
2019-07-22 00:00:00,46.53,46.71,45.87,46.00,44.88,2215400.00
2019-07-23 00:00:00,45.99,46.25,45.52,45.86,44.74,5000300.00
2019-07-24 00:00:00,45.84,46.84,45.56,46.77,45.63,3120300.00
2019-07-25 00:00:00,47.17,47.81,47.06,47.76,46.59,3508000.00
2019-07-26 00:00:00,47.76,48.27,47.47,47.63,46.47,3002000.00
2019-07-29 00:00:00,47.65,48.10,47.18,47.98,46.81,3823300.00
2019-07-30 00:00:00,47.93,49.08,47.72,48.45,47.27,4149600.00
2019-07-31 00:00:00,48.43,48.64,47.09,47.57,46.41,2865800.00
2019-08-01 00:00:00,47.79,49.33,47.53,48.50,47.31,4097100.00
