Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,276.30,276.42,272.08,275.84,265.85,326300.00
2019-06-17 00:00:00,275.00,276.36,272.09,272.27,262.41,289900.00
2019-06-18 00:00:00,273.89,275.70,269.34,270.79,260.98,294200.00
2019-06-19 00:00:00,271.44,272.30,267.27,271.33,261.50,158000.00
2019-06-20 00:00:00,273.81,274.87,266.96,272.15,262.29,324200.00
2019-06-21 00:00:00,270.50,271.80,268.12,268.27,258.55,402400.00
2019-06-24 00:00:00,268.78,271.71,267.97,270.47,260.67,417300.00
2019-06-25 00:00:00,271.27,274.87,268.68,270.85,261.04,295900.00
2019-06-26 00:00:00,271.42,273.34,270.20,270.89,261.08,302300.00
2019-06-27 00:00:00,270.37,273.45,268.09,273.33,264.18,186900.00
2019-06-28 00:00:00,272.92,276.29,272.88,275.00,265.79,349800.00
2019-07-01 00:00:00,277.80,283.27,276.13,283.11,273.63,344800.00
2019-07-02 00:00:00,283.29,286.29,282.06,284.60,275.07,465000.00
2019-07-03 00:00:00,285.65,288.86,282.82,288.57,278.91,208600.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,288.01,288.45,284.43,288.05,278.41,248100.00
2019-07-08 00:00:00,283.73,288.49,282.93,287.40,277.78,441800.00
2019-07-09 00:00:00,287.52,291.18,286.41,287.46,277.84,504400.00
2019-07-10 00:00:00,287.98,291.02,284.23,284.42,274.90,465600.00
2019-07-11 00:00:00,284.25,287.17,283.19,284.62,275.09,320200.00
2019-07-12 00:00:00,284.79,290.11,284.79,289.47,279.78,291200.00
2019-07-15 00:00:00,291.60,294.91,290.45,292.70,282.90,512400.00
2019-07-16 00:00:00,293.26,298.49,288.00,292.36,282.57,587600.00
2019-07-17 00:00:00,292.94,293.46,285.55,286.08,276.50,313100.00
2019-07-18 00:00:00,285.01,288.52,283.24,283.96,274.45,402500.00
2019-07-19 00:00:00,285.08,287.82,278.90,278.90,269.56,457100.00
2019-07-22 00:00:00,264.70,272.00,263.00,264.00,255.16,1073900.00
2019-07-23 00:00:00,264.25,264.65,257.78,264.52,255.66,754200.00
2019-07-24 00:00:00,263.48,263.97,259.74,260.36,251.64,437500.00
2019-07-25 00:00:00,260.36,262.09,259.02,260.69,251.96,250600.00
2019-07-26 00:00:00,260.69,264.25,259.03,263.06,254.25,215700.00
2019-07-29 00:00:00,262.38,262.61,255.05,255.80,247.24,271800.00
