Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,46.15,46.52,45.37,46.13,46.13,758000.00
2019-06-17 00:00:00,46.28,48.32,46.27,47.77,47.77,1280300.00
2019-06-18 00:00:00,48.46,50.47,48.42,49.42,49.42,1560300.00
2019-06-19 00:00:00,49.55,49.98,48.89,49.70,49.70,802300.00
2019-06-20 00:00:00,50.59,50.65,49.28,49.59,49.59,990000.00
2019-06-21 00:00:00,48.85,49.55,47.93,49.37,49.37,1479200.00
2019-06-24 00:00:00,49.75,50.81,49.42,50.78,50.78,1103100.00
2019-06-25 00:00:00,50.85,51.09,47.75,48.30,48.30,1968700.00
2019-06-26 00:00:00,49.39,51.30,49.14,50.86,50.86,1364700.00
2019-06-27 00:00:00,51.00,52.78,50.56,52.43,52.43,2010300.00
2019-06-28 00:00:00,52.60,53.75,52.04,53.41,53.41,4234100.00
2019-07-01 00:00:00,57.83,58.23,53.85,54.47,54.47,3030900.00
2019-07-02 00:00:00,54.40,54.40,53.54,53.86,53.86,1137600.00
2019-07-03 00:00:00,53.76,53.99,51.98,53.83,53.83,970300.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,53.30,53.44,52.27,53.15,53.15,920300.00
2019-07-08 00:00:00,52.61,52.79,51.43,51.65,51.65,1263100.00
2019-07-09 00:00:00,52.50,52.68,49.83,52.60,52.60,3107300.00
2019-07-10 00:00:00,53.25,53.50,51.88,52.13,52.13,1699600.00
2019-07-11 00:00:00,52.18,53.37,51.98,53.02,53.02,896500.00
2019-07-12 00:00:00,53.26,54.46,53.06,53.85,53.85,1348800.00
2019-07-15 00:00:00,54.09,54.29,53.29,53.67,53.67,528400.00
2019-07-16 00:00:00,53.66,54.98,53.21,54.04,54.04,1290000.00
2019-07-17 00:00:00,54.25,55.96,54.14,54.84,54.84,1355600.00
2019-07-18 00:00:00,54.60,55.25,54.11,54.50,54.50,1166700.00
2019-07-19 00:00:00,54.61,54.82,53.73,53.75,53.75,1262700.00
2019-07-22 00:00:00,54.27,54.96,53.75,54.54,54.54,1585500.00
2019-07-23 00:00:00,56.10,57.75,56.00,57.32,57.32,2635800.00
2019-07-24 00:00:00,56.86,58.53,56.65,58.49,58.49,1264100.00
2019-07-25 00:00:00,58.49,59.20,57.62,58.54,58.54,1372800.00
2019-07-26 00:00:00,59.17,59.42,58.52,58.90,58.90,1275200.00
2019-07-29 00:00:00,58.82,59.00,57.79,58.65,58.65,915000.00
2019-07-30 00:00:00,57.97,59.03,57.29,58.77,58.77,1242700.00
2019-07-31 00:00:00,59.20,59.20,55.92,56.63,56.63,1762600.00
2019-08-01 00:00:00,56.96,58.36,55.21,55.88,55.88,1564500.00
2019-08-02 00:00:00,54.23,55.30,53.78,54.13,54.13,1248500.00
2019-08-05 00:00:00,52.42,52.64,50.92,51.56,51.56,1834600.00
2019-08-06 00:00:00,52.83,53.99,52.18,53.56,53.56,1453200.00
2019-08-07 00:00:00,52.55,55.06,52.35,54.96,54.96,1751800.00
2019-08-08 00:00:00,60.00,61.01,58.57,60.64,60.64,4726900.00
2019-08-09 00:00:00,58.40,61.68,58.30,59.71,59.71,2347900.00
2019-08-12 00:00:00,59.18,59.66,56.85,57.57,57.57,1519100.00
2019-08-13 00:00:00,57.22,60.22,56.36,59.47,59.47,1324000.00
2019-08-14 00:00:00,57.50,58.92,57.48,57.92,57.92,1124900.00
2019-08-15 00:00:00,58.29,58.29,56.58,57.12,57.12,853500.00
2019-08-16 00:00:00,57.92,59.15,57.41,58.61,58.61,890800.00
