Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,26.33,26.39,25.99,26.24,25.86,1096700.00
2019-06-17 00:00:00,26.26,26.71,26.06,26.17,25.79,1047800.00
2019-06-18 00:00:00,26.29,26.61,26.26,26.33,25.95,1518600.00
2019-06-19 00:00:00,26.39,26.60,26.21,26.52,26.14,2077000.00
2019-06-20 00:00:00,26.79,26.84,26.48,26.67,26.28,1910200.00
2019-06-21 00:00:00,26.65,27.16,26.51,26.64,26.25,3803700.00
2019-06-24 00:00:00,26.57,26.71,26.20,26.22,25.84,3076700.00
2019-06-25 00:00:00,26.19,26.42,26.13,26.27,25.89,4267600.00
2019-06-26 00:00:00,26.41,26.47,26.17,26.18,25.80,1692800.00
2019-06-27 00:00:00,26.22,26.51,26.00,26.26,25.88,3886400.00
2019-06-28 00:00:00,26.33,26.68,26.27,26.61,26.22,4293100.00
2019-07-01 00:00:00,26.95,27.16,26.70,27.05,26.66,2545900.00
2019-07-02 00:00:00,27.09,27.14,26.51,26.55,26.17,2508800.00
2019-07-03 00:00:00,26.65,26.86,26.45,26.69,26.30,1628500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,26.61,26.72,26.42,26.64,26.25,2712200.00
2019-07-08 00:00:00,26.50,26.64,26.13,26.13,25.75,2326600.00
2019-07-09 00:00:00,26.05,26.19,25.72,26.03,25.65,2860600.00
2019-07-10 00:00:00,26.21,26.31,26.09,26.16,25.78,1565300.00
2019-07-11 00:00:00,26.17,26.34,26.08,26.24,25.86,1502400.00
2019-07-12 00:00:00,26.39,26.87,26.31,26.82,26.43,1846800.00
2019-07-15 00:00:00,26.63,27.00,26.59,26.90,26.51,1817300.00
2019-07-16 00:00:00,26.84,27.28,26.71,26.99,26.60,2177300.00
2019-07-17 00:00:00,26.95,26.95,25.93,26.02,25.64,2323500.00
2019-07-18 00:00:00,26.00,26.20,25.57,25.68,25.31,4226600.00
2019-07-19 00:00:00,25.78,25.87,24.89,24.94,24.58,4451000.00
2019-07-22 00:00:00,24.89,25.17,24.56,25.03,24.67,5534400.00
2019-07-23 00:00:00,25.25,25.93,25.19,25.85,25.48,3408200.00
