Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,111.64,113.42,111.34,113.40,107.83,3032300.00
2019-06-18 00:00:00,113.65,114.83,113.22,114.65,109.02,2868700.00
2019-06-19 00:00:00,115.02,115.99,114.34,115.23,109.57,3320600.00
2019-06-20 00:00:00,116.35,117.07,115.26,115.56,109.88,2840100.00
2019-06-21 00:00:00,115.74,115.93,114.81,115.49,109.81,4024600.00
2019-06-24 00:00:00,115.08,116.15,114.71,115.63,109.95,2570500.00
2019-06-25 00:00:00,115.51,116.83,115.17,115.36,109.69,2110100.00
2019-06-26 00:00:00,114.81,114.95,110.62,111.34,105.87,4677500.00
2019-06-27 00:00:00,111.74,112.21,111.16,111.47,105.99,3615900.00
2019-06-28 00:00:00,111.80,111.83,110.02,110.79,105.35,8958700.00
2019-07-01 00:00:00,111.31,112.84,110.64,112.74,107.20,3236400.00
2019-07-02 00:00:00,112.82,114.21,112.40,114.20,108.59,2343400.00
2019-07-03 00:00:00,114.87,115.47,113.78,114.42,108.80,3707700.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,114.05,114.37,112.55,112.82,107.28,2444000.00
2019-07-08 00:00:00,112.47,112.79,110.91,111.52,106.04,2998700.00
2019-07-09 00:00:00,111.85,113.36,111.85,113.08,107.52,2717700.00
2019-07-10 00:00:00,113.27,114.65,112.67,114.53,108.90,3339100.00
2019-07-11 00:00:00,111.53,112.24,109.10,109.82,104.42,6589600.00
2019-07-12 00:00:00,109.47,109.47,105.15,108.29,102.97,7211100.00
2019-07-15 00:00:00,108.30,109.16,107.59,108.47,103.14,4405200.00
2019-07-16 00:00:00,109.00,109.19,107.97,108.82,103.47,2206500.00
2019-07-17 00:00:00,109.35,109.65,107.08,107.09,101.83,3507300.00
2019-07-18 00:00:00,107.83,108.48,107.24,108.34,103.02,3232900.00
2019-07-19 00:00:00,108.50,108.52,106.58,106.79,101.54,4820600.00
2019-07-22 00:00:00,106.92,107.36,105.87,107.27,102.00,2894400.00
2019-07-23 00:00:00,107.50,109.40,106.06,108.22,102.90,5098200.00
2019-07-24 00:00:00,108.35,109.66,107.16,108.52,103.19,3762700.00
2019-07-25 00:00:00,108.57,110.38,107.68,107.82,102.52,4596700.00
2019-07-26 00:00:00,107.92,109.23,107.54,108.27,102.95,3470700.00
2019-07-29 00:00:00,108.07,110.24,108.07,108.72,103.38,3192500.00
2019-07-30 00:00:00,108.30,110.02,107.00,108.69,103.35,4664200.00
2019-07-31 00:00:00,108.06,110.71,107.61,108.95,103.60,5535700.00
2019-08-01 00:00:00,109.02,110.74,108.31,110.51,105.08,3679000.00
