Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,45.95,46.78,45.95,46.63,39.70,231100.00
2019-06-18 00:00:00,46.85,47.17,46.19,46.35,39.46,199800.00
2019-06-19 00:00:00,46.00,47.05,45.82,47.00,40.18,254100.00
2019-06-20 00:00:00,46.93,47.48,46.81,47.32,40.45,235300.00
2019-06-21 00:00:00,46.96,46.96,46.26,46.49,39.74,410600.00
2019-06-24 00:00:00,46.77,46.90,46.11,46.32,39.59,305500.00
2019-06-25 00:00:00,46.41,46.78,45.75,45.76,39.12,185600.00
2019-06-26 00:00:00,45.74,45.76,44.37,44.41,37.96,241500.00
2019-06-27 00:00:00,44.57,45.02,44.35,44.91,38.39,446600.00
2019-06-28 00:00:00,44.96,45.68,44.91,45.66,39.03,1080500.00
2019-07-01 00:00:00,45.96,46.00,45.00,45.60,38.98,296800.00
2019-07-02 00:00:00,45.67,46.40,45.67,46.06,39.37,188500.00
2019-07-03 00:00:00,46.15,46.88,46.15,46.86,40.06,100500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,46.21,46.73,45.90,46.51,39.76,154700.00
2019-07-08 00:00:00,46.45,47.33,46.38,47.16,40.31,156200.00
2019-07-09 00:00:00,47.12,47.28,46.82,47.15,40.30,183500.00
2019-07-10 00:00:00,47.31,47.88,46.86,47.69,40.77,179200.00
2019-07-11 00:00:00,47.69,47.70,47.14,47.29,40.42,179000.00
2019-07-12 00:00:00,47.30,47.67,47.01,47.30,40.43,284700.00
2019-07-15 00:00:00,47.39,47.48,46.82,46.99,40.17,120500.00
2019-07-16 00:00:00,46.81,47.19,46.45,47.02,40.19,121400.00
2019-07-17 00:00:00,47.12,47.28,46.62,47.04,40.21,104200.00
2019-07-18 00:00:00,47.01,47.55,46.76,47.42,40.53,103500.00
2019-07-19 00:00:00,47.33,47.45,46.45,46.64,39.87,229200.00
2019-07-22 00:00:00,46.53,46.58,45.77,45.78,39.29,230300.00
2019-07-23 00:00:00,45.91,46.21,45.70,46.20,39.65,239600.00
2019-07-24 00:00:00,46.22,46.39,45.77,46.31,39.75,117600.00
2019-07-25 00:00:00,46.40,46.43,45.78,46.09,39.56,126400.00
2019-07-26 00:00:00,46.17,46.45,45.97,46.32,39.76,122200.00
2019-07-29 00:00:00,46.48,46.83,46.29,46.53,39.94,186000.00
2019-07-30 00:00:00,46.39,46.91,46.24,46.80,40.17,163700.00
2019-07-31 00:00:00,46.86,47.23,46.08,46.09,39.56,227500.00
2019-08-01 00:00:00,46.14,46.48,45.67,46.06,39.53,196700.00
