Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,63.78,64.18,63.43,63.99,63.99,593300.00
2019-06-17 00:00:00,64.29,65.66,64.02,65.09,65.09,825800.00
2019-06-18 00:00:00,65.61,66.77,65.34,66.31,66.31,2900200.00
2019-06-19 00:00:00,66.18,66.57,65.72,66.48,66.48,582900.00
2019-06-20 00:00:00,67.26,67.48,66.20,67.22,67.22,661100.00
2019-06-21 00:00:00,66.87,67.00,66.09,66.69,66.69,1548000.00
2019-06-24 00:00:00,66.71,66.83,66.07,66.58,66.58,1157300.00
2019-06-25 00:00:00,66.65,66.69,66.22,66.47,66.47,1322100.00
2019-06-26 00:00:00,66.76,66.76,65.56,66.05,66.05,755000.00
2019-06-27 00:00:00,66.27,67.27,65.99,66.93,66.93,1051600.00
2019-06-28 00:00:00,65.00,66.56,64.30,66.25,66.25,3156000.00
2019-07-01 00:00:00,67.20,67.28,65.75,67.16,67.16,1109100.00
2019-07-02 00:00:00,67.25,68.23,67.12,68.19,68.19,1195600.00
2019-07-03 00:00:00,68.50,69.60,68.25,69.40,69.40,610200.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,69.06,69.89,68.78,69.66,69.66,727900.00
2019-07-08 00:00:00,69.38,69.44,68.34,68.61,68.61,1241100.00
2019-07-09 00:00:00,68.33,69.21,68.23,69.08,69.08,979600.00
2019-07-10 00:00:00,69.50,70.16,69.28,69.34,69.34,663600.00
2019-07-11 00:00:00,69.74,70.27,69.24,69.88,69.88,776600.00
2019-07-12 00:00:00,69.85,70.81,69.70,70.50,70.50,554100.00
2019-07-15 00:00:00,70.56,70.85,69.97,70.83,70.83,966600.00
2019-07-16 00:00:00,70.80,71.08,70.25,70.55,70.55,754000.00
2019-07-17 00:00:00,70.54,70.71,69.54,70.33,70.33,910200.00
2019-07-18 00:00:00,70.02,70.81,69.64,70.59,70.59,976900.00
