Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,205.75,205.75,203.09,203.81,191.08,2694400.00
2019-06-18 00:00:00,205.00,205.40,203.92,204.51,191.74,2470900.00
2019-06-19 00:00:00,204.62,205.00,202.61,204.55,191.77,2328400.00
2019-06-20 00:00:00,205.00,205.39,204.10,205.12,192.31,2162200.00
2019-06-21 00:00:00,205.58,205.94,203.98,204.26,191.50,4267400.00
2019-06-24 00:00:00,204.75,205.25,203.63,203.92,191.18,2486800.00
2019-06-25 00:00:00,204.80,206.39,204.72,205.71,192.86,3020900.00
2019-06-26 00:00:00,205.49,205.67,204.01,204.55,191.77,2576000.00
2019-06-27 00:00:00,204.67,206.35,204.20,206.27,193.39,2253500.00
2019-06-28 00:00:00,206.90,207.99,206.32,207.66,194.69,3658200.00
2019-07-01 00:00:00,208.86,209.43,206.19,206.30,193.42,2689500.00
2019-07-02 00:00:00,206.75,209.58,206.32,209.58,196.49,3120000.00
2019-07-03 00:00:00,209.82,212.87,209.70,212.81,199.52,2306000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,212.30,213.01,210.25,211.24,198.05,1876200.00
2019-07-08 00:00:00,211.24,212.53,211.23,212.16,198.91,1818000.00
2019-07-09 00:00:00,211.99,212.69,211.47,212.09,198.84,1618800.00
2019-07-10 00:00:00,212.25,213.46,211.95,213.00,199.70,1842300.00
2019-07-11 00:00:00,214.47,214.80,211.61,212.69,199.41,1922800.00
2019-07-12 00:00:00,212.69,213.40,211.27,212.99,199.69,1960100.00
2019-07-15 00:00:00,213.63,214.70,212.69,214.21,200.83,2408500.00
2019-07-16 00:00:00,213.53,214.90,212.15,213.72,200.37,2380400.00
2019-07-17 00:00:00,213.98,214.90,213.36,213.71,200.36,1698400.00
2019-07-18 00:00:00,214.08,215.95,213.33,215.91,202.43,2259800.00
2019-07-19 00:00:00,215.58,216.26,213.80,213.87,200.51,2860500.00
2019-07-22 00:00:00,213.79,215.33,212.52,215.00,201.57,2580000.00
2019-07-23 00:00:00,215.74,216.25,212.64,214.31,200.93,2503600.00
2019-07-24 00:00:00,213.84,214.95,212.27,212.78,199.49,2971600.00
2019-07-25 00:00:00,212.36,214.60,212.31,214.44,201.05,3789000.00
2019-07-26 00:00:00,217.95,218.96,214.49,215.58,202.12,5029300.00
2019-07-29 00:00:00,216.00,217.42,214.30,214.98,201.55,4278600.00
2019-07-30 00:00:00,214.29,215.21,211.58,212.34,199.08,2808500.00
2019-07-31 00:00:00,212.08,212.71,209.37,210.72,197.56,4048800.00
2019-08-01 00:00:00,211.18,213.13,210.11,211.25,198.06,3231800.00
