Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,41.35,41.72,40.56,40.62,38.46,3902000.00
2019-06-18 00:00:00,41.20,42.87,40.92,42.50,40.24,6121800.00
2019-06-19 00:00:00,42.88,42.88,42.29,42.38,40.12,3662200.00
2019-06-20 00:00:00,43.50,43.58,42.62,42.79,40.52,3224400.00
2019-06-21 00:00:00,42.63,42.99,42.26,42.55,40.29,6570400.00
2019-06-24 00:00:00,42.56,42.79,42.34,42.56,40.30,3635800.00
2019-06-25 00:00:00,43.42,43.42,41.93,41.97,39.74,4430400.00
2019-06-26 00:00:00,42.88,43.77,42.53,43.58,41.27,4969200.00
2019-06-27 00:00:00,43.99,44.56,43.50,43.57,41.25,4601800.00
2019-06-28 00:00:00,44.00,44.33,43.31,43.35,41.05,12360200.00
2019-07-01 00:00:00,45.13,45.76,45.00,45.70,43.27,8118600.00
2019-07-02 00:00:00,45.70,45.74,44.65,44.87,42.49,4317200.00
2019-07-03 00:00:00,44.74,45.08,44.24,44.88,42.50,1867400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,44.31,44.76,43.91,44.62,42.24,2536400.00
2019-07-08 00:00:00,44.15,44.44,43.90,43.97,41.63,2715400.00
2019-07-09 00:00:00,43.58,44.65,43.56,44.61,42.24,3582600.00
2019-07-10 00:00:00,45.01,45.68,44.58,44.68,42.31,2760600.00
2019-07-11 00:00:00,44.62,45.03,44.15,44.87,42.48,3666800.00
2019-07-12 00:00:00,45.15,45.90,44.92,45.85,43.42,3164800.00
2019-07-15 00:00:00,46.05,46.42,45.81,46.30,43.84,3007000.00
2019-07-16 00:00:00,45.75,45.86,45.11,45.38,42.96,3217400.00
2019-07-17 00:00:00,45.40,45.67,45.01,45.38,42.97,2364600.00
2019-07-18 00:00:00,45.57,46.49,45.46,46.45,43.98,2874200.00
2019-07-19 00:00:00,46.88,46.94,46.12,46.15,43.70,3855800.00
2019-07-22 00:00:00,46.49,47.08,46.37,46.78,44.29,3053600.00
2019-07-23 00:00:00,47.10,47.79,46.85,47.78,45.25,3531400.00
2019-07-24 00:00:00,48.72,50.03,48.33,49.92,47.27,8132000.00
2019-07-25 00:00:00,49.33,49.51,48.54,49.03,46.42,3347400.00
2019-07-26 00:00:00,49.32,49.37,48.71,49.06,46.45,2339200.00
2019-07-29 00:00:00,49.19,49.35,48.71,49.19,46.58,3435200.00
2019-07-30 00:00:00,48.42,48.69,47.97,48.49,45.92,4210800.00
2019-07-31 00:00:00,48.40,48.40,46.44,47.21,44.70,5266000.00
2019-08-01 00:00:00,47.22,48.34,45.22,45.80,43.37,5248200.00
