Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,2.28,2.47,2.23,2.45,2.45,943600.00
2019-06-18 00:00:00,2.46,2.73,2.46,2.61,2.61,1353500.00
2019-06-19 00:00:00,2.65,2.72,2.34,2.64,2.64,619100.00
2019-06-20 00:00:00,2.67,2.75,2.47,2.67,2.67,475500.00
2019-06-21 00:00:00,2.69,2.75,2.50,2.67,2.67,703500.00
2019-06-24 00:00:00,2.71,3.06,2.63,3.00,3.00,978000.00
2019-06-25 00:00:00,2.96,3.13,2.64,2.79,2.79,1027600.00
2019-06-26 00:00:00,2.84,2.91,2.65,2.90,2.90,600800.00
2019-06-27 00:00:00,2.92,3.04,2.83,2.88,2.88,651600.00
2019-06-28 00:00:00,2.84,3.43,2.84,3.22,3.22,7010700.00
2019-07-01 00:00:00,3.21,3.40,2.88,2.95,2.95,844600.00
2019-07-02 00:00:00,2.95,3.18,2.95,3.11,3.11,568800.00
2019-07-03 00:00:00,3.11,3.12,2.90,3.05,3.05,168000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,3.03,3.18,3.00,3.10,3.10,280000.00
2019-07-08 00:00:00,3.10,3.10,2.92,2.97,2.97,372900.00
2019-07-09 00:00:00,2.93,3.08,2.89,3.08,3.08,627300.00
2019-07-10 00:00:00,3.09,3.10,2.94,3.08,3.08,287600.00
2019-07-11 00:00:00,3.06,3.09,2.94,2.99,2.99,222800.00
2019-07-12 00:00:00,2.98,3.05,2.77,2.89,2.89,466700.00
2019-07-15 00:00:00,2.90,2.93,2.75,2.79,2.79,202000.00
2019-07-16 00:00:00,2.80,3.07,2.74,3.03,3.03,891100.00
2019-07-17 00:00:00,3.00,3.11,2.81,3.11,3.11,951000.00
2019-07-18 00:00:00,3.13,3.18,2.96,3.14,3.14,322700.00
2019-07-19 00:00:00,3.13,3.14,3.01,3.10,3.10,224300.00
2019-07-22 00:00:00,3.09,3.12,2.93,3.01,3.01,432800.00
2019-07-23 00:00:00,3.06,3.07,2.91,2.97,2.97,231100.00
2019-07-24 00:00:00,2.97,3.03,2.88,3.00,3.00,220000.00
2019-07-25 00:00:00,2.99,2.99,2.78,2.79,2.79,281400.00
2019-07-26 00:00:00,2.80,2.88,2.75,2.85,2.85,258400.00
2019-07-29 00:00:00,2.86,2.87,2.61,2.71,2.71,304400.00
2019-07-30 00:00:00,2.70,2.77,2.63,2.69,2.69,237300.00
2019-07-31 00:00:00,2.69,2.79,2.63,2.73,2.73,284100.00
2019-08-01 00:00:00,2.75,2.82,2.57,2.78,2.78,288800.00
