Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,25.59,25.90,25.51,25.86,23.58,1327800.00
2019-06-17 00:00:00,25.92,25.92,25.70,25.75,23.48,811600.00
2019-06-18 00:00:00,25.92,25.93,25.66,25.77,23.50,738900.00
2019-06-19 00:00:00,25.74,26.07,25.70,25.97,23.68,636700.00
2019-06-20 00:00:00,26.10,26.22,25.84,26.19,23.88,1014900.00
2019-06-21 00:00:00,26.09,26.15,25.90,26.13,23.83,1188800.00
2019-06-24 00:00:00,26.18,26.18,25.79,25.79,23.52,685300.00
2019-06-25 00:00:00,25.77,25.86,25.52,25.64,23.38,975400.00
2019-06-26 00:00:00,25.74,25.74,25.33,25.35,23.12,1231200.00
2019-06-27 00:00:00,25.59,25.60,25.29,25.38,23.14,740700.00
2019-06-28 00:00:00,25.35,25.80,25.35,25.80,23.53,1572400.00
2019-07-01 00:00:00,25.80,25.94,25.25,25.59,23.34,1593100.00
2019-07-02 00:00:00,25.66,25.95,25.61,25.81,23.54,1122200.00
2019-07-03 00:00:00,25.95,26.26,25.88,26.23,23.92,810300.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,26.06,26.36,25.90,26.30,23.98,578500.00
2019-07-08 00:00:00,26.20,26.21,25.89,26.02,23.73,838700.00
2019-07-09 00:00:00,25.95,26.15,25.85,26.14,23.84,896000.00
2019-07-10 00:00:00,26.20,26.27,26.07,26.14,23.84,493600.00
2019-07-11 00:00:00,26.08,26.19,25.89,26.16,23.85,530600.00
2019-07-12 00:00:00,26.31,26.37,25.98,26.03,23.74,542300.00
2019-07-15 00:00:00,26.08,26.20,25.83,25.88,23.60,420100.00
2019-07-16 00:00:00,25.77,25.94,25.72,25.88,23.60,752600.00
2019-07-17 00:00:00,25.97,26.17,25.83,26.14,23.84,1246800.00
2019-07-18 00:00:00,26.18,26.56,25.96,26.52,24.18,967600.00
2019-07-19 00:00:00,26.46,26.64,26.21,26.21,23.90,775100.00
2019-07-22 00:00:00,26.27,26.36,26.10,26.21,23.90,535400.00
2019-07-23 00:00:00,26.22,26.35,25.98,26.03,23.74,968200.00
2019-07-24 00:00:00,26.12,26.20,25.84,26.06,23.76,721700.00
2019-07-25 00:00:00,26.02,26.15,25.83,25.84,23.56,673800.00
2019-07-26 00:00:00,25.81,26.01,25.80,25.90,23.62,624600.00
2019-07-29 00:00:00,25.92,26.10,25.87,26.03,23.74,711100.00
2019-07-30 00:00:00,25.92,26.25,25.91,26.17,23.86,832400.00
2019-07-31 00:00:00,26.90,27.10,26.48,26.74,24.38,1495400.00
2019-08-01 00:00:00,26.71,27.10,26.61,26.84,24.48,1206600.00
2019-08-02 00:00:00,26.86,27.15,26.72,26.95,24.58,746800.00
2019-08-05 00:00:00,26.91,27.00,26.18,26.30,23.98,1465500.00
2019-08-06 00:00:00,26.23,26.34,25.80,26.28,23.96,1380300.00
2019-08-07 00:00:00,26.19,26.59,25.88,26.48,24.15,954200.00
2019-08-08 00:00:00,26.34,27.02,26.34,26.93,24.56,1098300.00
2019-08-09 00:00:00,26.99,27.05,26.62,26.67,24.32,515800.00
2019-08-12 00:00:00,26.70,26.86,26.48,26.65,24.30,904100.00
2019-08-13 00:00:00,26.61,26.93,26.51,26.69,24.34,699500.00
2019-08-14 00:00:00,26.69,26.72,26.17,26.21,23.90,766000.00
2019-08-15 00:00:00,26.25,26.49,26.10,26.41,24.08,653100.00
2019-08-16 00:00:00,26.43,26.77,26.41,26.73,24.37,852800.00
2019-08-19 00:00:00,26.75,27.11,26.73,27.02,24.64,972600.00
2019-08-20 00:00:00,27.00,27.00,26.66,26.73,24.37,780200.00
2019-08-21 00:00:00,26.76,26.81,26.64,26.78,24.42,622000.00
2019-08-22 00:00:00,26.75,26.91,26.61,26.84,24.48,665300.00
2019-08-23 00:00:00,26.89,27.04,26.20,26.28,23.96,1191600.00
2019-08-26 00:00:00,26.37,26.55,26.27,26.53,24.19,485000.00
2019-08-27 00:00:00,26.66,26.69,26.36,26.36,24.04,562700.00
2019-08-28 00:00:00,26.44,26.54,26.31,26.50,24.17,773700.00
2019-08-29 00:00:00,26.66,26.92,26.54,26.81,24.45,776200.00
2019-08-30 00:00:00,26.92,26.95,26.75,26.89,24.52,505600.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,26.86,27.15,26.64,27.08,24.69,725800.00
2019-09-04 00:00:00,27.20,27.24,26.96,27.03,24.65,398300.00
2019-09-05 00:00:00,26.96,27.17,26.94,27.13,24.74,730400.00
2019-09-06 00:00:00,27.17,27.28,27.01,27.28,24.88,966800.00
2019-09-09 00:00:00,27.18,27.57,27.04,27.53,25.10,924300.00
2019-09-10 00:00:00,27.49,27.88,27.34,27.86,25.41,1637600.00
2019-09-11 00:00:00,27.66,28.19,27.57,28.13,25.84,904000.00
2019-09-12 00:00:00,28.10,28.24,27.92,27.98,25.70,769700.00
2019-09-13 00:00:00,27.88,28.21,27.85,28.11,25.82,958400.00
2019-09-16 00:00:00,28.20,28.39,28.00,28.21,25.91,822000.00
2019-09-17 00:00:00,28.31,28.34,27.80,27.97,25.69,962500.00
2019-09-18 00:00:00,28.05,28.25,27.88,28.14,25.85,896800.00
2019-09-19 00:00:00,28.29,28.37,28.03,28.08,25.79,682400.00
2019-09-20 00:00:00,28.12,28.12,27.88,28.06,25.78,2228300.00
2019-09-23 00:00:00,28.08,28.23,27.99,28.08,25.79,892400.00
2019-09-24 00:00:00,28.16,28.45,28.09,28.32,26.01,1180000.00
2019-09-25 00:00:00,28.31,28.46,28.14,28.31,26.01,1193600.00
2019-09-26 00:00:00,28.35,28.74,28.27,28.65,26.32,1137300.00
2019-09-27 00:00:00,28.75,28.82,28.23,28.36,26.05,740000.00
2019-09-30 00:00:00,28.36,28.44,28.17,28.19,25.89,881100.00
2019-10-01 00:00:00,28.09,28.27,27.87,28.07,25.78,1004700.00
2019-10-02 00:00:00,28.02,28.06,27.31,27.39,25.16,1286600.00
2019-10-03 00:00:00,27.33,27.74,27.19,27.67,25.42,2124700.00
2019-10-04 00:00:00,27.76,28.04,27.75,27.98,25.70,1272300.00
2019-10-07 00:00:00,27.91,27.96,27.66,27.76,25.50,991500.00
2019-10-08 00:00:00,27.69,27.72,27.35,27.35,25.12,897500.00
2019-10-09 00:00:00,27.42,27.68,27.23,27.62,25.37,946600.00
2019-10-10 00:00:00,27.65,27.85,27.55,27.72,25.46,689800.00
2019-10-11 00:00:00,27.80,28.12,27.63,27.95,25.67,1093500.00
2019-10-14 00:00:00,27.98,27.98,27.66,27.81,25.55,499000.00
2019-10-15 00:00:00,27.88,27.91,27.49,27.62,25.37,825900.00
2019-10-16 00:00:00,27.58,27.73,27.45,27.57,25.33,799800.00
2019-10-17 00:00:00,27.60,27.71,27.55,27.60,25.35,688600.00
2019-10-18 00:00:00,27.56,27.70,27.36,27.66,25.41,581700.00
2019-10-21 00:00:00,27.71,28.02,27.71,27.99,25.71,767400.00
2019-10-22 00:00:00,28.03,28.10,27.82,28.09,25.80,719600.00
2019-10-23 00:00:00,28.14,28.22,27.95,28.12,25.83,653000.00
2019-10-24 00:00:00,28.08,28.09,27.87,28.07,25.78,838300.00
2019-10-25 00:00:00,28.06,28.18,27.86,27.91,25.64,622800.00
2019-10-28 00:00:00,27.85,28.14,27.85,28.01,25.73,792800.00
2019-10-29 00:00:00,28.00,28.08,27.80,28.05,25.77,881300.00
2019-10-30 00:00:00,28.46,29.39,28.25,28.98,26.62,2328100.00
2019-10-31 00:00:00,29.08,29.13,28.46,28.89,26.54,2897600.00
2019-11-01 00:00:00,28.89,29.11,28.83,29.08,26.71,801800.00
2019-11-04 00:00:00,29.08,29.17,28.92,29.12,26.75,1152800.00
2019-11-05 00:00:00,29.05,29.41,29.04,29.25,26.87,1011700.00
2019-11-06 00:00:00,29.28,29.46,29.16,29.20,26.82,1707700.00
2019-11-07 00:00:00,29.16,29.21,28.66,28.74,26.40,912100.00
2019-11-08 00:00:00,28.72,28.96,28.62,28.75,26.41,664700.00
2019-11-11 00:00:00,28.74,28.86,28.66,28.77,26.43,678300.00
2019-11-12 00:00:00,28.83,28.94,28.70,28.92,26.57,808100.00
2019-11-13 00:00:00,28.96,29.20,28.88,29.09,26.72,852800.00
2019-11-14 00:00:00,29.15,29.22,28.96,28.99,26.63,828600.00
2019-11-15 00:00:00,28.99,29.10,28.80,29.01,26.65,1063800.00
2019-11-18 00:00:00,29.10,29.20,29.00,29.10,26.73,1026200.00
2019-11-19 00:00:00,29.12,29.30,28.95,29.22,26.84,1174000.00
2019-11-20 00:00:00,29.21,29.49,29.20,29.28,26.90,1323200.00
2019-11-21 00:00:00,29.29,29.29,28.89,28.96,26.60,774400.00
2019-11-22 00:00:00,29.04,29.11,28.88,29.06,26.69,621300.00
2019-11-25 00:00:00,29.15,29.22,28.93,28.99,26.63,505900.00
2019-11-26 00:00:00,29.01,29.06,28.87,28.98,26.62,884400.00
