Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,48.52,48.98,48.27,48.81,43.62,3258700.00
2019-06-17 00:00:00,48.87,48.95,48.16,48.34,43.20,3125000.00
2019-06-18 00:00:00,48.35,49.00,48.15,48.71,43.53,3607200.00
2019-06-19 00:00:00,49.04,49.49,48.52,48.75,43.56,4318300.00
2019-06-20 00:00:00,49.11,49.48,48.51,49.36,44.11,4062800.00
2019-06-21 00:00:00,49.37,49.54,48.88,48.91,43.71,5441100.00
2019-06-24 00:00:00,48.90,49.34,48.79,49.09,43.87,2930700.00
2019-06-25 00:00:00,49.01,49.03,48.46,48.73,43.54,4157400.00
2019-06-26 00:00:00,48.89,49.11,48.47,48.87,43.67,3559000.00
2019-06-27 00:00:00,48.97,49.37,48.86,49.15,43.92,3198700.00
2019-06-28 00:00:00,49.57,49.89,49.47,49.67,44.38,4575400.00
2019-07-01 00:00:00,50.04,50.59,49.97,50.49,45.12,5062900.00
2019-07-02 00:00:00,50.40,50.49,49.66,50.00,44.68,4091600.00
2019-07-03 00:00:00,50.12,50.75,50.02,50.47,45.10,2237100.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,50.66,50.94,50.39,50.70,45.30,2282200.00
2019-07-08 00:00:00,50.42,50.71,50.24,50.54,45.16,2423500.00
2019-07-09 00:00:00,50.18,50.55,50.07,50.38,45.02,3395400.00
2019-07-10 00:00:00,50.55,50.78,50.16,50.32,44.97,3472800.00
2019-07-11 00:00:00,50.47,50.51,49.90,50.42,45.05,4058600.00
2019-07-12 00:00:00,50.52,50.93,50.42,50.92,45.50,3760000.00
2019-07-15 00:00:00,50.90,50.94,50.40,50.78,45.38,3285100.00
2019-07-16 00:00:00,50.45,50.67,50.07,50.50,45.13,3886100.00
2019-07-17 00:00:00,50.42,50.50,49.76,49.96,44.64,3922500.00
2019-07-18 00:00:00,50.04,50.22,49.85,50.00,44.68,4233100.00
2019-07-19 00:00:00,50.20,50.43,49.71,49.72,44.43,4382100.00
2019-07-22 00:00:00,49.66,49.85,49.28,49.76,44.46,3917400.00
2019-07-23 00:00:00,49.90,50.32,49.85,50.14,44.80,3336100.00
2019-07-24 00:00:00,49.96,50.44,49.86,50.37,45.01,2916800.00
2019-07-25 00:00:00,50.37,50.40,49.96,50.14,44.80,3578800.00
2019-07-26 00:00:00,50.16,50.78,49.78,50.69,45.30,3899800.00
2019-07-29 00:00:00,50.30,50.58,49.90,50.00,44.68,3815300.00
2019-07-30 00:00:00,49.83,50.01,49.43,50.01,44.69,2920500.00
2019-07-31 00:00:00,49.90,50.11,49.08,49.42,44.16,6597200.00
2019-08-01 00:00:00,49.85,51.16,47.91,48.33,43.19,10900200.00
2019-08-02 00:00:00,48.28,48.30,47.03,47.29,42.26,9084500.00
2019-08-05 00:00:00,46.05,46.42,45.07,45.57,41.10,8857500.00
2019-08-06 00:00:00,45.80,46.99,45.73,46.85,42.26,7893300.00
2019-08-07 00:00:00,45.86,46.54,45.13,46.33,41.79,6165200.00
2019-08-08 00:00:00,46.95,47.53,46.74,47.17,42.55,6431200.00
2019-08-09 00:00:00,47.02,47.25,46.56,46.91,42.31,5330600.00
2019-08-12 00:00:00,46.29,46.91,45.76,45.89,41.39,9874900.00
2019-08-13 00:00:00,45.98,47.24,45.53,46.93,42.33,6273100.00
2019-08-14 00:00:00,45.65,45.98,44.83,44.87,40.47,9638300.00
2019-08-15 00:00:00,45.00,45.29,44.49,44.73,40.35,7453700.00
2019-08-16 00:00:00,45.09,45.65,45.04,45.35,40.90,7151400.00
2019-08-19 00:00:00,46.23,46.38,45.58,45.77,41.28,6315700.00
2019-08-20 00:00:00,45.44,45.96,45.27,45.37,40.92,5538100.00
2019-08-21 00:00:00,45.84,45.95,45.58,45.76,41.27,4838200.00
2019-08-22 00:00:00,46.05,46.52,45.82,46.21,41.68,4840100.00
2019-08-23 00:00:00,45.75,46.21,44.30,44.59,40.22,8939300.00
2019-08-26 00:00:00,45.06,45.19,44.54,44.84,40.44,7061100.00
2019-08-27 00:00:00,45.12,45.24,43.78,43.86,39.56,7059400.00
2019-08-28 00:00:00,43.47,43.74,43.34,43.71,39.43,7347500.00
2019-08-29 00:00:00,44.31,44.41,44.09,44.13,39.80,4830300.00
2019-08-30 00:00:00,44.54,44.69,44.16,44.30,39.96,4224600.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,43.86,44.00,43.37,43.93,39.62,5093100.00
2019-09-04 00:00:00,44.44,44.68,44.24,44.49,40.13,4998200.00
2019-09-05 00:00:00,45.29,46.30,45.25,45.95,41.45,6215500.00
2019-09-06 00:00:00,46.01,46.54,45.81,46.23,41.70,4137500.00
2019-09-09 00:00:00,46.64,46.64,45.69,46.40,41.85,9950200.00
2019-09-10 00:00:00,46.69,47.42,46.39,47.42,42.77,8077200.00
2019-09-11 00:00:00,47.50,47.99,46.71,47.97,43.27,6424400.00
2019-09-12 00:00:00,47.46,48.13,46.77,47.87,43.18,6016300.00
2019-09-13 00:00:00,48.40,48.87,48.06,48.37,43.63,7463900.00
2019-09-16 00:00:00,47.92,47.98,47.22,47.55,42.89,7593800.00
2019-09-17 00:00:00,47.07,47.49,46.92,47.43,42.78,6923600.00
2019-09-18 00:00:00,47.19,47.97,46.99,47.85,43.16,6448000.00
2019-09-19 00:00:00,47.77,48.42,47.62,47.86,43.17,4401000.00
2019-09-20 00:00:00,48.02,48.02,47.23,47.44,42.79,31827300.00
2019-09-23 00:00:00,46.92,47.92,46.91,47.73,43.05,6750300.00
2019-09-24 00:00:00,47.87,47.95,47.06,47.33,42.69,8363800.00
2019-09-25 00:00:00,47.33,47.71,47.21,47.37,42.73,4161200.00
2019-09-26 00:00:00,47.37,47.42,46.80,47.08,42.47,5277300.00
2019-09-27 00:00:00,47.58,47.67,47.12,47.36,42.72,4255000.00
2019-09-30 00:00:00,47.54,47.62,46.96,47.16,42.54,4077100.00
2019-10-01 00:00:00,47.57,47.66,46.02,46.03,41.52,3960000.00
2019-10-02 00:00:00,45.53,45.70,44.31,44.39,40.04,7988200.00
2019-10-03 00:00:00,44.23,44.60,43.67,44.56,40.19,6651900.00
2019-10-04 00:00:00,44.58,45.49,44.41,45.41,40.96,4209200.00
2019-10-07 00:00:00,45.41,45.41,44.94,44.95,40.54,3365700.00
2019-10-08 00:00:00,44.34,44.38,43.82,43.83,39.53,5439100.00
2019-10-09 00:00:00,44.19,44.61,44.07,44.37,40.02,4273500.00
2019-10-10 00:00:00,44.77,45.37,44.54,44.96,40.55,3858200.00
2019-10-11 00:00:00,45.92,46.61,45.73,45.84,41.35,5231900.00
2019-10-14 00:00:00,45.43,45.85,45.37,45.75,41.27,2102100.00
2019-10-15 00:00:00,45.97,46.59,45.83,46.19,41.66,3088800.00
2019-10-16 00:00:00,46.11,46.63,45.89,45.96,41.45,4326500.00
2019-10-17 00:00:00,46.32,46.46,45.73,45.90,41.40,4172200.00
2019-10-18 00:00:00,45.98,46.25,45.90,46.10,41.58,5058100.00
2019-10-21 00:00:00,46.55,46.76,46.40,46.54,41.98,4353700.00
2019-10-22 00:00:00,46.45,46.66,46.11,46.51,41.95,3450000.00
2019-10-23 00:00:00,46.44,46.61,46.23,46.55,41.99,3068000.00
2019-10-24 00:00:00,46.61,46.93,45.93,46.28,41.74,3025900.00
2019-10-25 00:00:00,46.02,46.51,46.02,46.32,41.78,2163200.00
2019-10-28 00:00:00,46.54,47.14,46.54,46.81,42.22,4108600.00
2019-10-29 00:00:00,46.62,47.05,46.44,46.68,42.10,3743100.00
2019-10-30 00:00:00,46.63,46.71,45.83,46.29,41.75,5272800.00
2019-10-31 00:00:00,45.99,46.95,45.33,46.79,42.20,7023100.00
2019-11-01 00:00:00,47.01,47.44,46.77,47.26,42.63,5733600.00
2019-11-04 00:00:00,47.21,47.71,47.18,47.59,43.33,6564300.00
2019-11-05 00:00:00,47.75,48.57,47.59,48.38,44.05,6157800.00
2019-11-06 00:00:00,48.36,48.72,48.04,48.60,44.25,5150300.00
2019-11-07 00:00:00,49.07,49.61,48.93,49.04,44.65,5999900.00
2019-11-08 00:00:00,49.10,49.34,48.49,49.32,44.90,6446200.00
2019-11-11 00:00:00,48.82,49.48,48.81,49.22,44.81,4322700.00
2019-11-12 00:00:00,49.31,49.87,49.18,49.58,45.14,4672500.00
2019-11-13 00:00:00,49.12,49.41,48.93,49.26,44.85,3984800.00
2019-11-14 00:00:00,49.15,49.47,48.96,49.30,44.89,3034800.00
2019-11-15 00:00:00,49.61,49.73,49.17,49.27,44.86,3298100.00
2019-11-18 00:00:00,49.07,49.19,48.77,49.12,44.72,3679000.00
2019-11-19 00:00:00,49.27,49.54,49.11,49.15,44.75,4000600.00
2019-11-20 00:00:00,48.94,49.01,48.34,48.94,44.56,4234700.00
2019-11-21 00:00:00,49.13,49.13,48.60,48.97,44.59,3585600.00
2019-11-22 00:00:00,49.06,49.67,48.93,49.60,45.16,5399600.00
2019-11-25 00:00:00,49.75,50.05,49.61,49.95,45.48,5059500.00
2019-11-26 00:00:00,49.81,49.93,49.44,49.77,45.31,4096900.00
2019-11-27 00:00:00,50.05,50.14,49.66,49.91,45.44,3919400.00
2019-11-28 00:00:00,,,,,,
2019-11-29 00:00:00,49.74,49.99,49.62,49.91,45.44,1681200.00
2019-12-02 00:00:00,50.17,50.24,49.32,49.35,44.93,3524600.00
2019-12-03 00:00:00,48.80,48.86,47.99,48.35,44.02,6139500.00
2019-12-04 00:00:00,48.59,49.24,48.48,48.66,44.30,6124200.00
2019-12-05 00:00:00,48.93,49.09,48.61,48.93,44.55,3626600.00
2019-12-06 00:00:00,49.55,49.78,49.25,49.50,45.07,4009500.00
2019-12-09 00:00:00,49.23,49.68,49.21,49.57,45.13,3546400.00
