Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,46.02,46.18,45.32,46.01,42.45,926600.00
2019-06-17 00:00:00,45.97,46.68,45.53,46.30,42.72,1011900.00
2019-06-18 00:00:00,46.79,47.57,46.71,47.00,43.36,807100.00
2019-06-19 00:00:00,47.27,47.79,46.86,47.61,43.92,1038500.00
2019-06-20 00:00:00,48.54,49.11,48.11,48.84,45.06,1107000.00
2019-06-21 00:00:00,48.71,49.21,48.50,48.77,44.99,874300.00
2019-06-24 00:00:00,48.75,49.18,48.40,48.84,45.06,751000.00
2019-06-25 00:00:00,48.78,48.95,48.45,48.65,44.88,661800.00
2019-06-26 00:00:00,48.73,49.67,48.73,48.97,45.18,606300.00
2019-06-27 00:00:00,48.95,49.76,48.91,49.51,45.68,732900.00
2019-06-28 00:00:00,49.59,50.05,49.50,49.70,45.85,637100.00
2019-07-01 00:00:00,50.61,50.65,48.10,48.63,44.87,942800.00
2019-07-02 00:00:00,48.92,49.29,48.05,48.35,44.61,938100.00
2019-07-03 00:00:00,48.55,49.15,48.16,48.17,44.44,367300.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,47.81,48.41,47.69,48.21,44.48,864500.00
2019-07-08 00:00:00,48.18,48.50,47.30,47.46,43.79,999800.00
2019-07-09 00:00:00,47.05,47.07,46.27,46.73,43.11,1204700.00
2019-07-10 00:00:00,47.15,47.33,46.55,46.77,43.15,811300.00
2019-07-11 00:00:00,46.81,46.96,46.32,46.69,43.08,627400.00
2019-07-12 00:00:00,46.88,48.29,46.85,47.70,44.01,786800.00
2019-07-15 00:00:00,47.78,48.11,47.27,48.04,44.32,699000.00
2019-07-16 00:00:00,47.25,48.78,47.00,48.34,44.60,1823100.00
2019-07-17 00:00:00,48.07,48.38,47.44,47.83,44.13,824600.00
2019-07-18 00:00:00,47.57,47.95,47.49,47.59,43.91,620900.00
2019-07-19 00:00:00,47.80,48.57,47.80,48.19,44.46,1152900.00
2019-07-22 00:00:00,48.42,49.10,47.98,48.06,44.34,1019300.00
2019-07-23 00:00:00,49.10,50.00,48.99,49.69,45.84,971400.00
2019-07-24 00:00:00,49.54,50.82,49.54,50.48,46.57,956300.00
2019-07-25 00:00:00,50.04,50.28,49.14,49.86,46.00,883700.00
2019-07-26 00:00:00,49.78,50.31,49.25,50.19,46.30,520900.00
2019-07-29 00:00:00,50.13,50.59,49.94,50.54,46.63,699800.00
2019-07-30 00:00:00,50.08,50.54,49.79,50.52,46.61,827500.00
2019-07-31 00:00:00,50.71,50.92,49.80,50.42,46.52,1058800.00
2019-08-01 00:00:00,50.39,50.42,48.44,48.55,44.79,1004000.00
2019-08-02 00:00:00,48.13,48.78,47.49,48.42,44.67,1025500.00
2019-08-05 00:00:00,47.54,47.62,46.84,47.16,43.51,1120800.00
2019-08-06 00:00:00,47.38,48.22,46.75,47.42,43.75,2147200.00
2019-08-07 00:00:00,46.83,48.61,46.70,48.40,44.65,1491500.00
2019-08-08 00:00:00,47.19,50.79,47.05,50.06,46.18,1645100.00
2019-08-09 00:00:00,49.99,50.36,49.61,49.77,45.92,1080600.00
2019-08-12 00:00:00,49.54,49.85,49.27,49.63,45.79,1024500.00
2019-08-13 00:00:00,49.32,50.55,49.16,49.89,46.03,1856700.00
2019-08-14 00:00:00,48.89,48.89,47.26,47.36,43.69,1219800.00
2019-08-15 00:00:00,47.51,47.87,46.56,46.78,43.16,1112700.00
2019-08-16 00:00:00,47.36,47.77,46.79,47.64,43.95,1015300.00
2019-08-19 00:00:00,48.28,48.56,48.10,48.26,44.52,627100.00
2019-08-20 00:00:00,48.11,48.17,47.32,47.82,44.12,658300.00
2019-08-21 00:00:00,48.46,49.00,48.38,48.72,44.95,690800.00
2019-08-22 00:00:00,48.67,49.04,48.35,48.49,45.07,483500.00
2019-08-23 00:00:00,47.88,48.52,46.83,46.98,43.67,710200.00
2019-08-26 00:00:00,47.52,48.11,47.33,48.06,44.67,923700.00
2019-08-27 00:00:00,48.62,48.96,48.26,48.38,44.97,989500.00
2019-08-28 00:00:00,48.19,49.24,48.08,48.94,45.49,498700.00
2019-08-29 00:00:00,49.33,50.10,49.29,49.74,46.24,555900.00
2019-08-30 00:00:00,50.13,50.39,49.86,50.11,46.58,701400.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,49.55,49.78,48.80,49.29,45.82,1074900.00
2019-09-04 00:00:00,50.11,50.58,49.99,50.48,46.92,1185200.00
2019-09-05 00:00:00,51.00,52.02,50.93,51.91,48.25,1127500.00
2019-09-06 00:00:00,52.06,52.12,51.58,51.80,48.15,719100.00
2019-09-09 00:00:00,52.16,52.99,51.87,52.77,49.05,1279800.00
2019-09-10 00:00:00,52.32,53.53,52.32,53.53,49.76,1101000.00
2019-09-11 00:00:00,53.43,53.70,52.57,53.61,49.83,1042500.00
2019-09-12 00:00:00,53.46,54.28,52.99,54.06,50.25,985000.00
2019-09-13 00:00:00,54.17,54.65,53.91,53.92,50.12,633700.00
2019-09-16 00:00:00,52.85,54.08,52.70,53.83,50.04,1132500.00
2019-09-17 00:00:00,53.51,53.97,52.89,53.86,50.07,671700.00
2019-09-18 00:00:00,53.80,54.10,53.09,53.41,49.65,656000.00
2019-09-19 00:00:00,53.52,53.92,53.34,53.35,49.59,834200.00
2019-09-20 00:00:00,53.45,53.70,52.73,52.80,49.08,619800.00
2019-09-23 00:00:00,52.07,53.56,51.99,53.02,49.28,500800.00
2019-09-24 00:00:00,53.02,53.66,52.22,52.36,48.67,758800.00
2019-09-25 00:00:00,52.35,52.78,51.74,52.68,48.97,665800.00
2019-09-26 00:00:00,52.81,52.81,51.97,52.23,48.55,537200.00
2019-09-27 00:00:00,52.31,52.70,52.01,52.30,48.62,527500.00
