Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,27.68,27.76,27.34,27.66,27.20,4176700.00
2019-06-17 00:00:00,27.67,27.87,27.36,27.55,27.09,3504600.00
2019-06-18 00:00:00,27.83,28.58,27.73,28.22,27.75,5430000.00
2019-06-19 00:00:00,28.18,28.29,27.62,27.74,27.28,5238900.00
2019-06-20 00:00:00,28.18,28.50,27.67,28.01,27.54,5370700.00
2019-06-21 00:00:00,27.93,28.13,27.69,27.70,27.24,5091900.00
2019-06-24 00:00:00,27.72,28.58,27.69,27.92,27.45,6603700.00
2019-06-25 00:00:00,27.91,28.04,27.30,27.62,27.16,5038200.00
2019-06-26 00:00:00,27.78,28.13,27.78,27.87,27.40,5078100.00
2019-06-27 00:00:00,28.00,28.51,27.88,28.44,27.96,4087800.00
2019-06-28 00:00:00,28.32,28.58,28.12,28.57,28.09,5642500.00
2019-07-01 00:00:00,29.17,29.30,28.53,28.69,28.21,7282500.00
2019-07-02 00:00:00,28.71,28.99,28.67,28.88,28.40,4185100.00
2019-07-03 00:00:00,28.94,29.19,28.80,28.89,28.41,2692500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,28.73,29.26,28.70,29.23,28.74,4730500.00
2019-07-08 00:00:00,29.03,29.17,28.84,28.90,28.42,4444300.00
2019-07-09 00:00:00,28.72,29.25,28.70,29.23,28.74,4614200.00
2019-07-10 00:00:00,29.30,29.46,28.95,29.13,28.64,5155500.00
2019-07-11 00:00:00,29.10,29.33,28.74,28.79,28.31,4784300.00
2019-07-12 00:00:00,28.80,29.06,28.68,29.02,28.54,4653400.00
2019-07-15 00:00:00,29.02,29.50,29.02,29.38,28.89,3819100.00
2019-07-16 00:00:00,29.43,29.69,29.31,29.41,28.92,3400700.00
2019-07-17 00:00:00,29.34,29.34,28.68,28.86,28.38,4406600.00
2019-07-18 00:00:00,28.24,28.93,28.12,28.76,28.28,6276100.00
2019-07-19 00:00:00,28.96,29.08,28.57,28.59,28.11,3677900.00
2019-07-22 00:00:00,28.59,28.69,28.27,28.35,27.88,5922200.00
2019-07-23 00:00:00,28.57,29.32,28.47,29.20,28.71,6455600.00
2019-07-24 00:00:00,28.91,29.75,28.89,29.71,29.21,6505300.00
2019-07-25 00:00:00,29.37,29.69,29.13,29.37,28.88,5650900.00
2019-07-26 00:00:00,30.35,31.68,30.21,30.47,29.96,12595700.00
2019-07-29 00:00:00,30.53,30.60,29.95,30.47,29.96,5115600.00
2019-07-30 00:00:00,30.22,30.63,30.05,30.55,30.04,5422000.00
2019-07-31 00:00:00,30.43,30.48,29.64,30.02,29.52,4039100.00
2019-08-01 00:00:00,30.00,30.45,29.04,29.40,28.91,6295000.00
2019-08-02 00:00:00,28.79,29.30,28.41,28.65,28.17,5388200.00
2019-08-05 00:00:00,27.90,28.11,27.66,27.94,27.47,7889900.00
2019-08-06 00:00:00,28.19,28.51,27.94,28.23,27.76,5053900.00
2019-08-07 00:00:00,27.71,28.32,27.60,28.27,27.80,5318600.00
2019-08-08 00:00:00,28.50,28.92,28.38,28.90,28.42,4786800.00
2019-08-09 00:00:00,28.68,29.00,28.47,28.85,28.37,3289600.00
2019-08-12 00:00:00,28.45,28.67,28.29,28.43,27.96,3484800.00
2019-08-13 00:00:00,28.46,29.63,28.42,28.86,28.38,4541000.00
2019-08-14 00:00:00,28.33,28.44,27.59,27.74,27.28,6626700.00
2019-08-15 00:00:00,28.02,28.14,27.71,27.93,27.46,3942400.00
2019-08-16 00:00:00,28.17,28.40,28.10,28.31,27.84,4222100.00
2019-08-19 00:00:00,29.15,29.17,28.68,28.77,28.29,5527900.00
2019-08-20 00:00:00,28.62,28.93,28.44,28.81,28.33,2320100.00
2019-08-21 00:00:00,29.20,29.25,28.48,28.51,28.03,2702500.00
2019-08-22 00:00:00,28.80,29.02,28.29,28.51,28.03,3774100.00
2019-08-23 00:00:00,28.50,28.64,27.62,27.78,27.32,4913400.00
2019-08-26 00:00:00,28.09,28.18,27.77,28.04,27.57,3111300.00
2019-08-27 00:00:00,28.45,28.51,27.83,27.89,27.42,3112000.00
2019-08-28 00:00:00,27.73,28.27,27.62,28.14,27.67,3048600.00
2019-08-29 00:00:00,28.43,28.64,28.12,28.15,27.68,3841300.00
2019-08-30 00:00:00,28.34,28.48,28.00,28.06,27.59,4770900.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,27.70,27.75,26.79,27.09,26.64,7849800.00
2019-09-04 00:00:00,27.48,27.79,27.10,27.48,27.02,10889100.00
2019-09-05 00:00:00,27.77,28.36,27.64,27.98,27.51,9052900.00
2019-09-06 00:00:00,28.03,28.56,28.02,28.30,27.83,5756100.00
2019-09-09 00:00:00,28.46,28.82,28.37,28.40,28.05,6097800.00
2019-09-10 00:00:00,28.29,28.82,28.03,28.80,28.45,9692500.00
2019-09-11 00:00:00,29.12,29.21,28.57,28.75,28.40,5380700.00
2019-09-12 00:00:00,28.93,29.26,28.75,29.17,28.82,8420700.00
2019-09-13 00:00:00,29.32,29.53,29.03,29.07,28.72,4672800.00
2019-09-16 00:00:00,28.85,30.50,28.63,29.69,29.33,13569500.00
2019-09-17 00:00:00,29.54,29.74,29.25,29.60,29.24,5830500.00
2019-09-18 00:00:00,29.55,29.70,29.25,29.51,29.15,5854600.00
