Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,22.70,22.81,22.36,22.36,21.70,4258700.00
2019-06-17 00:00:00,22.97,23.49,22.71,23.28,22.59,7113300.00
2019-06-18 00:00:00,23.41,24.22,23.35,24.06,23.35,11039100.00
2019-06-19 00:00:00,24.10,24.24,23.41,23.47,22.77,5442600.00
2019-06-20 00:00:00,23.89,23.92,23.35,23.63,22.93,3100400.00
2019-06-21 00:00:00,23.68,23.77,23.40,23.42,22.73,5626700.00
2019-06-24 00:00:00,23.43,23.64,23.23,23.43,22.74,2913900.00
2019-06-25 00:00:00,24.04,24.26,23.55,24.16,23.44,8235800.00
2019-06-26 00:00:00,24.20,24.49,23.81,24.14,23.42,7814000.00
2019-06-27 00:00:00,24.31,24.82,24.18,24.39,23.67,6800200.00
2019-06-28 00:00:00,24.52,25.06,24.50,25.03,24.29,8098800.00
2019-07-01 00:00:00,25.41,25.49,25.05,25.27,24.52,9980100.00
2019-07-02 00:00:00,25.11,25.13,24.51,24.65,23.92,6404400.00
2019-07-03 00:00:00,24.61,24.78,24.38,24.76,24.03,1897400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,24.61,24.87,24.42,24.80,24.06,2737900.00
2019-07-08 00:00:00,24.68,24.74,24.00,24.05,23.34,4742700.00
2019-07-09 00:00:00,23.53,23.71,23.08,23.33,22.64,6177100.00
2019-07-10 00:00:00,23.44,23.56,23.00,23.08,22.40,3058900.00
2019-07-11 00:00:00,23.02,23.09,22.39,22.49,21.82,4930300.00
2019-07-12 00:00:00,22.57,23.07,22.51,23.00,22.32,3963100.00
2019-07-15 00:00:00,23.00,23.38,22.83,23.37,22.68,3499500.00
2019-07-16 00:00:00,23.41,24.07,23.22,23.71,23.01,5458300.00
2019-07-17 00:00:00,23.62,24.05,23.35,23.86,23.15,6008600.00
2019-07-18 00:00:00,23.67,23.88,23.42,23.83,23.12,2557700.00
2019-07-19 00:00:00,23.83,24.37,23.79,24.22,23.50,2816700.00
2019-07-22 00:00:00,24.41,24.45,24.03,24.25,23.53,1933500.00
2019-07-23 00:00:00,24.45,25.02,24.39,24.79,24.05,3344600.00
2019-07-24 00:00:00,24.72,25.04,24.36,24.83,24.09,3205400.00
2019-07-25 00:00:00,24.74,24.74,24.17,24.25,23.53,2459300.00
2019-07-26 00:00:00,24.25,24.40,24.03,24.31,23.59,2547200.00
2019-07-29 00:00:00,24.19,24.25,23.83,23.84,23.13,2264600.00
2019-07-30 00:00:00,23.60,25.26,23.48,25.25,24.50,5194900.00
2019-07-31 00:00:00,25.56,25.71,24.89,25.19,24.44,5213400.00
2019-08-01 00:00:00,25.09,25.56,24.77,25.08,24.34,7452200.00
2019-08-02 00:00:00,24.86,24.89,24.15,24.39,23.67,3494700.00
2019-08-05 00:00:00,23.94,24.03,23.17,23.60,22.90,5054900.00
2019-08-06 00:00:00,24.53,24.54,20.05,22.02,21.37,22442100.00
2019-08-07 00:00:00,21.85,22.80,21.72,22.72,22.05,10329200.00
2019-08-08 00:00:00,22.79,23.21,22.41,23.07,22.39,7636000.00
2019-08-09 00:00:00,22.71,22.80,22.26,22.60,21.93,4796100.00
2019-08-12 00:00:00,22.40,22.45,20.75,20.76,20.14,5468100.00
2019-08-13 00:00:00,20.70,21.46,20.33,20.61,20.00,7321300.00
2019-08-14 00:00:00,20.26,20.30,19.58,19.64,19.06,6030600.00
2019-08-15 00:00:00,19.77,19.81,19.19,19.29,18.72,4654300.00
2019-08-16 00:00:00,19.41,19.86,19.12,19.74,19.15,3418000.00
2019-08-19 00:00:00,19.95,20.13,19.81,19.98,19.39,2585200.00
2019-08-20 00:00:00,19.86,19.94,19.29,19.37,18.80,3882200.00
2019-08-21 00:00:00,19.56,19.59,19.05,19.07,18.50,3748300.00
2019-08-22 00:00:00,19.12,19.49,18.99,19.07,18.50,4175100.00
2019-08-23 00:00:00,19.15,19.15,17.95,18.01,17.48,7547900.00
2019-08-26 00:00:00,18.19,18.24,17.77,17.96,17.43,9935600.00
2019-08-27 00:00:00,18.00,18.15,17.65,17.66,17.14,4635300.00
2019-08-28 00:00:00,17.67,18.06,17.36,17.86,17.33,5239400.00
2019-08-29 00:00:00,18.14,18.83,18.14,18.37,17.83,4350300.00
2019-08-30 00:00:00,18.46,18.63,18.25,18.39,17.84,4491600.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,18.10,18.12,17.72,17.92,17.39,4012500.00
2019-09-04 00:00:00,18.14,18.33,17.90,18.16,17.67,2863200.00
2019-09-05 00:00:00,18.46,19.57,18.45,19.38,18.86,4914600.00
2019-09-06 00:00:00,19.38,19.64,19.17,19.54,19.01,3869600.00
2019-09-09 00:00:00,19.63,20.28,19.52,20.18,19.64,4864400.00
2019-09-10 00:00:00,20.44,21.51,20.40,21.38,20.80,7733200.00
2019-09-11 00:00:00,21.26,22.03,20.62,21.99,21.40,7976200.00
2019-09-12 00:00:00,22.07,22.33,21.52,21.98,21.39,5719200.00
2019-09-13 00:00:00,22.13,23.16,21.89,22.65,22.04,5689400.00
2019-09-16 00:00:00,22.68,23.18,22.53,22.97,22.35,4481200.00
2019-09-17 00:00:00,22.59,22.81,21.78,21.81,21.22,6825900.00
2019-09-18 00:00:00,21.72,21.85,21.32,21.57,20.99,6366900.00
2019-09-19 00:00:00,21.58,21.71,20.92,20.99,20.42,6100100.00
2019-09-20 00:00:00,20.92,21.24,20.61,20.69,20.13,6185700.00
2019-09-23 00:00:00,20.44,20.95,20.25,20.89,20.33,4782200.00
2019-09-24 00:00:00,20.82,20.90,19.92,20.05,19.51,6331400.00
2019-09-25 00:00:00,20.14,20.62,20.03,20.55,20.00,3923500.00
2019-09-26 00:00:00,20.48,20.54,19.79,19.95,19.41,2931100.00
2019-09-27 00:00:00,20.01,20.38,19.91,20.26,19.71,3160500.00
2019-09-30 00:00:00,20.23,20.62,19.95,20.50,19.95,3342800.00
2019-10-01 00:00:00,20.65,21.11,20.21,20.21,19.67,4312700.00
2019-10-02 00:00:00,19.95,20.35,19.60,20.07,19.53,3931000.00
2019-10-03 00:00:00,19.97,19.98,19.27,19.73,19.20,4360300.00
2019-10-04 00:00:00,19.72,19.88,19.17,19.39,18.87,4309900.00
2019-10-07 00:00:00,19.37,19.74,19.08,19.20,18.68,6486700.00
2019-10-08 00:00:00,18.98,19.23,18.54,18.55,18.05,7273600.00
2019-10-09 00:00:00,18.78,19.01,18.66,18.82,18.31,4902400.00
2019-10-10 00:00:00,19.05,19.52,19.01,19.34,18.82,5489000.00
2019-10-11 00:00:00,19.77,20.85,19.65,20.72,20.16,4795400.00
2019-10-14 00:00:00,20.40,20.49,20.04,20.06,19.52,3159400.00
2019-10-15 00:00:00,20.04,20.49,19.70,20.17,19.63,3051400.00
2019-10-16 00:00:00,20.08,20.62,19.98,20.06,19.52,2647500.00
2019-10-17 00:00:00,20.18,20.26,19.63,19.64,19.11,2481100.00
2019-10-18 00:00:00,19.70,19.88,19.48,19.55,19.02,2810300.00
2019-10-21 00:00:00,19.71,20.01,19.45,19.47,18.95,3029400.00
2019-10-22 00:00:00,19.40,19.86,19.01,19.68,19.15,2950300.00
2019-10-23 00:00:00,19.73,20.18,19.32,20.17,19.63,3319800.00
2019-10-24 00:00:00,20.31,20.56,19.52,19.92,19.38,3338700.00
2019-10-25 00:00:00,19.91,20.73,19.81,20.54,19.99,3432800.00
2019-10-28 00:00:00,20.69,20.90,20.47,20.58,20.03,1990200.00
2019-10-29 00:00:00,20.46,20.66,20.22,20.61,20.05,3377800.00
2019-10-30 00:00:00,20.50,20.52,19.96,20.18,19.64,2158800.00
2019-10-31 00:00:00,20.01,20.15,19.56,19.88,19.34,3132100.00
2019-11-01 00:00:00,20.06,20.70,20.02,20.66,20.10,5366400.00
2019-11-04 00:00:00,20.89,21.45,20.85,21.34,20.77,6134200.00
2019-11-05 00:00:00,21.24,22.50,21.23,21.65,21.07,8861300.00
2019-11-06 00:00:00,21.11,21.22,20.64,20.68,20.12,5127000.00
2019-11-07 00:00:00,20.88,21.27,20.73,20.74,20.18,4791600.00
2019-11-08 00:00:00,20.68,20.94,20.27,20.81,20.25,3992500.00
2019-11-11 00:00:00,20.57,21.00,20.27,20.93,20.37,3492600.00
2019-11-12 00:00:00,20.87,21.38,20.86,20.93,20.37,3986100.00
2019-11-13 00:00:00,20.41,20.43,19.61,19.68,19.15,6395600.00
2019-11-14 00:00:00,19.42,20.33,19.28,20.29,19.74,5459500.00
2019-11-15 00:00:00,20.44,20.47,19.74,19.75,19.22,3528600.00
2019-11-18 00:00:00,19.69,19.77,18.84,18.95,18.44,4714800.00
2019-11-19 00:00:00,19.02,19.15,18.51,18.81,18.30,3343300.00
2019-11-20 00:00:00,18.68,18.75,18.11,18.13,17.64,4139900.00
2019-11-21 00:00:00,18.16,18.33,17.95,18.02,17.53,3401800.00
2019-11-22 00:00:00,18.08,18.55,18.08,18.16,17.67,2914800.00
2019-11-25 00:00:00,18.22,18.76,18.17,18.64,18.14,4147900.00
2019-11-26 00:00:00,18.59,18.84,18.32,18.75,18.24,5914500.00
2019-11-27 00:00:00,18.76,19.04,18.61,19.00,18.49,3043400.00
2019-11-28 00:00:00,,,,,,
2019-11-29 00:00:00,18.88,19.12,18.84,19.05,18.54,1774600.00
2019-12-02 00:00:00,19.23,19.45,18.99,18.99,18.48,4565900.00
2019-12-03 00:00:00,18.71,18.73,18.39,18.43,17.93,3335800.00
2019-12-04 00:00:00,18.63,18.89,18.37,18.37,17.92,4374000.00
2019-12-05 00:00:00,18.55,18.83,18.45,18.55,18.10,3047300.00
2019-12-06 00:00:00,18.68,19.18,18.68,19.08,18.62,3907900.00
2019-12-09 00:00:00,19.08,19.24,18.70,18.74,18.28,4554600.00
2019-12-10 00:00:00,18.68,18.71,18.23,18.25,17.81,3289700.00
