Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,126.75,127.57,126.05,126.09,123.62,200900.00
2019-06-18 00:00:00,127.39,132.07,126.46,130.47,127.92,368100.00
2019-06-19 00:00:00,131.44,131.44,127.91,128.34,125.83,283700.00
2019-06-20 00:00:00,131.31,131.85,129.39,130.32,127.77,186800.00
2019-06-21 00:00:00,129.89,130.45,128.49,128.83,126.31,410800.00
2019-06-24 00:00:00,129.46,129.65,127.23,127.50,125.00,256700.00
2019-06-25 00:00:00,127.51,128.63,124.18,124.25,121.82,352300.00
2019-06-26 00:00:00,126.75,130.04,126.08,128.76,126.24,535600.00
2019-06-27 00:00:00,129.40,133.42,129.30,132.82,130.63,459000.00
2019-06-28 00:00:00,133.60,137.59,132.61,135.78,133.54,757400.00
2019-07-01 00:00:00,139.69,143.96,137.29,138.72,136.43,506100.00
2019-07-02 00:00:00,138.56,138.56,135.55,136.44,134.19,317900.00
2019-07-03 00:00:00,136.67,137.46,134.26,136.26,134.01,635800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,135.30,137.28,134.98,137.12,134.85,202300.00
2019-07-08 00:00:00,135.77,136.97,135.19,136.01,133.76,206900.00
2019-07-09 00:00:00,135.52,138.85,135.39,138.74,136.45,216600.00
2019-07-10 00:00:00,140.13,142.22,139.79,140.79,138.46,276300.00
2019-07-11 00:00:00,141.36,141.98,139.61,140.67,138.35,321900.00
2019-07-12 00:00:00,141.68,143.53,140.62,143.32,140.95,241000.00
2019-07-15 00:00:00,143.72,144.41,142.34,143.81,141.43,181700.00
2019-07-16 00:00:00,143.71,144.71,141.62,143.12,140.76,242300.00
2019-07-17 00:00:00,143.69,144.78,142.16,142.76,140.40,216200.00
2019-07-18 00:00:00,142.91,146.50,142.91,145.93,143.52,205500.00
2019-07-19 00:00:00,146.50,146.79,144.88,144.95,142.55,272900.00
2019-07-22 00:00:00,145.76,147.41,143.03,145.31,142.91,244100.00
2019-07-23 00:00:00,146.60,146.93,145.14,146.69,144.27,254900.00
2019-07-24 00:00:00,147.09,153.79,147.08,153.31,150.78,377900.00
2019-07-25 00:00:00,152.07,152.84,143.12,149.92,147.44,211300.00
2019-07-26 00:00:00,151.35,152.89,150.05,150.98,148.49,174900.00
2019-07-29 00:00:00,150.98,151.12,149.69,150.57,148.08,159300.00
2019-07-30 00:00:00,149.20,151.80,148.49,150.91,148.42,193100.00
2019-07-31 00:00:00,151.10,152.36,146.77,148.16,145.71,517900.00
2019-08-01 00:00:00,156.99,161.50,147.73,149.75,147.28,584800.00
2019-08-02 00:00:00,148.96,151.16,146.07,146.61,144.19,274900.00
