Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,42.73,43.08,42.44,42.51,36.80,5658700.00
2019-06-18 00:00:00,42.57,43.81,42.44,43.34,37.52,10094500.00
2019-06-19 00:00:00,43.70,43.91,43.11,43.14,37.35,8034300.00
2019-06-20 00:00:00,43.60,43.95,42.99,43.46,37.63,9922800.00
2019-06-21 00:00:00,43.58,44.17,43.44,43.58,37.73,18450800.00
2019-06-24 00:00:00,43.50,43.90,42.99,43.07,37.29,8141400.00
2019-06-25 00:00:00,42.97,43.00,42.24,42.66,36.93,10232900.00
2019-06-26 00:00:00,42.78,43.29,42.75,42.99,37.22,7826400.00
2019-06-27 00:00:00,43.30,43.65,43.08,43.49,37.65,7459800.00
2019-06-28 00:00:00,44.20,44.57,43.74,43.81,37.93,15445600.00
2019-07-01 00:00:00,44.59,45.06,43.52,43.95,38.05,12197700.00
2019-07-02 00:00:00,43.70,43.93,43.40,43.83,37.95,8234800.00
2019-07-03 00:00:00,43.95,44.15,43.82,43.99,38.09,4470800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,44.49,44.82,44.07,44.21,38.28,6276000.00
2019-07-08 00:00:00,43.59,43.96,43.29,43.49,37.65,7060200.00
2019-07-09 00:00:00,43.08,43.87,43.02,43.78,37.90,5941900.00
2019-07-10 00:00:00,43.76,43.98,43.24,43.31,37.50,5311000.00
2019-07-11 00:00:00,43.49,44.33,43.38,44.18,38.25,8799200.00
2019-07-12 00:00:00,44.55,44.90,44.38,44.87,38.85,9565700.00
2019-07-15 00:00:00,45.01,45.01,44.29,44.43,38.47,7870700.00
2019-07-16 00:00:00,44.80,45.06,44.27,44.43,38.47,10170900.00
2019-07-17 00:00:00,44.26,44.32,43.66,43.77,37.90,9131800.00
2019-07-18 00:00:00,43.67,44.52,43.51,44.43,38.47,11185800.00
2019-07-19 00:00:00,44.35,44.71,44.33,44.39,38.43,10083600.00
2019-07-22 00:00:00,44.22,44.60,43.94,44.50,38.53,7091800.00
2019-07-23 00:00:00,44.77,45.29,44.77,45.10,39.05,9859600.00
2019-07-24 00:00:00,44.89,45.71,44.86,45.50,39.39,8092200.00
2019-07-25 00:00:00,45.50,45.57,44.60,44.87,38.85,8733800.00
2019-07-26 00:00:00,44.99,45.77,44.91,45.74,39.60,8321000.00
2019-07-29 00:00:00,45.64,45.73,45.07,45.23,39.16,8667000.00
2019-07-30 00:00:00,44.61,44.85,44.17,44.67,38.98,7339100.00
2019-07-31 00:00:00,44.70,44.99,44.28,44.56,38.88,8317100.00
2019-08-01 00:00:00,44.42,44.74,42.69,42.93,37.46,12963900.00
