Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,54.23,54.41,53.01,53.04,53.04,1790200.00
2019-06-18 00:00:00,53.46,54.24,53.22,53.75,53.75,2019700.00
2019-06-19 00:00:00,54.00,54.01,53.47,53.91,53.91,1022100.00
2019-06-20 00:00:00,52.00,53.19,51.63,52.56,52.56,3373500.00
2019-06-21 00:00:00,52.04,52.04,51.09,51.11,51.11,3530100.00
2019-06-24 00:00:00,50.91,51.17,49.88,50.83,50.83,3243300.00
2019-06-25 00:00:00,50.70,51.19,50.37,50.86,50.86,2240900.00
2019-06-26 00:00:00,51.17,51.33,50.33,50.41,50.41,1624200.00
2019-06-27 00:00:00,50.49,51.87,50.28,51.84,51.84,1531500.00
2019-06-28 00:00:00,51.90,53.63,51.85,53.63,53.63,3881100.00
2019-07-01 00:00:00,54.30,54.30,52.66,52.82,52.82,2564000.00
2019-07-02 00:00:00,52.97,53.73,52.62,53.73,53.73,1841200.00
2019-07-03 00:00:00,53.56,53.87,52.35,52.76,52.76,1739400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,52.73,52.79,51.84,51.95,51.95,1347200.00
2019-07-08 00:00:00,51.65,51.74,50.05,50.25,50.25,2458100.00
2019-07-09 00:00:00,50.01,50.78,49.55,50.76,50.76,2464500.00
2019-07-10 00:00:00,50.97,51.05,49.55,49.65,49.65,3089200.00
2019-07-11 00:00:00,49.65,49.79,48.90,49.62,49.62,2446000.00
2019-07-12 00:00:00,49.64,49.92,49.37,49.79,49.79,1249600.00
2019-07-15 00:00:00,49.90,50.73,49.90,50.36,50.36,1393100.00
2019-07-16 00:00:00,50.27,51.13,50.03,50.82,50.82,2962300.00
2019-07-17 00:00:00,50.87,50.87,49.29,49.40,49.40,1861800.00
2019-07-18 00:00:00,49.15,49.67,48.95,49.28,49.28,1066600.00
2019-07-19 00:00:00,49.54,49.82,48.54,48.60,48.60,1509100.00
2019-07-22 00:00:00,48.51,48.88,47.85,47.92,47.92,3108400.00
2019-07-23 00:00:00,48.14,48.56,47.74,48.45,48.45,3248500.00
2019-07-24 00:00:00,48.41,49.62,48.18,49.46,49.46,3016800.00
2019-07-25 00:00:00,48.68,49.67,48.47,48.76,48.76,2010400.00
2019-07-26 00:00:00,49.20,49.56,48.93,49.04,49.04,1191800.00
2019-07-29 00:00:00,48.99,49.33,48.89,49.10,49.10,949800.00
2019-07-30 00:00:00,48.64,48.95,48.45,48.50,48.50,1604500.00
2019-07-31 00:00:00,48.54,49.70,48.39,49.44,49.44,3470700.00
2019-08-01 00:00:00,49.48,49.91,48.41,48.57,48.57,3272300.00
