Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,51.81,52.00,51.31,51.59,48.77,6233600.00
2019-06-18 00:00:00,51.96,51.99,50.97,51.35,48.54,6576400.00
2019-06-19 00:00:00,51.07,51.77,51.06,51.56,48.73,6602800.00
2019-06-20 00:00:00,51.67,51.87,51.18,51.60,48.77,8883600.00
2019-06-21 00:00:00,51.78,52.12,51.35,51.89,49.04,12560800.00
2019-06-24 00:00:00,52.09,52.16,51.72,52.05,49.20,6009200.00
2019-06-25 00:00:00,52.10,52.23,51.49,51.56,48.73,6954000.00
2019-06-26 00:00:00,51.35,51.56,50.76,50.77,47.99,7394400.00
2019-06-27 00:00:00,51.20,51.37,50.90,51.14,48.34,7529200.00
2019-06-28 00:00:00,50.99,52.06,50.81,51.22,48.41,11647600.00
2019-07-01 00:00:00,51.09,51.22,50.26,51.01,48.21,8478800.00
2019-07-02 00:00:00,51.19,51.97,51.19,51.92,49.07,6696000.00
2019-07-03 00:00:00,51.97,52.37,51.92,52.18,49.32,5654400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,51.86,52.12,51.33,52.03,49.18,4196400.00
2019-07-08 00:00:00,52.15,52.33,51.85,52.28,49.42,4322400.00
2019-07-09 00:00:00,52.06,52.25,51.79,52.04,49.19,7276000.00
2019-07-10 00:00:00,52.11,52.71,51.89,52.37,49.50,5922000.00
2019-07-11 00:00:00,52.40,52.68,52.14,52.60,49.72,5830400.00
2019-07-12 00:00:00,52.47,52.56,51.95,52.18,49.32,6283200.00
2019-07-15 00:00:00,52.17,52.40,51.92,52.21,49.35,8714000.00
2019-07-16 00:00:00,52.17,52.36,51.70,51.97,49.12,4281600.00
2019-07-17 00:00:00,52.17,52.83,52.17,52.48,49.60,6556800.00
2019-07-18 00:00:00,52.56,53.12,52.25,53.09,50.18,4413200.00
2019-07-19 00:00:00,52.95,53.12,52.35,52.43,49.56,5843600.00
2019-07-22 00:00:00,52.50,52.67,51.93,52.34,49.47,6547600.00
2019-07-23 00:00:00,52.35,52.38,51.73,51.83,48.99,6337200.00
2019-07-24 00:00:00,52.08,52.53,51.63,52.51,49.64,6080000.00
2019-07-25 00:00:00,52.03,52.36,51.76,51.91,49.06,7010000.00
2019-07-26 00:00:00,52.03,52.44,51.95,52.29,49.43,4324800.00
2019-07-29 00:00:00,52.47,52.88,52.32,52.85,49.95,5274000.00
2019-07-30 00:00:00,52.85,53.09,52.07,52.35,49.48,6447200.00
2019-07-31 00:00:00,52.47,52.54,51.55,51.79,48.95,8446000.00
2019-08-01 00:00:00,51.66,52.90,51.62,52.56,49.68,7507600.00
