Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,35.91,36.25,35.66,36.22,34.07,7435200.00
2019-06-18 00:00:00,36.50,36.63,35.81,36.01,33.87,9284700.00
2019-06-19 00:00:00,35.76,36.50,35.61,36.36,34.20,11639800.00
2019-06-20 00:00:00,37.60,38.47,37.37,37.58,35.34,19911400.00
2019-06-21 00:00:00,37.60,37.88,37.27,37.49,35.26,19060400.00
2019-06-24 00:00:00,37.74,38.44,37.42,38.44,36.15,13605300.00
2019-06-25 00:00:00,38.65,38.74,37.94,37.94,35.68,13505400.00
2019-06-26 00:00:00,37.45,38.32,37.21,38.27,35.99,9849000.00
2019-06-27 00:00:00,37.88,38.13,37.69,38.08,35.82,7232900.00
2019-06-28 00:00:00,38.04,38.48,37.87,38.47,36.18,9132600.00
2019-07-01 00:00:00,37.63,37.99,37.21,37.91,35.66,8806600.00
2019-07-02 00:00:00,38.04,38.53,37.80,38.44,36.15,7180100.00
2019-07-03 00:00:00,38.58,38.91,38.29,38.76,36.45,5049300.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,37.87,38.53,37.36,38.42,36.13,6581900.00
2019-07-08 00:00:00,38.58,38.67,38.03,38.29,36.01,4820500.00
2019-07-09 00:00:00,38.02,38.76,38.00,38.76,36.45,5115100.00
2019-07-10 00:00:00,38.99,39.13,38.74,39.05,36.73,6114200.00
2019-07-11 00:00:00,38.98,39.40,38.75,39.28,36.94,6613800.00
2019-07-12 00:00:00,39.37,39.49,39.16,39.42,37.08,4164500.00
2019-07-15 00:00:00,39.38,39.47,38.85,39.17,36.84,4264800.00
2019-07-16 00:00:00,39.12,39.24,38.55,38.69,36.39,6542500.00
2019-07-17 00:00:00,38.79,39.32,38.63,39.06,36.74,6436300.00
2019-07-18 00:00:00,38.84,39.98,38.68,39.70,37.34,9096000.00
2019-07-19 00:00:00,39.28,39.84,38.91,39.29,36.95,7218600.00
2019-07-22 00:00:00,39.36,39.91,39.19,39.90,37.53,6543100.00
2019-07-23 00:00:00,39.84,40.33,39.49,39.62,37.26,6647500.00
2019-07-24 00:00:00,39.59,39.76,39.19,39.30,36.96,7806900.00
2019-07-25 00:00:00,38.33,39.68,37.12,38.25,35.97,13468500.00
2019-07-26 00:00:00,38.03,38.19,36.90,37.28,35.06,10396600.00
2019-07-29 00:00:00,37.48,37.77,37.19,37.71,35.47,7817300.00
2019-07-30 00:00:00,37.80,37.93,37.38,37.73,35.49,4468900.00
2019-07-31 00:00:00,37.48,37.60,36.03,36.52,34.35,10687000.00
2019-08-01 00:00:00,35.97,37.39,35.65,37.15,34.94,11935000.00
