Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,78.84,80.36,78.68,80.34,67.60,226300.00
2019-06-18 00:00:00,80.65,80.78,79.36,79.90,67.23,164900.00
2019-06-19 00:00:00,79.93,80.76,79.28,80.62,67.84,155100.00
2019-06-20 00:00:00,80.86,81.98,80.52,81.26,68.38,379000.00
2019-06-21 00:00:00,80.50,80.75,79.75,80.46,67.70,423900.00
2019-06-24 00:00:00,80.69,80.87,79.43,79.56,66.95,278500.00
2019-06-25 00:00:00,79.77,80.25,78.52,78.69,66.21,208400.00
2019-06-26 00:00:00,78.70,78.75,76.90,77.01,64.80,290300.00
2019-06-27 00:00:00,76.21,77.56,76.21,77.53,66.14,170200.00
2019-06-28 00:00:00,77.46,78.36,77.27,78.03,66.57,689700.00
2019-07-01 00:00:00,78.29,78.31,76.56,77.25,65.90,266500.00
2019-07-02 00:00:00,77.56,79.31,77.56,78.91,67.32,207000.00
2019-07-03 00:00:00,79.05,79.93,79.05,79.93,68.19,197100.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,79.70,79.70,78.36,79.44,67.77,205100.00
2019-07-08 00:00:00,79.40,80.00,79.40,79.81,68.08,228000.00
2019-07-09 00:00:00,79.80,80.05,79.57,79.97,68.22,352000.00
2019-07-10 00:00:00,80.22,81.34,79.49,81.21,69.28,303400.00
2019-07-11 00:00:00,81.15,81.15,79.88,80.13,68.36,240800.00
2019-07-12 00:00:00,80.14,80.35,79.56,80.09,68.32,227200.00
2019-07-15 00:00:00,80.25,80.60,79.04,79.37,67.71,217100.00
2019-07-16 00:00:00,79.00,79.87,78.74,79.33,67.67,143800.00
2019-07-17 00:00:00,79.42,79.73,78.61,79.60,67.91,130500.00
2019-07-18 00:00:00,79.47,80.02,79.18,79.87,68.14,111200.00
2019-07-19 00:00:00,79.65,79.80,78.24,78.50,66.97,151200.00
2019-07-22 00:00:00,78.70,78.97,78.35,78.73,67.16,94400.00
2019-07-23 00:00:00,78.83,79.67,78.59,79.64,67.94,139500.00
2019-07-24 00:00:00,79.72,79.72,78.86,79.59,67.90,127100.00
2019-07-25 00:00:00,79.46,79.46,78.53,78.66,67.10,109700.00
2019-07-26 00:00:00,78.89,79.34,78.56,79.24,67.60,140100.00
2019-07-29 00:00:00,79.59,80.00,79.05,79.19,67.56,94800.00
2019-07-30 00:00:00,79.15,80.24,79.15,80.10,68.33,192100.00
2019-07-31 00:00:00,80.14,80.71,79.27,79.38,67.72,171900.00
2019-08-01 00:00:00,79.71,80.49,79.07,79.84,68.11,167000.00
2019-08-02 00:00:00,79.65,80.17,79.41,80.01,68.25,195000.00
