Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,83.34,83.46,82.01,82.11,80.31,5101900.00
2019-06-18 00:00:00,82.70,84.65,82.50,84.30,82.45,6456500.00
2019-06-19 00:00:00,83.73,83.90,83.14,83.55,81.72,6217700.00
2019-06-20 00:00:00,84.90,85.67,84.42,85.24,83.37,6163800.00
2019-06-21 00:00:00,85.16,85.75,84.60,85.75,83.87,9289800.00
2019-06-24 00:00:00,86.00,86.85,84.37,84.50,82.65,8043300.00
2019-06-25 00:00:00,84.60,84.69,82.16,82.62,80.81,7339900.00
2019-06-26 00:00:00,83.15,83.69,82.44,82.55,80.74,5838500.00
2019-06-27 00:00:00,82.93,83.77,82.93,83.66,81.83,11436700.00
2019-06-28 00:00:00,83.99,84.75,82.67,83.95,82.11,12443800.00
2019-07-01 00:00:00,84.93,86.28,84.90,85.41,83.54,6587300.00
2019-07-02 00:00:00,85.36,85.47,84.22,84.96,83.10,7187200.00
2019-07-03 00:00:00,85.33,86.29,85.12,86.20,84.31,4012800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,85.80,86.91,85.42,86.82,84.92,6440900.00
2019-07-08 00:00:00,86.06,88.52,85.97,88.48,86.54,7052000.00
2019-07-09 00:00:00,88.10,88.80,87.82,88.04,86.11,6219700.00
2019-07-10 00:00:00,88.48,88.94,87.39,87.44,85.52,5985500.00
2019-07-11 00:00:00,87.71,88.30,87.40,88.29,86.35,3942400.00
2019-07-12 00:00:00,88.18,89.31,88.01,89.12,87.17,4240900.00
2019-07-15 00:00:00,89.06,89.87,89.06,89.48,87.52,3750900.00
2019-07-16 00:00:00,89.50,89.71,88.57,88.60,86.66,5812800.00
2019-07-17 00:00:00,88.42,88.69,87.44,87.50,85.58,4461500.00
2019-07-18 00:00:00,87.63,87.76,86.76,87.44,85.52,4607000.00
2019-07-19 00:00:00,87.73,87.88,86.48,86.55,84.65,6635300.00
2019-07-22 00:00:00,86.56,86.99,85.83,85.97,84.09,6810300.00
2019-07-23 00:00:00,86.64,87.10,86.23,86.70,84.80,5659900.00
2019-07-24 00:00:00,86.65,87.21,86.31,86.70,84.80,6362900.00
2019-07-25 00:00:00,86.82,87.50,86.59,87.28,85.37,4546400.00
2019-07-26 00:00:00,87.44,87.84,86.77,87.54,85.62,3707200.00
2019-07-29 00:00:00,87.65,87.87,87.18,87.62,85.70,4387300.00
2019-07-30 00:00:00,86.82,87.91,86.36,87.20,85.29,3561200.00
2019-07-31 00:00:00,87.09,87.27,85.55,86.03,84.14,5818200.00
2019-08-01 00:00:00,85.26,86.77,82.70,83.12,81.30,7871800.00
