Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,122.10,122.83,121.26,121.97,114.70,238100.00
2019-06-18 00:00:00,122.87,124.03,122.09,122.60,115.29,230000.00
2019-06-19 00:00:00,122.63,124.08,121.66,123.74,116.37,220700.00
2019-06-20 00:00:00,124.75,125.14,121.59,123.14,115.80,324100.00
2019-06-21 00:00:00,122.22,124.12,121.00,123.36,116.01,663900.00
2019-06-24 00:00:00,123.54,123.54,122.44,122.79,115.47,288700.00
2019-06-25 00:00:00,123.11,123.38,120.43,120.53,113.35,362600.00
2019-06-26 00:00:00,121.01,122.08,119.95,120.28,113.11,225500.00
2019-06-27 00:00:00,120.64,121.68,119.96,121.62,114.37,208900.00
2019-06-28 00:00:00,121.81,122.73,121.48,122.14,114.86,528100.00
2019-07-01 00:00:00,123.82,124.37,122.22,124.23,116.83,221800.00
2019-07-02 00:00:00,124.45,127.00,124.27,126.11,118.59,344500.00
2019-07-03 00:00:00,126.99,129.47,126.87,128.51,120.85,181700.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,127.72,128.03,125.89,127.15,119.57,153000.00
2019-07-08 00:00:00,126.86,127.19,126.28,126.70,119.15,250000.00
2019-07-09 00:00:00,126.22,126.98,125.60,126.37,118.84,207100.00
2019-07-10 00:00:00,126.90,128.47,126.90,128.44,120.79,225100.00
2019-07-11 00:00:00,128.49,130.36,127.71,129.21,121.51,307600.00
2019-07-12 00:00:00,129.50,131.56,129.01,131.13,123.32,302700.00
2019-07-15 00:00:00,131.51,133.77,131.46,133.40,125.45,232700.00
2019-07-16 00:00:00,133.52,133.52,131.04,131.74,123.89,285100.00
2019-07-17 00:00:00,131.32,132.54,130.91,131.83,123.97,315400.00
2019-07-18 00:00:00,131.73,134.91,131.14,134.89,126.85,288900.00
2019-07-19 00:00:00,134.91,136.83,134.91,135.33,127.27,475800.00
2019-07-22 00:00:00,136.17,137.81,136.00,137.77,129.56,291900.00
2019-07-23 00:00:00,138.00,139.27,137.51,138.49,130.24,339400.00
2019-07-24 00:00:00,138.06,141.93,137.60,141.30,132.88,403100.00
2019-07-25 00:00:00,140.95,141.56,138.77,139.19,130.90,479600.00
2019-07-26 00:00:00,139.76,144.92,139.48,144.63,136.01,350200.00
2019-07-29 00:00:00,128.19,129.20,108.43,108.89,102.40,2659200.00
2019-07-30 00:00:00,108.06,108.42,102.22,106.48,100.13,1743200.00
2019-07-31 00:00:00,106.49,109.55,106.20,106.35,100.01,949300.00
2019-08-01 00:00:00,106.55,108.15,104.78,105.45,99.17,684800.00
