Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,25.49,26.10,25.34,25.94,25.94,483800.00
2019-06-17 00:00:00,26.02,26.96,25.90,26.42,26.42,406200.00
2019-06-18 00:00:00,26.54,26.67,26.09,26.45,26.45,286200.00
2019-06-19 00:00:00,26.54,27.04,26.28,26.97,26.97,271100.00
2019-06-20 00:00:00,27.09,27.26,25.86,26.39,26.39,517900.00
2019-06-21 00:00:00,26.23,26.94,25.64,26.67,26.67,684500.00
2019-06-24 00:00:00,26.58,27.33,25.95,25.96,25.96,334500.00
2019-06-25 00:00:00,26.16,26.54,25.71,26.25,26.25,454100.00
2019-06-26 00:00:00,26.33,27.00,25.70,26.51,26.51,398300.00
2019-06-27 00:00:00,26.87,27.70,26.46,27.58,27.58,418300.00
2019-06-28 00:00:00,27.53,30.59,27.40,30.35,30.35,4320300.00
2019-07-01 00:00:00,30.39,30.85,29.04,29.36,29.36,800700.00
2019-07-02 00:00:00,29.22,30.12,29.22,29.57,29.57,349400.00
2019-07-03 00:00:00,29.72,29.96,29.32,29.52,29.52,208200.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,29.64,29.64,28.32,29.13,29.13,299800.00
2019-07-08 00:00:00,29.13,29.16,28.03,28.27,28.27,636000.00
2019-07-09 00:00:00,28.12,28.80,27.89,28.80,28.80,421700.00
2019-07-10 00:00:00,28.94,30.00,28.16,28.39,28.39,425300.00
2019-07-11 00:00:00,28.33,29.30,27.80,29.25,29.25,683900.00
2019-07-12 00:00:00,29.21,29.85,29.12,29.56,29.56,691800.00
2019-07-15 00:00:00,29.61,30.52,29.13,30.13,30.13,580600.00
2019-07-16 00:00:00,30.00,30.70,29.45,30.50,30.50,416800.00
2019-07-17 00:00:00,30.39,30.94,30.15,30.40,30.40,376100.00
2019-07-18 00:00:00,30.16,32.23,30.16,31.59,31.59,877700.00
2019-07-19 00:00:00,31.58,32.99,31.10,31.78,31.78,638900.00
2019-07-22 00:00:00,31.91,32.35,31.58,31.81,31.81,448000.00
2019-07-23 00:00:00,31.97,32.00,30.63,31.44,31.44,545600.00
2019-07-24 00:00:00,31.42,32.28,30.65,32.17,32.17,289200.00
2019-07-25 00:00:00,32.26,32.52,31.79,32.10,32.10,509700.00
2019-07-26 00:00:00,32.33,32.82,31.86,32.73,32.73,433100.00
2019-07-29 00:00:00,32.91,32.91,31.92,32.33,32.33,562400.00
2019-07-30 00:00:00,32.31,33.31,32.00,32.95,32.95,567500.00
2019-07-31 00:00:00,32.95,34.16,32.45,32.86,32.86,573000.00
2019-08-01 00:00:00,32.31,34.78,27.10,28.61,28.61,1613500.00
2019-08-02 00:00:00,28.52,29.89,27.20,27.31,27.31,670700.00
2019-08-05 00:00:00,26.99,27.12,25.07,25.33,25.33,709500.00
2019-08-06 00:00:00,25.28,25.97,24.60,25.56,25.56,664300.00
2019-08-07 00:00:00,25.50,25.55,24.44,25.33,25.33,601800.00
2019-08-08 00:00:00,25.47,26.36,25.18,25.70,25.70,493600.00
2019-08-09 00:00:00,25.53,25.85,24.38,24.94,24.94,527100.00
2019-08-12 00:00:00,24.48,25.40,24.20,25.00,25.00,614000.00
2019-08-13 00:00:00,25.14,26.84,24.91,26.66,26.66,387900.00
2019-08-14 00:00:00,25.16,27.00,24.51,26.52,26.52,572800.00
2019-08-15 00:00:00,26.40,27.06,26.05,26.58,26.58,328500.00
2019-08-16 00:00:00,27.03,27.68,26.55,27.57,27.57,346800.00
2019-08-19 00:00:00,27.99,28.58,27.51,28.25,28.25,334600.00
2019-08-20 00:00:00,28.10,28.20,26.98,27.26,27.26,397500.00
2019-08-21 00:00:00,27.54,27.66,26.81,27.01,27.01,488200.00
2019-08-22 00:00:00,26.99,27.44,24.71,25.29,25.29,725900.00
2019-08-23 00:00:00,24.95,24.99,23.19,23.35,23.35,796500.00
