Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,14.13,15.13,14.04,14.67,14.67,793700.00
2019-06-18 00:00:00,14.94,15.40,14.76,15.04,15.04,595500.00
2019-06-19 00:00:00,15.10,15.10,14.60,14.81,14.81,325400.00
2019-06-20 00:00:00,14.98,15.30,14.61,14.73,14.73,408500.00
2019-06-21 00:00:00,14.70,14.78,14.26,14.73,14.73,491900.00
2019-06-24 00:00:00,14.74,14.89,14.19,14.22,14.22,467500.00
2019-06-25 00:00:00,14.34,14.96,14.31,14.89,14.89,483000.00
2019-06-26 00:00:00,15.00,15.16,14.60,14.77,14.77,352100.00
2019-06-27 00:00:00,14.88,15.29,14.73,15.23,15.23,459300.00
2019-06-28 00:00:00,15.28,16.50,15.14,16.37,16.37,6967100.00
2019-07-01 00:00:00,16.61,16.76,15.98,16.43,16.43,649700.00
2019-07-02 00:00:00,16.41,16.59,15.75,16.02,16.02,293100.00
2019-07-03 00:00:00,16.17,16.29,15.92,16.29,16.29,236000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,16.10,16.22,15.81,15.93,15.93,456200.00
2019-07-08 00:00:00,15.93,16.13,15.31,15.68,15.68,528200.00
2019-07-09 00:00:00,15.92,16.35,15.70,16.34,16.34,624900.00
2019-07-10 00:00:00,16.47,16.81,16.34,16.66,16.66,591900.00
2019-07-11 00:00:00,16.59,16.77,16.26,16.51,16.51,621400.00
2019-07-12 00:00:00,16.44,16.88,16.20,16.60,16.60,921900.00
2019-07-15 00:00:00,16.70,16.89,16.30,16.78,16.78,345200.00
2019-07-16 00:00:00,16.70,16.77,15.93,16.51,16.51,491300.00
2019-07-17 00:00:00,16.47,16.84,16.22,16.69,16.69,470900.00
2019-07-18 00:00:00,16.65,17.29,16.64,17.21,17.21,512400.00
2019-07-19 00:00:00,17.26,17.39,16.99,17.10,17.10,397400.00
2019-07-22 00:00:00,17.21,17.70,17.08,17.64,17.64,399900.00
2019-07-23 00:00:00,17.67,17.92,17.48,17.76,17.76,470900.00
2019-07-24 00:00:00,17.75,18.32,17.42,18.25,18.25,669200.00
2019-07-25 00:00:00,18.24,18.24,17.48,17.70,17.70,465900.00
2019-07-26 00:00:00,17.81,18.34,17.67,18.33,18.33,593100.00
2019-07-29 00:00:00,18.46,18.50,17.63,18.20,18.20,414200.00
2019-07-30 00:00:00,18.04,18.53,17.80,18.51,18.51,432300.00
2019-07-31 00:00:00,18.52,18.79,17.74,18.10,18.10,439600.00
2019-08-01 00:00:00,19.00,19.00,17.05,18.09,18.09,836800.00
