Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,87.23,87.80,85.73,85.87,80.82,687900.00
2019-06-18 00:00:00,85.18,87.66,84.90,86.40,81.32,1238400.00
2019-06-19 00:00:00,86.47,87.60,85.02,85.25,80.24,1121800.00
2019-06-20 00:00:00,86.11,86.11,84.75,85.74,80.70,1318700.00
2019-06-21 00:00:00,85.87,87.21,85.33,86.69,81.59,1673300.00
2019-06-24 00:00:00,86.32,87.35,85.75,85.88,80.83,805900.00
2019-06-25 00:00:00,85.44,86.03,84.04,85.76,80.72,1020300.00
2019-06-26 00:00:00,86.13,86.88,85.32,86.72,81.62,1816000.00
2019-06-27 00:00:00,86.82,87.97,86.64,87.84,82.67,1160500.00
2019-06-28 00:00:00,88.81,90.22,88.69,90.00,84.71,2889300.00
2019-07-01 00:00:00,90.88,91.80,90.88,91.65,86.26,1792700.00
2019-07-02 00:00:00,91.58,92.55,91.01,91.87,86.47,2564000.00
2019-07-03 00:00:00,92.04,92.96,92.04,92.79,87.33,767400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,93.22,94.17,92.95,93.92,88.40,1025100.00
2019-07-08 00:00:00,93.12,93.12,90.63,91.67,86.28,1612100.00
2019-07-09 00:00:00,90.92,91.63,90.81,91.59,86.20,870400.00
2019-07-10 00:00:00,91.54,92.00,90.31,90.42,85.10,1567900.00
2019-07-11 00:00:00,90.71,91.63,89.66,91.34,85.97,1068700.00
2019-07-12 00:00:00,91.13,91.48,90.42,91.34,85.97,779700.00
2019-07-15 00:00:00,91.34,91.85,89.43,89.73,84.45,1423000.00
2019-07-16 00:00:00,90.24,90.85,89.30,89.49,84.23,920700.00
2019-07-17 00:00:00,89.33,90.13,88.82,89.89,84.60,1464400.00
2019-07-18 00:00:00,89.94,91.46,88.95,91.15,85.79,1011000.00
2019-07-19 00:00:00,91.39,93.24,90.95,92.86,87.40,1824000.00
2019-07-22 00:00:00,93.00,93.23,92.32,92.73,87.28,1167100.00
2019-07-23 00:00:00,93.08,95.01,92.87,95.01,89.42,1466600.00
2019-07-24 00:00:00,94.79,100.46,94.79,99.46,93.61,3346800.00
2019-07-25 00:00:00,100.10,100.10,98.60,99.03,93.21,1328700.00
2019-07-26 00:00:00,99.53,99.78,98.37,99.64,93.78,941300.00
2019-07-29 00:00:00,99.24,99.91,98.74,99.02,93.20,746200.00
2019-07-30 00:00:00,98.07,99.12,98.02,99.09,93.26,675200.00
2019-07-31 00:00:00,99.00,99.11,97.94,98.00,92.24,1164200.00
2019-08-01 00:00:00,97.91,98.36,94.52,94.73,89.16,1007700.00
